файл;слой;колен;HH;LH;HL;LL;без подписи;медиана ноги;медиана баров между коленами;мутных %;эталон вверх;эталон вниз
2y;5/5;1222;319;291;357;253;2;43,47;8;20,8;31;20
2y;3/3;1828;482;431;518;395;2;34,26;5;22,2;37;29
2y;2/2;2568;669;614;723;560;2;28,68;4;22,6;42;35
9y;5/5;5228;1315;1298;1431;1182;2;16,32;8;21,3;100;81
9y;3/3;7938;2000;1968;2153;1815;2;12,65;5;24,4;133;100
9y;2/2;11213;2815;2790;3015;2591;2;10,45;4;23,2;187;153
