слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
2/2;0;2024-08-15T15:00:00;2;?;верх;2470,155;2452,320;0,000;0;1
2/2;1;2024-08-15T16:00:00;3;?;низ;2432,225;2458,470;37,930;1;1
2/2;2;2024-08-15T22:00:00;9;LH;верх;2461,675;2454,905;29,450;6;2
2/2;3;2024-08-16T02:00:00;12;HL;низ;2454,515;2457,385;7,160;3;1
2/2;4;2024-08-16T04:00:00;14;LH;верх;2460,150;2452,510;5,635;2;1
2/2;5;2024-08-16T06:00:00;16;LL;низ;2450,805;2455,810;9,345;2;1
2/2;6;2024-08-16T10:00:00;20;HH;верх;2464,570;2463,435;13,765;4;1
2/2;7;2024-08-16T10:00:00;20;HL;низ;2451,220;2463,435;13,350;0;1
2/2;8;2024-08-16T23:00:00;33;HH;верх;2509,820;2506,535;58,600;13;2
2/2;9;2024-08-19T04:00:00;37;HL;низ;2495,045;2503,345;14,775;4;1
2/2;10;2024-08-19T11:00:00;44;LH;верх;2507,225;2489,910;12,180;7;1
2/2;11;2024-08-19T16:00:00;49;LL;низ;2485,735;2504,010;21,490;5;1
2/2;12;2024-08-19T19:00:00;52;HH;верх;2507,535;2504,315;21,800;3;2
2/2;13;2024-08-20T01:00:00;57;HL;низ;2502,160;2505,050;5,375;5;1
2/2;14;2024-08-20T04:00:00;60;HH;верх;2508,275;2501,840;6,115;3;1
2/2;15;2024-08-20T09:00:00;65;LL;низ;2497,400;2519,880;10,875;5;2
2/2;16;2024-08-20T16:00:00;72;HH;верх;2531,765;2508,540;34,365;7;1
2/2;17;2024-08-20T19:00:00;75;HL;низ;2500,865;2513,390;30,900;3;1
2/2;18;2024-08-20T23:00:00;79;LH;верх;2516,970;2512,970;16,105;4;1
2/2;19;2024-08-21T04:00:00;83;HL;низ;2510,930;2517,485;6,040;4;1
2/2;20;2024-08-21T05:00:00;84;HH;верх;2519,985;2516,230;9,055;1;2
2/2;21;2024-08-21T13:00:00;92;LL;низ;2504,515;2510,630;15,470;8;1
2/2;22;2024-08-21T15:00:00;94;LH;верх;2513,770;2501,565;9,255;2;1
2/2;23;2024-08-21T17:00:00;96;LL;низ;2493,830;2507,175;19,940;2;1
2/2;24;2024-08-21T21:00:00;100;HH;верх;2519,185;2512,250;25,355;4;2
2/2;25;2024-08-22T07:00:00;109;HL;низ;2499,350;2507,550;19,835;9;1
2/2;26;2024-08-22T09:00:00;111;LH;верх;2510,645;2503,720;11,295;2;2
2/2;27;2024-08-22T17:00:00;119;LL;низ;2470,850;2484,325;39,795;8;2
2/2;28;2024-08-23T08:00:00;133;LH;верх;2495,855;2493,510;25,005;14;2
2/2;29;2024-08-23T09:00:00;134;HL;низ;2490,670;2499,045;5,185;1;2
2/2;30;2024-08-23T18:00:00;143;HH;верх;2518,400;2510,915;27,730;9;1
2/2;31;2024-08-23T22:00:00;147;HL;низ;2507,995;2513,095;10,405;4;1
2/2;32;2024-08-26T03:00:00;151;LH;верх;2516,995;2512,000;9,000;4;1
2/2;33;2024-08-26T08:00:00;156;HL;низ;2508,810;2521,555;8,185;5;1
2/2;34;2024-08-26T14:00:00;162;HH;верх;2526,900;2516,005;18,090;6;1
2/2;35;2024-08-26T17:00:00;165;HL;низ;2510,680;2520,305;16,220;3;1
2/2;36;2024-08-26T20:00:00;168;LH;верх;2523,450;2518,235;12,770;3;1
2/2;37;2024-08-27T05:00:00;176;LL;низ;2505,845;2507,355;17,605;8;1
