слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
2/2;0;2017-07-26 06:00:00;3;?;низ;1243,821;1245,363;0,000;0;2
2/2;1;2017-07-27 03:00:00;23;?;верх;1265,046;1263,270;21,225;20;3
2/2;2;2017-07-27 08:00:00;28;HL;низ;1260,916;1262,449;4,130;5;1
2/2;3;2017-07-27 12:00:00;32;HH;верх;1265,366;1257,818;4,450;4;1
2/2;4;2017-07-27 16:00:00;36;LL;низ;1254,584;1261,038;10,782;4;1
2/2;5;2017-07-27 18:00:00;38;LH;верх;1262,504;1259,201;7,920;2;1
2/2;6;2017-07-27 20:00:00;40;HL;низ;1257,934;1260,191;4,570;2;1
2/2;7;2017-07-28 00:00:00;43;LH;верх;1261,099;1259,703;3,165;3;1
2/2;8;2017-07-28 04:00:00;47;LL;низ;1257,459;1259,001;3,640;4;1
2/2;9;2017-07-28 07:00:00;50;LH;верх;1260,606;1259,344;3,147;3;1
2/2;10;2017-07-28 11:00:00;54;HL;низ;1258,219;1265,685;2,387;4;1
2/2;11;2017-07-28 18:00:00;61;HH;верх;1270,962;1269,560;12,743;7;2
2/2;12;2017-07-28 18:00:00;61;HL;низ;1268,314;1269,560;2,648;0;1
2/2;13;2017-07-30 22:00:00;64;HH;верх;1271,232;1269,475;2,918;3;1
2/2;14;2017-07-31 04:00:00;70;LL;низ;1267,076;1267,886;4,156;6;1
2/2;15;2017-07-31 06:00:00;72;LH;верх;1269,496;1267,120;2,420;2;1
2/2;16;2017-07-31 07:00:00;73;LL;низ;1265,877;1267,632;3,619;1;1
2/2;17;2017-07-31 11:00:00;77;LH;верх;1269,420;1268,091;3,543;4;1
2/2;18;2017-07-31 13:00:00;79;HL;низ;1266,498;1268,274;2,922;2;1
2/2;19;2017-07-31 15:00:00;81;HH;верх;1269,896;1267,455;3,398;2;1
2/2;20;2017-07-31 17:00:00;83;HL;низ;1267,062;1269,748;2,834;2;1
2/2;21;2017-07-31 20:00:00;86;HH;верх;1270,401;1267,610;3,339;3;1
2/2;22;2017-08-01 00:00:00;89;HL;низ;1267,148;1270,068;3,253;3;1
2/2;23;2017-08-01 04:00:00;93;HH;верх;1270,852;1268,271;3,704;4;2
2/2;24;2017-08-01 12:00:00;101;LL;низ;1262,556;1272,950;8,296;8;1
2/2;25;2017-08-01 14:00:00;103;HH;верх;1274,204;1272,838;11,648;2;3
2/2;26;2017-08-02 04:00:00;116;HL;низ;1264,228;1267,301;9,976;13;1
2/2;27;2017-08-02 07:00:00;119;LH;верх;1267,850;1265,965;3,622;3;1
2/2;28;2017-08-02 12:00:00;124;LL;низ;1262,998;1270,678;4,852;5;1
2/2;29;2017-08-02 17:00:00;129;HH;верх;1272,948;1266,734;9,950;5;1
2/2;30;2017-08-02 23:00:00;134;LL;низ;1256,248;1263,812;16,700;5;1
2/2;31;2017-08-03 02:00:00;137;LH;верх;1264,350;1262,509;8,102;3;1
2/2;32;2017-08-03 03:00:00;138;HL;низ;1261,710;1262,678;2,640;1;1
2/2;33;2017-08-03 06:00:00;141;LH;верх;1263,354;1262,126;1,644;3;1
2/2;34;2017-08-03 07:00:00;142;LL;низ;1259,974;1263,448;3,380;1;1
2/2;35;2017-08-03 19:00:00;154;HH;верх;1270,880;1268,725;10,906;12;3
2/2;36;2017-08-04 02:00:00;160;HL;низ;1267,338;1268,207;3,542;6;1
2/2;37;2017-08-04 07:00:00;165;LH;верх;1270,281;1269,541;2,943;5;2
2/2;38;2017-08-04 14:00:00;172;LL;низ;1254,271;1257,422;16,010;7;1
2/2;39;2017-08-04 20:00:00;178;LH;верх;1259,645;1257,438;5,374;6;1
2/2;40;2017-08-06 23:00:00;180;HL;низ;1256,596;1258,572;3,049;2;1
2/2;41;2017-08-07 02:00:00;183;LH;верх;1259,130;1258,191;2,534;3;1
2/2;42;2017-08-07 06:00:00;187;HL;низ;1257,232;1258,166;1,898;4;1
2/2;43;2017-08-07 07:00:00;188;LH;верх;1258,684;1257,348;1,452;1;1
2/2;44;2017-08-07 12:00:00;193;LL;низ;1255,829;1257,979;2,855;5;1
2/2;45;2017-08-07 17:00:00;198;HH;верх;1260,039;1257,271;4,210;5;1
2/2;46;2017-08-07 22:00:00;202;HL;низ;1257,076;1258,312;2,963;4;1
2/2;47;2017-08-08 02:00:00;206;HH;верх;1261,054;1260,212;3,978;4;1
2/2;48;2017-08-08 07:00:00;211;HL;низ;1259,222;1260,872;1,832;5;1
2/2;49;2017-08-08 10:00:00;214;HH;верх;1265,346;1262,322;6,124;3;1
2/2;50;2017-08-08 15:00:00;219;LL;низ;1251,614;1256,539;13,732;5;1
2/2;51;2017-08-08 19:00:00;223;LH;верх;1263,054;1262,088;11,440;4;1
2/2;52;2017-08-08 19:00:00;223;HL;низ;1253,820;1262,088;9,234;0;1
2/2;53;2017-08-09 08:00:00;235;HH;верх;1269,241;1267,044;15,421;12;2
2/2;54;2017-08-09 10:00:00;237;HL;низ;1266,630;1274,953;2,611;2;1
2/2;55;2017-08-09 18:00:00;245;HH;верх;1278,788;1277,384;12,158;8;3
2/2;56;2017-08-10 00:00:00;250;HL;низ;1274,745;1276,827;4,043;5;1
2/2;57;2017-08-10 07:00:00;257;HH;верх;1280,668;1279,176;5,923;7;1
2/2;58;2017-08-10 08:00:00;258;HL;низ;1277,838;1280,897;2,830;1;1
2/2;59;2017-08-10 14:00:00;264;HH;верх;1287,925;1284,338;10,087;6;1
2/2;60;2017-08-10 16:00:00;266;HL;низ;1283,709;1285,104;4,216;2;1
2/2;61;2017-08-11 01:00:00;274;HH;верх;1289,112;1286,125;5,403;8;1
2/2;62;2017-08-11 01:00:00;274;HL;низ;1283,968;1286,125;5,144;0;2
2/2;63;2017-08-11 12:00:00;285;HH;верх;1292,354;1285,849;8,386;11;2
2/2;64;2017-08-11 13:00:00;286;LL;низ;1281,356;1287,809;10,998;1;1
2/2;65;2017-08-11 19:00:00;292;LH;верх;1291,842;1288,626;10,486;6;1
2/2;66;2017-08-14 01:00:00;297;HL;низ;1285,472;1288,082;6,370;5;1
2/2;67;2017-08-14 03:00:00;299;LH;верх;1289,661;1286,203;4,189;2;2
2/2;68;2017-08-14 11:00:00;307;LL;низ;1278,685;1282,376;10,976;8;2
2/2;69;2017-08-14 16:00:00;312;LH;верх;1285,631;1282,364;6,946;5;1
2/2;70;2017-08-15 01:00:00;320;LL;низ;1272,407;1275,696;13,224;8;3
2/2;71;2017-08-15 07:00:00;326;LH;верх;1276,254;1274,082;3,847;6;1
2/2;72;2017-08-15 13:00:00;332;LL;низ;1267,397;1273,388;8,857;6;1
2/2;73;2017-08-15 17:00:00;336;LH;верх;1275,176;1272,478;7,779;4;1
2/2;74;2017-08-15 20:00:00;339;HL;низ;1271,129;1272,999;4,047;3;2
2/2;75;2017-08-16 02:00:00;344;LH;верх;1274,152;1273,415;3,023;5;1
2/2;76;2017-08-16 13:00:00;355;LL;низ;1267,734;1273,748;6,418;11;2
2/2;77;2017-08-17 01:00:00;366;HH;верх;1289,504;1287,333;21,770;11;2
2/2;78;2017-08-17 06:00:00;371;HL;низ;1286,262;1287,170;3,242;5;1
2/2;79;2017-08-17 07:00:00;372;HH;верх;1290,253;1285,419;3,991;1;1
2/2;80;2017-08-17 11:00:00;376;LL;низ;1283,126;1286,497;7,127;4;1
2/2;81;2017-08-17 14:00:00;379;LH;верх;1289,706;1286,968;6,580;3;1
2/2;82;2017-08-17 14:00:00;379;LL;низ;1281,254;1286,968;8,452;0;1
2/2;83;2017-08-17 23:00:00;387;LH;верх;1289,462;1287,884;8,208;8;1
2/2;84;2017-08-18 01:00:00;389;HL;низ;1285,996;1287,175;3,466;2;2
2/2;85;2017-08-18 13:00:00;401;HH;верх;1300,926;1289,097;14,930;12;2
2/2;86;2017-08-20 23:00:00;410;LL;низ;1280,613;1285,739;20,313;9;3
2/2;87;2017-08-21 08:00:00;419;LH;верх;1289,279;1287,470;8,666;9;1
2/2;88;2017-08-21 10:00:00;421;HL;низ;1286,719;1288,304;2,560;2;1
2/2;89;2017-08-21 13:00:00;424;HH;верх;1294,081;1289,800;7,362;3;1
2/2;90;2017-08-21 16:00:00;427;HL;низ;1288,831;1291,618;5,250;3;1
2/2;91;2017-08-21 18:00:00;429;LH;верх;1293,325;1291,988;4,494;2;2
2/2;92;2017-08-22 07:00:00;441;LL;низ;1283,148;1285,412;10,177;12;2
2/2;93;2017-08-22 13:00:00;447;LH;верх;1291,230;1287,149;8,082;6;1
2/2;94;2017-08-22 14:00:00;448;LL;низ;1282,053;1286,369;9,177;1;3
2/2;95;2017-08-23 07:00:00;464;LH;верх;1287,348;1287,128;5,295;16;2
