слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
3/3;0;2024-08-15T16:00:00;3;?;низ;2432,225;2455,755;0,000;0;1
3/3;1;2024-08-15T22:00:00;9;?;верх;2461,675;2457,405;29,450;6;2
3/3;2;2024-08-16T06:00:00;16;HL;низ;2450,805;2455,085;10,870;7;2
3/3;3;2024-08-16T23:00:00;33;HH;верх;2509,820;2502,065;59,015;17;2
3/3;4;2024-08-19T04:00:00;37;HL;низ;2495,045;2500,740;14,775;4;1
3/3;5;2024-08-19T11:00:00;44;LH;верх;2507,225;2494,555;12,180;7;1
3/3;6;2024-08-19T16:00:00;49;LL;низ;2485,735;2505,510;21,490;5;1
3/3;7;2024-08-20T04:00:00;60;HH;верх;2508,275;2500,870;22,540;11;2
3/3;8;2024-08-20T09:00:00;65;HL;низ;2497,400;2521,785;10,875;5;2
3/3;9;2024-08-20T16:00:00;72;HH;верх;2531,765;2509,200;34,365;7;1
3/3;10;2024-08-20T19:00:00;75;HL;низ;2500,865;2515,100;30,900;3;1
3/3;11;2024-08-20T23:00:00;79;LH;верх;2516,970;2513,635;16,105;4;1
3/3;12;2024-08-21T04:00:00;83;HL;низ;2510,930;2516,230;6,040;4;1
3/3;13;2024-08-21T05:00:00;84;HH;верх;2519,985;2515,265;9,055;1;3
3/3;14;2024-08-21T17:00:00;96;LL;низ;2493,830;2509,580;26,155;12;1
3/3;15;2024-08-21T21:00:00;100;LH;верх;2519,185;2514,065;25,355;4;2
3/3;16;2024-08-22T07:00:00;109;HL;низ;2499,350;2507,185;19,835;9;1
3/3;17;2024-08-22T09:00:00;111;LH;верх;2510,645;2507,340;11,295;2;1
3/3;18;2024-08-22T17:00:00;119;LL;низ;2470,850;2482,355;39,795;8;3
3/3;19;2024-08-23T18:00:00;143;HH;верх;2518,400;2509,835;47,550;24;2
3/3;20;2024-08-26T08:00:00;156;HL;низ;2508,810;2524,295;9,590;13;1
3/3;21;2024-08-26T14:00:00;162;HH;верх;2526,900;2517,040;18,090;6;1
3/3;22;2024-08-26T17:00:00;165;HL;низ;2510,680;2518,150;16,220;3;1
3/3;23;2024-08-26T20:00:00;168;LH;верх;2523,450;2517,955;12,770;3;1
3/3;24;2024-08-27T05:00:00;176;LL;низ;2505,845;2513,645;17,605;8;1
3/3;25;2024-08-27T10:00:00;181;LH;верх;2517,615;2509,055;11,770;5;1
3/3;26;2024-08-27T11:00:00;182;LL;низ;2503,585;2511,535;14,030;1;2
3/3;27;2024-08-28T02:00:00;196;HH;верх;2529,135;2516,440;25,550;14;1
3/3;28;2024-08-28T15:00:00;209;LL;низ;2493,665;2506,185;35,470;13;2
3/3;29;2024-08-28T16:00:00;210;LH;верх;2510,690;2501,990;17,025;1;1
3/3;30;2024-08-28T19:00:00;213;HL;низ;2496,465;2507,670;14,225;3;1
3/3;31;2024-08-29T13:00:00;230;HH;верх;2524,505;2516,870;28,040;17;2
