слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
5/5;0;2024-08-15T22:00:00;9;?;верх;2461,675;2457,385;0,000;0;1
5/5;1;2024-08-16T06:00:00;16;?;низ;2450,805;2462,435;10,870;7;1
5/5;2;2024-08-16T23:00:00;33;HH;верх;2509,820;2503,580;59,015;17;1
5/5;3;2024-08-19T04:00:00;37;HL;низ;2495,045;2502,180;14,775;4;1
5/5;4;2024-08-19T11:00:00;44;LH;верх;2507,225;2494,755;12,180;7;1
5/5;5;2024-08-19T16:00:00;49;LL;низ;2485,735;2504,315;21,490;5;1
5/5;6;2024-08-20T04:00:00;60;HH;верх;2508,275;2502,440;22,540;11;2
5/5;7;2024-08-20T09:00:00;65;HL;низ;2497,400;2526,375;10,875;5;1
5/5;8;2024-08-20T16:00:00;72;HH;верх;2531,765;2513,390;34,365;7;1
5/5;9;2024-08-20T19:00:00;75;HL;низ;2500,865;2514,835;30,900;3;2
5/5;10;2024-08-21T05:00:00;84;LH;верх;2519,985;2509,820;19,120;9;1
5/5;11;2024-08-21T17:00:00;96;LL;низ;2493,830;2511,570;26,155;12;1
5/5;12;2024-08-21T21:00:00;100;LH;верх;2519,185;2513,810;25,355;4;1
5/5;13;2024-08-22T17:00:00;119;LL;низ;2470,850;2483,010;48,335;19;2
5/5;14;2024-08-23T18:00:00;143;LH;верх;2518,400;2512,490;47,550;24;2
5/5;15;2024-08-26T08:00:00;156;HL;низ;2508,810;2525,010;9,590;13;1
5/5;16;2024-08-26T14:00:00;162;HH;верх;2526,900;2520,305;18,090;6;1
5/5;17;2024-08-26T17:00:00;165;HL;низ;2510,680;2518,235;16,220;3;1
5/5;18;2024-08-27T10:00:00;181;LH;верх;2517,615;2509,930;6,935;16;1
5/5;19;2024-08-27T11:00:00;182;LL;низ;2503,585;2512,230;14,030;1;1
5/5;20;2024-08-28T02:00:00;196;HH;верх;2529,135;2511,585;25,550;14;1
5/5;21;2024-08-28T15:00:00;209;LL;низ;2493,665;2505,425;35,470;13;2
5/5;22;2024-08-29T20:00:00;237;LH;верх;2528,740;2519,630;35,075;28;1
5/5;23;2024-08-30T07:00:00;247;HL;низ;2512,255;2524,240;16,485;10;1
5/5;24;2024-08-30T12:00:00;252;LH;верх;2526,925;2509,120;14,670;5;1
5/5;25;2024-08-30T20:00:00;260;LL;низ;2494,215;2503,110;32,710;8;1
5/5;26;2024-09-02T03:00:00;266;LH;верх;2505,010;2496,600;10,795;6;1
5/5;27;2024-09-02T05:00:00;268;LL;низ;2490,105;2498,325;14,905;2;1
5/5;28;2024-09-02T11:00:00;274;HH;верх;2507,330;2499,995;17,225;6;1
5/5;29;2024-09-03T04:00:00;288;LL;низ;2489,705;2497,945;17,625;14;1
5/5;30;2024-09-03T11:00:00;295;LH;верх;2506,350;2480,165;16,645;7;1
5/5;31;2024-09-03T17:00:00;301;LL;низ;2473,325;2492,110;33,025;6;1
5/5;32;2024-09-04T05:00:00;312;LH;верх;2496,985;2482,175;23,660;11;1
