слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
3/3;30;2017-08-07 12:00:00;193;LL;низ;1255,829;1259,220;3,301;10;1
3/3;31;2017-08-07 17:00:00;198;HH;верх;1260,039;1257,829;4,210;5;1
3/3;32;2017-08-07 22:00:00;202;HL;низ;1257,076;1260,187;2,963;4;1
3/3;33;2017-08-08 02:00:00;206;HH;верх;1261,054;1260,166;3,978;4;1
3/3;34;2017-08-08 07:00:00;211;HL;низ;1259,222;1264,089;1,832;5;1
3/3;35;2017-08-08 10:00:00;214;HH;верх;1265,346;1262,608;6,124;3;1
3/3;36;2017-08-08 15:00:00;219;LL;низ;1251,614;1256,056;13,732;5;1
3/3;37;2017-08-09 18:00:00;245;HH;верх;1278,788;1276,852;27,174;26;4
3/3;38;2017-08-10 00:00:00;250;HL;низ;1274,745;1276,578;4,043;5;1
3/3;39;2017-08-11 01:00:00;274;HH;верх;1289,112;1286,008;14,367;24;2
3/3;40;2017-08-11 01:00:00;274;HL;низ;1283,968;1286,008;5,144;0;2
3/3;41;2017-08-11 12:00:00;285;HH;верх;1292,354;1287,809;8,386;11;1
3/3;42;2017-08-11 13:00:00;286;LL;низ;1281,356;1287,105;10,998;1;1
3/3;43;2017-08-11 19:00:00;292;LH;верх;1291,842;1288,890;10,486;6;1
3/3;44;2017-08-14 01:00:00;297;HL;низ;1285,472;1286,680;6,370;5;1
3/3;45;2017-08-14 03:00:00;299;LH;верх;1289,661;1287,011;4,189;2;1
3/3;46;2017-08-14 11:00:00;307;LL;низ;1278,685;1284,200;10,976;8;1
3/3;47;2017-08-14 16:00:00;312;LH;верх;1285,631;1282,103;6,946;5;1
3/3;48;2017-08-15 01:00:00;320;LL;низ;1272,407;1275,014;13,224;8;3
3/3;49;2017-08-15 07:00:00;326;LH;верх;1276,254;1274,718;3,847;6;1
3/3;50;2017-08-15 13:00:00;332;LL;низ;1267,397;1273,825;8,857;6;1
3/3;51;2017-08-15 17:00:00;336;LH;верх;1275,176;1271,368;7,779;4;1
3/3;52;2017-08-15 20:00:00;339;HL;низ;1271,129;1271,991;4,047;3;2
3/3;53;2017-08-16 02:00:00;344;LH;верх;1274,152;1273,029;3,023;5;1
3/3;54;2017-08-16 13:00:00;355;LL;низ;1267,734;1274,738;6,418;11;2
3/3;55;2017-08-17 07:00:00;372;HH;верх;1290,253;1285,510;22,519;17;3
3/3;56;2017-08-17 14:00:00;379;HL;низ;1281,254;1285,012;8,999;7;1
3/3;57;2017-08-17 23:00:00;387;LH;верх;1289,462;1287,253;8,208;8;1
3/3;58;2017-08-18 01:00:00;389;HL;низ;1285,996;1288,104;3,466;2;1
3/3;59;2017-08-18 13:00:00;401;HH;верх;1300,926;1286,395;14,930;12;2
3/3;60;2017-08-20 23:00:00;410;LL;низ;1280,613;1286,032;20,313;9;4
3/3;61;2017-08-21 13:00:00;424;LH;верх;1294,081;1291,585;13,468;14;3
3/3;62;2017-08-22 07:00:00;441;HL;низ;1283,148;1286,298;10,933;17;2
3/3;63;2017-08-22 13:00:00;447;LH;верх;1291,230;1286,369;8,082;6;1
3/3;64;2017-08-22 14:00:00;448;LL;низ;1282,053;1285,784;9,177;1;2
3/3;65;2017-08-23 12:00:00;469;HH;верх;1291,598;1287,985;9,545;21;1
3/3;66;2017-08-23 15:00:00;472;HL;низ;1286,798;1290,001;4,800;3;1
3/3;67;2017-08-23 23:00:00;479;LH;верх;1291,298;1288,320;4,500;7;1
3/3;68;2017-08-24 02:00:00;482;HL;низ;1287,162;1289,944;4,136;3;1
3/3;69;2017-08-24 05:00:00;485;LH;верх;1290,234;1286,024;3,072;3;1
3/3;70;2017-08-24 08:00:00;488;LL;низ;1284,492;1287,611;5,742;3;1
3/3;71;2017-08-24 13:00:00;493;HH;верх;1290,249;1287,354;5,757;5;1
3/3;72;2017-08-24 14:00:00;494;HL;низ;1284,881;1286,480;5,368;1;2
3/3;73;2017-08-25 00:00:00;503;LH;верх;1287,198;1286,856;2,317;9;1
3/3;74;2017-08-25 06:00:00;509;HL;низ;1285,962;1287,919;1,236;6;1
3/3;75;2017-08-25 13:00:00;516;HH;верх;1295,152;1292,727;9,190;7;2
3/3;76;2017-08-25 13:00:00;516;LL;низ;1276,196;1292,727;18,956;0;2
3/3;77;2017-08-29 08:00:00;557;HH;верх;1326,132;1320,698;49,936;41;3
3/3;78;2017-08-29 19:00:00;568;HL;низ;1305,060;1309,021;21,072;11;1
3/3;79;2017-08-30 03:00:00;575;LH;верх;1313,533;1307,496;8,473;7;1
3/3;80;2017-08-30 06:00:00;578;HL;низ;1306,368;1310,967;7,165;3;1
3/3;81;2017-08-30 10:00:00;582;HH;верх;1313,777;1307,244;7,409;4;1
3/3;82;2017-08-30 12:00:00;584;LL;низ;1305,206;1308,922;8,571;2;2
3/3;83;2017-08-30 22:00:00;593;LH;верх;1309,178;1303,033;3,972;9;1
3/3;84;2017-08-31 01:00:00;596;LL;низ;1297,876;1303,537;11,302;3;1
3/3;85;2017-08-31 19:00:00;614;HH;верх;1323,690;1321,311;25,814;18;2
3/3;86;2017-09-01 07:00:00;625;HL;низ;1317,806;1318,752;5,884;11;2
3/3;87;2017-09-01 12:00:00;630;HH;верх;1329,053;1323,628;11,247;5;1
3/3;88;2017-09-01 14:00:00;632;LL;низ;1316,452;1324,518;12,601;2;1
3/3;89;2017-09-04 07:00:00;648;HH;верх;1340,038;1334,765;23,586;16;2
3/3;90;2017-09-04 08:00:00;649;HL;низ;1332,273;1334,251;7,765;1;1
3/3;91;2017-09-04 13:00:00;654;LH;верх;1336,012;1334,591;3,739;5;1
3/3;92;2017-09-04 23:00:00;659;HL;низ;1332,292;1335,839;3,720;5;2
3/3;93;2017-09-05 02:00:00;662;HH;верх;1338,703;1335,973;6,411;3;1
3/3;94;2017-09-05 11:00:00;671;LL;низ;1326,267;1336,529;12,436;9;1
3/3;95;2017-09-05 19:00:00;679;HH;верх;1344,421;1341,713;18,154;8;2
3/3;96;2017-09-06 07:00:00;690;HL;низ;1336,406;1338,851;8,015;11;1
3/3;97;2017-09-06 09:00:00;692;LH;верх;1342,005;1339,391;5,599;2;2
3/3;98;2017-09-06 18:00:00;701;LL;низ;1331,640;1333,856;10,365;9;1
3/3;99;2017-09-07 00:00:00;706;LH;верх;1336,060;1334,867;4,420;5;1
3/3;100;2017-09-07 06:00:00;712;HL;низ;1334,124;1339,894;1,936;6;1
3/3;101;2017-09-08 05:00:00;734;HH;верх;1357,624;1351,608;23,500;22;2
3/3;102;2017-09-10 23:00:00;751;LL;низ;1333,995;1337,639;23,629;17;3
3/3;103;2017-09-11 09:00:00;761;LH;верх;1339,161;1332,777;5,166;10;1
3/3;104;2017-09-12 04:00:00;779;LL;низ;1323,333;1327,114;15,828;18;3
3/3;105;2017-09-12 08:00:00;783;LH;верх;1328,774;1325,656;5,441;4;1
3/3;106;2017-09-12 10:00:00;785;LL;низ;1322,678;1326,807;6,096;2;1
3/3;107;2017-09-12 22:00:00;796;HH;верх;1334,856;1332,112;12,178;11;2
3/3;108;2017-09-13 01:00:00;799;HL;низ;1329,573;1331,024;5,283;3;1
3/3;109;2017-09-13 02:00:00;800;LH;верх;1333,326;1330,849;3,753;1;1
3/3;110;2017-09-13 05:00:00;803;LL;низ;1329,418;1332,552;3,908;3;1
3/3;111;2017-09-13 10:00:00;808;HH;верх;1334,745;1327,473;5,327;5;1
3/3;112;2017-09-14 00:00:00;821;LL;низ;1319,208;1321,707;15,537;13;3
3/3;113;2017-09-14 12:00:00;833;LH;верх;1327,861;1325,206;8,653;12;1
3/3;114;2017-09-14 12:00:00;833;LL;низ;1315,683;1325,206;12,178;0;1
3/3;115;2017-09-14 23:00:00;843;HH;верх;1334,467;1331,060;18,784;10;2
3/3;116;2017-09-17 23:00:00;866;LL;низ;1314,418;1318,789;20,049;23;2
3/3;117;2017-09-18 02:00:00;869;LH;верх;1319,731;1318,079;5,313;3;1
3/3;118;2017-09-18 18:00:00;885;LL;низ;1304,706;1307,968;15,025;16;3
3/3;119;2017-09-19 03:00:00;893;LH;верх;1309,967;1307,783;5,261;8;2
3/3;120;2017-09-19 11:00:00;901;HL;низ;1306,818;1309,690;3,149;8;1
3/3;121;2017-09-19 14:00:00;904;HH;верх;1310,928;1308,319;4,110;3;1
3/3;122;2017-09-19 16:00:00;906;LL;низ;1305,186;1311,095;5,742;2;1
3/3;123;2017-09-19 19:00:00;909;HH;верх;1311,795;1310,901;6,609;3;1
3/3;124;2017-09-20 01:00:00;914;HL;низ;1309,732;1312,610;2,063;5;2
3/3;125;2017-09-20 09:00:00;922;HH;верх;1316,148;1311,387;6,416;8;1
3/3;126;2017-09-20 13:00:00;926;HL;низ;1310,950;1313,348;5,198;4;1
3/3;127;2017-09-20 18:00:00;931;HH;верх;1316,292;1301,157;5,342;5;1
3/3;128;2017-09-21 12:00:00;948;LL;низ;1288,150;1294,690;28,142;17;4
3/3;129;2017-09-22 04:00:00;963;LH;верх;1298,868;1296,741;10,718;15;2
3/3;130;2017-09-22 12:00:00;971;HL;низ;1293,454;1296,078;5,414;8;1
3/3;131;2017-09-22 14:00:00;973;LH;верх;1298,530;1295,155;5,076;2;1
3/3;132;2017-09-22 17:00:00;976;HL;низ;1294,158;1297,293;4,372;3;1
3/3;133;2017-09-24 22:00:00;980;LH;верх;1298,034;1292,605;3,876;4;1
3/3;134;2017-09-24 23:00:00;981;LL;низ;1289,099;1291,646;8,935;1;1
3/3;135;2017-09-25 04:00:00;986;LH;верх;1294,737;1291,927;5,638;5;1
3/3;136;2017-09-25 07:00:00;989;HL;низ;1290,926;1294,583;3,811;3;1
3/3;137;2017-09-25 09:00:00;991;HH;верх;1296,548;1293,005;5,622;2;1
3/3;138;2017-09-25 12:00:00;994;LL;низ;1290,843;1305,074;5,705;3;1
3/3;139;2017-09-25 20:00:00;1002;HH;верх;1312,508;1309,877;21,665;8;1
3/3;140;2017-09-25 22:00:00;1003;HL;низ;1307,424;1310,983;5,084;1;1
3/3;141;2017-09-26 03:00:00;1008;HH;верх;1313,809;1309,642;6,385;5;1
3/3;142;2017-09-27 00:00:00;1028;LL;низ;1290,773;1294,736;23,036;20;3
3/3;143;2017-09-27 01:00:00;1029;LH;верх;1296,344;1294,074;5,571;1;1
3/3;144;2017-09-27 08:00:00;1036;LL;низ;1285,542;1289,652;10,802;7;1
3/3;145;2017-09-27 10:00:00;1038;LH;верх;1294,058;1283,157;8,516;2;1
3/3;146;2017-09-27 20:00:00;1048;LL;низ;1281,580;1283,803;12,478;10;2
3/3;147;2017-09-28 00:00:00;1051;LH;верх;1285,024;1281,247;3,444;3;1
3/3;148;2017-09-28 06:00:00;1057;LL;низ;1277,806;1284,625;7,218;6;1
3/3;149;2017-09-28 12:00:00;1063;HH;верх;1286,342;1284,226;8,536;6;1
3/3;150;2017-09-28 14:00:00;1065;HL;низ;1282,108;1286,531;4,234;2;1
3/3;151;2017-09-28 18:00:00;1069;HH;верх;1288,746;1287,332;6,638;4;2
3/3;152;2017-09-29 06:00:00;1080;HL;низ;1283,632;1288,146;5,114;11;2
3/3;153;2017-09-29 12:00:00;1086;HH;верх;1290,503;1284,116;6,871;6;1
3/3;154;2017-10-02 07:00:00;1104;LL;низ;1271,204;1274,320;19,299;18;2
3/3;155;2017-10-02 14:00:00;1111;LH;верх;1277,346;1274,640;6,142;7;1
3/3;156;2017-10-02 20:00:00;1117;LL;низ;1269,770;1270,105;7,576;6;2
3/3;157;2017-10-03 00:00:00;1120;LH;верх;1273,068;1269,700;3,298;3;1
3/3;158;2017-10-03 01:00:00;1121;LL;низ;1268,418;1269,353;4,650;1;1
3/3;159;2017-10-03 06:00:00;1126;LH;верх;1272,546;1271,044;4,128;5;1
3/3;160;2017-10-03 12:00:00;1132;HL;низ;1269,306;1273,794;3,240;6;1
3/3;161;2017-10-03 15:00:00;1135;HH;верх;1274,784;1272,014;5,478;3;1
3/3;162;2017-10-03 20:00:00;1140;HL;низ;1270,654;1275,372;4,130;5;1
3/3;163;2017-10-04 06:00:00;1149;HH;верх;1278,700;1276,625;8,046;9;1
3/3;164;2017-10-04 08:00:00;1151;HL;низ;1275,034;1281,084;3,666;2;1
3/3;165;2017-10-04 12:00:00;1155;HH;верх;1282,320;1273,618;7,286;4;1
3/3;166;2017-10-04 14:00:00;1157;LL;низ;1270,588;1274,388;11,732;2;1
3/3;167;2017-10-04 19:00:00;1162;LH;верх;1276,352;1274,070;5,764;5;1
3/3;168;2017-10-05 00:00:00;1166;HL;низ;1273,112;1274,554;3,240;4;2
3/3;169;2017-10-05 09:00:00;1175;HH;верх;1279,026;1276,924;5,914;9;1
3/3;170;2017-10-05 20:00:00;1186;LL;низ;1266,498;1269,024;12,528;11;1
3/3;171;2017-10-06 01:00:00;1190;LH;верх;1269,767;1268,127;3,269;4;1
3/3;172;2017-10-06 13:00:00;1202;LL;низ;1260,668;1273,517;9,099;12;2
3/3;173;2017-10-09 06:00:00;1218;HH;верх;1285,592;1282,515;24,924;16;3
3/3;174;2017-10-09 07:00:00;1219;HL;низ;1279,676;1282,954;5,916;1;1
3/3;175;2017-10-09 11:00:00;1223;LH;верх;1284,170;1281,759;4,494;4;1
3/3;176;2017-10-09 14:00:00;1226;LL;низ;1279,464;1282,664;4,706;3;1
3/3;177;2017-10-09 19:00:00;1231;HH;верх;1285,260;1283,357;5,796;5;1
3/3;178;2017-10-10 00:00:00;1235;HL;низ;1282,210;1286,720;3,050;4;1
3/3;179;2017-10-10 01:00:00;1236;HH;верх;1288,348;1287,340;6,138;1;1
3/3;180;2017-10-10 13:00:00;1248;HL;низ;1288,268;1290,407;0,080;12;1
3/3;181;2017-10-10 15:00:00;1250;HH;верх;1294,306;1288,969;6,038;2;1
3/3;182;2017-10-10 20:00:00;1255;LL;низ;1287,782;1290,234;6,524;5;1
3/3;183;2017-10-11 01:00:00;1259;LH;верх;1291,738;1287,571;3,956;4;1
3/3;184;2017-10-11 02:00:00;1260;LL;низ;1286,745;1288,494;4,993;1;2
3/3;185;2017-10-11 12:00:00;1270;LH;верх;1291,409;1288,282;4,664;10;1
3/3;186;2017-10-11 17:00:00;1275;LL;низ;1284,644;1291,816;6,765;5;1
3/3;187;2017-10-12 07:00:00;1288;HH;верх;1297,565;1294,792;12,921;13;2
3/3;188;2017-10-12 14:00:00;1295;HL;низ;1289,710;1294,764;7,855;7;1
3/3;189;2017-10-13 06:00:00;1310;HH;верх;1298,516;1293,912;8,806;15;3
3/3;190;2017-10-13 12:00:00;1316;HL;низ;1291,084;1300,154;7,432;6;1
3/3;191;2017-10-16 00:00:00;1327;HH;верх;1304,690;1302,529;13,606;11;2
3/3;192;2017-10-16 01:00:00;1328;HL;низ;1301,128;1302,150;3,562;1;1
3/3;193;2017-10-16 11:00:00;1338;HH;верх;1306,138;1303,854;5,010;10;2
3/3;194;2017-10-17 15:00:00;1365;LL;низ;1281,414;1286,761;24,724;27;4
3/3;195;2017-10-17 18:00:00;1368;LH;верх;1287,576;1285,610;6,162;3;1
3/3;196;2017-10-17 22:00:00;1371;HL;низ;1284,906;1287,730;2,670;3;1
3/3;197;2017-10-18 02:00:00;1375;HH;верх;1288,889;1284,274;3,983;4;1
3/3;198;2017-10-18 12:00:00;1385;LL;низ;1276,990;1281,114;11,899;10;1
3/3;199;2017-10-18 13:00:00;1386;LH;верх;1283,619;1281,159;6,629;1;2
3/3;200;2017-10-19 02:00:00;1398;LL;низ;1276,729;1277,887;6,890;12;1
3/3;201;2017-10-19 15:00:00;1411;HH;верх;1290,180;1286,405;13,451;13;1
3/3;202;2017-10-19 19:00:00;1415;HL;низ;1285,676;1290,183;4,504;4;1
3/3;203;2017-10-19 23:00:00;1418;HH;верх;1291,218;1283,712;5,542;3;1
3/3;204;2017-10-20 02:00:00;1421;LL;низ;1282,612;1283,841;8,606;3;1
3/3;205;2017-10-20 07:00:00;1426;LH;верх;1285,380;1282,175;2,768;5;1
3/3;206;2017-10-20 08:00:00;1427;LL;низ;1279,254;1283,602;6,126;1;1
3/3;207;2017-10-20 11:00:00;1430;LH;верх;1284,768;1282,383;5,514;3;1
3/3;208;2017-10-23 00:00:00;1442;LL;низ;1274,346;1276,501;10,422;12;1
3/3;209;2017-10-23 06:00:00;1448;LH;верх;1277,244;1275,004;2,898;6;1
3/3;210;2017-10-23 13:00:00;1455;LL;низ;1272,554;1281,028;4,690;7;2
3/3;211;2017-10-24 00:00:00;1465;HH;верх;1283,772;1282,687;11,218;10;2
3/3;212;2017-10-24 14:00:00;1479;HL;низ;1273,704;1276,772;10,068;14;2
3/3;213;2017-10-24 19:00:00;1484;LH;верх;1281,320;1275,803;7,616;5;1
3/3;214;2017-10-25 12:00:00;1500;LL;низ;1271,088;1276,235;10,232;16;3
3/3;215;2017-10-26 05:00:00;1516;HH;верх;1282,590;1278,052;11,502;16;3
3/3;216;2017-10-26 07:00:00;1518;HL;низ;1276,642;1278,317;5,948;2;1
3/3;217;2017-10-26 13:00:00;1524;LH;верх;1280,121;1270,422;3,479;6;1
3/3;218;2017-10-27 01:00:00;1535;LL;низ;1265,394;1267,639;14,727;11;2
3/3;219;2017-10-27 03:00:00;1537;LH;верх;1268,691;1265,916;3,297;2;1
3/3;220;2017-10-27 07:00:00;1541;LL;низ;1264,776;1267,371;3,915;4;1
3/3;221;2017-10-27 08:00:00;1542;HH;верх;1269,168;1266,505;4,392;1;1
3/3;222;2017-10-27 12:00:00;1546;LL;низ;1263,582;1270,899;5,586;4;1
3/3;223;2017-10-27 20:00:00;1554;HH;верх;1274,707;1272,080;11,125;8;2
3/3;224;2017-10-30 07:00:00;1564;HL;низ;1268,999;1271,865;5,708;10;3
3/3;225;2017-10-30 16:00:00;1573;HH;верх;1278,890;1275,690;9,891;9;2
3/3;226;2017-10-31 01:00:00;1581;HL;низ;1274,954;1275,341;3,936;8;1
3/3;227;2017-10-31 06:00:00;1586;LH;верх;1278,242;1275,649;3,288;5;1
3/3;228;2017-10-31 14:00:00;1594;LL;низ;1267,844;1270,300;10,398;8;1
3/3;229;2017-10-31 19:00:00;1599;LH;верх;1272,055;1270,066;4,211;5;1
3/3;230;2017-11-01 01:00:00;1604;HL;низ;1267,988;1269,571;4,067;5;1
3/3;231;2017-11-01 10:00:00;1613;HH;верх;1280,920;1273,338;12,932;9;1
3/3;232;2017-11-01 13:00:00;1616;HL;низ;1272,385;1276,820;8,535;3;1
3/3;233;2017-11-01 14:00:00;1617;LH;верх;1279,959;1275,992;7,574;1;2
3/3;234;2017-11-01 18:00:00;1621;HL;низ;1273,539;1275,749;6,420;4;1
3/3;235;2017-11-02 01:00:00;1627;HH;верх;1281,526;1280,070;7,987;6;1
3/3;236;2017-11-02 11:00:00;1637;LL;низ;1273,320;1279,669;8,206;10;1
3/3;237;2017-11-02 14:00:00;1640;HH;верх;1284,271;1277,181;10,951;3;1
3/3;238;2017-11-02 16:00:00;1642;HL;низ;1274,957;1276,282;9,314;2;2
3/3;239;2017-11-03 01:00:00;1650;LH;верх;1278,775;1277,322;3,818;8;1
3/3;240;2017-11-03 02:00:00;1651;HL;низ;1276,265;1277,078;2,510;1;1
3/3;241;2017-11-03 12:00:00;1661;HH;верх;1280,590;1268,730;4,325;10;2
3/3;242;2017-11-03 15:00:00;1664;LL;низ;1265,534;1268,963;15,056;3;1
3/3;243;2017-11-05 23:00:00;1670;LH;верх;1271,191;1269,662;5,657;6;1
3/3;244;2017-11-06 01:00:00;1672;HL;низ;1266,174;1269,726;5,017;2;1
3/3;245;2017-11-06 04:00:00;1675;LH;верх;1270,706;1269,097;4,532;3;1
3/3;246;2017-11-06 07:00:00;1678;HL;низ;1267,666;1272,140;3,040;3;1
3/3;247;2017-11-06 17:00:00;1688;HH;верх;1283,082;1281,073;15,416;10;1
3/3;248;2017-11-07 08:00:00;1702;HL;низ;1275,303;1276,183;7,779;14;2
3/3;249;2017-11-07 14:00:00;1708;LH;верх;1280,130;1275,035;4,827;6;1
3/3;250;2017-11-07 15:00:00;1709;LL;низ;1271,974;1274,961;8,156;1;1
3/3;251;2017-11-07 23:00:00;1716;LH;верх;1278,354;1277,085;6,380;7;1
3/3;252;2017-11-08 06:00:00;1723;HL;низ;1276,006;1279,300;2,348;7;1
3/3;253;2017-11-08 16:00:00;1733;HH;верх;1287,262;1282,280;11,256;10;2
3/3;254;2017-11-09 01:00:00;1741;HL;низ;1280,056;1283,302;7,206;8;2
3/3;255;2017-11-09 11:00:00;1751;HH;верх;1288,284;1284,687;8,228;10;2
3/3;256;2017-11-09 15:00:00;1755;HL;низ;1281,994;1286,621;6,290;4;1
3/3;257;2017-11-09 20:00:00;1760;HH;верх;1288,744;1286,903;6,750;5;1
3/3;258;2017-11-09 21:00:00;1761;HL;низ;1284,868;1285,804;3,876;1;1
3/3;259;2017-11-10 01:00:00;1764;LH;верх;1287,191;1284,801;2,323;3;2
3/3;260;2017-11-10 08:00:00;1771;LL;низ;1282,675;1283,914;4,516;7;1
3/3;261;2017-11-10 14:00:00;1777;LH;верх;1285,989;1276,123;3,314;6;1
3/3;262;2017-11-10 18:00:00;1781;LL;низ;1273,506;1275,413;12,483;4;2
3/3;263;2017-11-13 11:00:00;1797;LH;верх;1279,558;1277,356;6,052;16;1
3/3;264;2017-11-13 13:00:00;1799;HL;низ;1276,260;1278,127;3,298;2;1
3/3;265;2017-11-13 16:00:00;1802;HH;верх;1279,898;1278,990;3,638;3;1
3/3;266;2017-11-14 03:00:00;1812;LL;низ;1275,526;1276,400;4,372;10;1
3/3;267;2017-11-14 07:00:00;1816;LH;верх;1277,300;1272,170;1,774;4;1
3/3;268;2017-11-14 08:00:00;1817;LL;низ;1270,118;1273,114;7,182;1;2
3/3;269;2017-11-14 18:00:00;1827;HH;верх;1283,638;1280,072;13,520;10;1
3/3;270;2017-11-14 23:00:00;1831;HL;низ;1279,188;1281,736;4,450;4;1
3/3;271;2017-11-15 01:00:00;1833;LH;верх;1283,438;1281,198;4,250;2;1
3/3;272;2017-11-15 06:00:00;1838;HL;низ;1280,498;1285,073;2,940;5;1
3/3;273;2017-11-15 13:00:00;1845;HH;верх;1289,606;1277,546;9,108;7;2
3/3;274;2017-11-15 16:00:00;1848;LL;низ;1276,709;1277,989;12,897;3;1
3/3;275;2017-11-15 20:00:00;1852;LH;верх;1279,678;1278,493;2,969;4;1
3/3;276;2017-11-16 07:00:00;1862;LL;низ;1275,175;1278,167;4,503;10;2
3/3;277;2017-11-16 14:00:00;1869;HH;верх;1281,884;1280,413;6,709;7;2
3/3;278;2017-11-16 14:00:00;1869;HL;низ;1276,414;1280,413;5,470;0;2
3/3;279;2017-11-17 02:00:00;1880;HH;верх;1284,080;1281,962;7,666;11;1
3/3;280;2017-11-17 07:00:00;1885;HL;низ;1281,149;1284,021;2,931;5;2
3/3;281;2017-11-17 18:00:00;1896;HH;верх;1296,984;1294,343;15,835;11;1
3/3;282;2017-11-20 07:00:00;1908;HL;низ;1290,180;1291,590;6,804;12;1
3/3;283;2017-11-20 13:00:00;1914;LH;верх;1293,648;1279,505;3,468;6;2
3/3;284;2017-11-20 18:00:00;1919;LL;низ;1274,518;1276,920;19,130;5;1
3/3;285;2017-11-21 08:00:00;1932;LH;верх;1281,484;1277,936;6,966;13;1
3/3;286;2017-11-21 13:00:00;1937;HL;низ;1276,272;1282,755;5,212;5;1
3/3;287;2017-11-21 15:00:00;1939;HH;верх;1284,832;1281,617;8,560;2;1
3/3;288;2017-11-21 20:00:00;1944;HL;низ;1279,539;1281,867;5,293;5;1
3/3;289;2017-11-22 00:00:00;1947;LH;верх;1282,512;1279,908;2,973;3;1
3/3;290;2017-11-22 03:00:00;1950;LL;низ;1279,115;1282,705;3,397;3;1
3/3;291;2017-11-22 19:00:00;1966;HH;верх;1294,696;1290,926;15,581;16;2
3/3;292;2017-11-23 09:00:00;1979;HL;низ;1287,128;1291,591;7,568;13;1
3/3;293;2017-11-23 10:00:00;1980;LH;верх;1293,712;1291,947;6,584;1;1
3/3;294;2017-11-23 15:00:00;1985;HL;низ;1289,119;1291,418;4,593;5;2
3/3;295;2017-11-24 02:00:00;1991;LH;верх;1293,339;1291,671;4,220;6;1
3/3;296;2017-11-24 11:00:00;2000;LL;низ;1285,813;1290,112;7,526;9;1
3/3;297;2017-11-24 14:00:00;2003;LH;верх;1291,431;1288,245;5,618;3;1
3/3;298;2017-11-27 00:00:00;2009;HL;низ;1286,790;1289,921;4,641;6;2
3/3;299;2017-11-27 14:00:00;2023;HH;верх;1299,326;1295,598;12,536;14;1
3/3;300;2017-11-27 15:00:00;2024;HL;низ;1292,288;1294,431;7,038;1;2
3/3;301;2017-11-28 00:00:00;2032;LH;верх;1296,853;1294,343;4,565;8;2
3/3;302;2017-11-28 14:00:00;2046;LL;низ;1290,712;1294,564;6,141;14;2
3/3;303;2017-11-28 15:00:00;2047;HH;верх;1297,572;1295,657;6,860;1;1
3/3;304;2017-11-28 19:00:00;2051;HL;низ;1291,700;1294,046;5,872;4;2
