слой;№;время;бар;подпись;сторона;цена колена;цена сейчас;нога;баров от предыдущего;мутность
3/3;0;2017-07-26 06:00:00;3;?;низ;1243,821;1246,176;0,000;0;1
3/3;1;2017-07-27 03:00:00;23;?;верх;1265,046;1262,822;21,225;20;2
3/3;2;2017-07-27 08:00:00;28;HL;низ;1260,916;1261,582;4,130;5;1
3/3;3;2017-07-27 12:00:00;32;HH;верх;1265,366;1257,718;4,450;4;1
3/3;4;2017-07-27 16:00:00;36;LL;низ;1254,584;1259,987;10,782;4;1
3/3;5;2017-07-27 18:00:00;38;LH;верх;1262,504;1259,245;7,920;2;1
3/3;6;2017-07-27 20:00:00;40;HL;низ;1257,934;1260,029;4,570;2;1
3/3;7;2017-07-28 00:00:00;43;LH;верх;1261,099;1258,082;3,165;3;1
3/3;8;2017-07-28 04:00:00;47;LL;низ;1257,459;1259,871;3,640;4;1
3/3;9;2017-07-28 07:00:00;50;LH;верх;1260,606;1259,126;3,147;3;1
3/3;10;2017-07-28 11:00:00;54;HL;низ;1258,219;1266,490;2,387;4;1
3/3;11;2017-07-30 22:00:00;64;HH;верх;1271,232;1268,340;13,013;10;2
3/3;12;2017-07-31 07:00:00;73;HL;низ;1265,877;1267,656;5,355;9;3
3/3;13;2017-07-31 20:00:00;86;LH;верх;1270,401;1268,812;4,524;13;1
3/3;14;2017-08-01 00:00:00;89;HL;низ;1267,148;1269,687;3,253;3;1
3/3;15;2017-08-01 04:00:00;93;HH;верх;1270,852;1269,509;3,704;4;1
3/3;16;2017-08-01 12:00:00;101;LL;низ;1262,556;1271,782;8,296;8;1
3/3;17;2017-08-01 14:00:00;103;HH;верх;1274,204;1272,801;11,648;2;1
3/3;18;2017-08-02 04:00:00;116;HL;низ;1264,228;1266,863;9,976;13;1
3/3;19;2017-08-02 07:00:00;119;LH;верх;1267,850;1267,270;3,622;3;1
3/3;20;2017-08-02 12:00:00;124;LL;низ;1262,998;1271,304;4,852;5;1
3/3;21;2017-08-02 17:00:00;129;HH;верх;1272,948;1266,673;9,950;5;1
3/3;22;2017-08-02 23:00:00;134;LL;низ;1256,248;1263,274;16,700;5;3
3/3;23;2017-08-03 19:00:00;154;LH;верх;1270,880;1269,284;14,632;20;2
3/3;24;2017-08-04 02:00:00;160;HL;низ;1267,338;1269,602;3,542;6;1
3/3;25;2017-08-04 07:00:00;165;LH;верх;1270,281;1269,001;2,943;5;1
3/3;26;2017-08-04 14:00:00;172;LL;низ;1254,271;1258,126;16,010;7;1
3/3;27;2017-08-04 20:00:00;178;LH;верх;1259,645;1257,785;5,374;6;1
3/3;28;2017-08-06 23:00:00;180;HL;низ;1256,596;1258,072;3,049;2;1
3/3;29;2017-08-07 02:00:00;183;LH;верх;1259,130;1257,751;2,534;3;2
