time,open,high,low,close,сырая HH,сырая LH,сырая HL,сырая LL
2024-08-15T13:00:00+03:00,2456.95,2460.365,2456.89,2458.215,,,,
2024-08-15T14:00:00+03:00,2458.265,2464.27,2457.95,2463.595,,,,
2024-08-15T15:00:00+03:00,2463.6,2470.155,2441.1,2441.25,,2470.155,,
2024-08-15T16:00:00+03:00,2441.325,2451.52,2432.225,2444.495,,,,2432.225
2024-08-15T17:00:00+03:00,2444.52,2458.66,2444.51,2452.32,,,,
2024-08-15T18:00:00+03:00,2452.335,2459.645,2450.595,2458.47,,,,
2024-08-15T19:00:00+03:00,2458.465,2459.955,2455.14,2455.755,,,,
2024-08-15T20:00:00+03:00,2455.83,2456.505,2453.52,2455.53,,,,
2024-08-15T21:00:00+03:00,2455.535,2458.395,2454.855,2458.345,,,,
2024-08-15T22:00:00+03:00,2458.395,2461.675,2454.195,2455.645,,2461.675,,
2024-08-15T23:00:00+03:00,2455.65,2457.55,2454.835,2456.545,,,,
2024-08-16T01:00:00+03:00,2456.105,2456.105,2454.665,2454.905,,,,
2024-08-16T02:00:00+03:00,2454.91,2458.31,2454.515,2457.405,,,,
2024-08-16T03:00:00+03:00,2457.39,2459.815,2457.035,2458.445,,,,
2024-08-16T04:00:00+03:00,2458.635,2460.15,2455.855,2457.385,,,,
2024-08-16T05:00:00+03:00,2457.315,2457.775,2453.655,2455.03,,,,
2024-08-16T06:00:00+03:00,2454.845,2455.755,2450.805,2452.51,,,2450.805,
2024-08-16T07:00:00+03:00,2452.505,2453.785,2452.075,2452.79,,,,
2024-08-16T08:00:00+03:00,2452.795,2456.42,2452.67,2455.81,,,,
2024-08-16T09:00:00+03:00,2455.835,2457.88,2454.705,2455.085,,,,
2024-08-16T10:00:00+03:00,2455.095,2464.57,2451.22,2462.035,,,,
2024-08-16T11:00:00+03:00,2462.1,2464.12,2459.15,2462.435,,,,
2024-08-16T12:00:00+03:00,2462.44,2464.39,2461.265,2463.435,,,,
2024-08-16T13:00:00+03:00,2463.42,2468.26,2462.94,2464.685,,,,
2024-08-16T14:00:00+03:00,2464.69,2472.36,2464.685,2472.22,,,,
2024-08-16T15:00:00+03:00,2472.25,2492.53,2471.355,2491.73,,,,
2024-08-16T16:00:00+03:00,2491.775,2500.31,2483.7,2494.82,,,,
2024-08-16T17:00:00+03:00,2494.825,2495.16,2477.53,2487.22,,,,
2024-08-16T18:00:00+03:00,2487.23,2492.34,2485.75,2491.83,,,,
2024-08-16T19:00:00+03:00,2491.84,2497.82,2491.77,2495.95,,,,
2024-08-16T20:00:00+03:00,2495.94,2500.185,2493.19,2499.855,,,,
2024-08-16T21:00:00+03:00,2499.86,2505.64,2498.52,2503.38,,,,
2024-08-16T22:00:00+03:00,2503.485,2509.06,2501.785,2507.925,,,,
2024-08-16T23:00:00+03:00,2507.985,2509.82,2505.585,2508.14,2509.82,,,
2024-08-19T01:00:00+03:00,2506.525,2506.865,2502.45,2504.96,,,,
2024-08-19T02:00:00+03:00,2505.045,2506.915,2503.485,2506.535,,,,
2024-08-19T03:00:00+03:00,2506.54,2506.84,2500.385,2502.065,,,,
2024-08-19T04:00:00+03:00,2502.195,2506.16,2495.045,2498.32,,,2495.045,
2024-08-19T05:00:00+03:00,2498.325,2504.065,2496.305,2503.58,,,,
2024-08-19T06:00:00+03:00,2503.575,2505.95,2500.62,2503.345,,,,
2024-08-19T07:00:00+03:00,2503.27,2504.81,2498.885,2500.74,,,,
2024-08-19T08:00:00+03:00,2500.78,2502.52,2499.185,2501.14,,,,
2024-08-19T09:00:00+03:00,2501.14,2505.285,2499.695,2502.18,,,,
2024-08-19T10:00:00+03:00,2502.19,2505.01,2499.825,2503.145,,,,
2024-08-19T11:00:00+03:00,2503.12,2507.225,2502.41,2503.205,,2507.225,,
2024-08-19T12:00:00+03:00,2503.21,2504.025,2499.895,2500.025,,,,
2024-08-19T13:00:00+03:00,2500.015,2500.15,2489.6,2489.91,,,,
