time,open,high,low,close,триггер
2026-03-24T12:00:00+02:00,4426.61,4441.73,4414.79,4438.67,0
2026-03-24T13:00:00+02:00,4438.62,4442.245,4374.74,4408.24,0
2026-03-24T14:00:00+02:00,4408.235,4427.645,4362.065,4379.115,0
2026-03-24T15:00:00+02:00,4379.06,4389.89,4351.09,4381.67,0
2026-03-24T16:00:00+02:00,4381.66,4434.31,4380.855,4416.165,0
2026-03-24T17:00:00+02:00,4416.12,4431.085,4396.455,4411.79,1
2026-03-24T18:00:00+02:00,4411.85,4427.925,4402.635,4421.485,1
2026-03-24T19:00:00+02:00,4421.49,4426.69,4372.655,4388.695,0
2026-03-24T20:00:00+02:00,4388.725,4423.72,4383.95,4389.735,0
2026-03-24T21:00:00+02:00,4389.59,4411.61,4388.695,4400.33,0
2026-03-24T22:00:00+02:00,4400.14,4484.495,4397.575,4474.275,0
2026-03-25T00:00:00+02:00,4476.635,4485.445,4455.885,4484.35,0
2026-03-25T01:00:00+02:00,4484.285,4551.66,4472.855,4547.015,0
2026-03-25T02:00:00+02:00,4546.99,4572.18,4537.49,4563.295,1
2026-03-25T03:00:00+02:00,4563.265,4601.415,4552.375,4594.93,0
2026-03-25T04:00:00+02:00,4594.93,4602.645,4579.835,4583.8,0
2026-03-25T05:00:00+02:00,4583.725,4586.42,4567.755,4570.035,0
2026-03-25T06:00:00+02:00,4570.015,4574.985,4565.59,4573.02,0
2026-03-25T07:00:00+02:00,4573.15,4573.585,4549.225,4555.78,0
2026-03-25T08:00:00+02:00,4555.79,4557.1,4533.145,4545.62,0
2026-03-25T09:00:00+02:00,4545.595,4563.34,4537.115,4539.675,0
2026-03-25T10:00:00+02:00,4539.705,4568.235,4536.05,4556.32,0
2026-03-25T11:00:00+02:00,4556.295,4567.77,4527.89,4551.94,1
2026-03-25T12:00:00+02:00,4552.0,4562.585,4551.39,4558.87,0
2026-03-25T13:00:00+02:00,4558.915,4585.6,4556.21,4578.965,0
2026-03-25T14:00:00+02:00,4578.97,4583.87,4521.88,4544.095,0
2026-03-25T15:00:00+02:00,4544.09,4576.755,4540.925,4544.97,0
2026-03-25T16:00:00+02:00,4544.96,4579.44,4533.22,4567.34,0
2026-03-25T17:00:00+02:00,4567.245,4569.375,4525.265,4559.155,0
2026-03-25T18:00:00+02:00,4559.14,4565.185,4545.4,4555.135,1
2026-03-25T19:00:00+02:00,4555.155,4563.945,4542.96,4550.835,1
2026-03-25T20:00:00+02:00,4550.83,4569.025,4530.955,4538.295,0
