time,open,high,low,close,сырая HH,сырая LH,сырая HL,сырая LL
2025-09-05T06:00:00+03:00,3551.025,3559.195,3548.775,3558.42,,,,
2025-09-05T07:00:00+03:00,3558.51,3559.32,3556.3,3558.52,,,,
2025-09-05T08:00:00+03:00,3558.55,3561.28,3555.705,3557.79,3561.28,,,
2025-09-05T09:00:00+03:00,3557.8,3558.09,3548.21,3552.71,,,,
2025-09-05T10:00:00+03:00,3552.77,3554.375,3546.635,3548.24,,,,
2025-09-05T11:00:00+03:00,3548.215,3550.035,3544.855,3546.035,,,3544.855,
2025-09-05T12:00:00+03:00,3546.05,3553.92,3545.945,3552.47,,,,
2025-09-05T13:00:00+03:00,3552.48,3553.085,3549.5,3551.885,,,,
2025-09-05T14:00:00+03:00,3551.875,3555.32,3547.9,3553.395,,,,
2025-09-05T15:00:00+03:00,3553.42,3587.04,3548.84,3580.555,,,,
2025-09-05T16:00:00+03:00,3580.565,3595.425,3573.25,3594.74,,,,
2025-09-05T17:00:00+03:00,3594.74,3598.07,3573.24,3590.31,,,,
2025-09-05T18:00:00+03:00,3590.285,3595.515,3581.895,3591.99,,,,
2025-09-05T19:00:00+03:00,3591.955,3600.205,3591.095,3595.175,3600.205,,,
2025-09-05T20:00:00+03:00,3595.19,3597.585,3590.445,3596.43,,,,
2025-09-05T21:00:00+03:00,3596.56,3597.325,3592.57,3595.645,,,,
2025-09-05T22:00:00+03:00,3595.655,3596.155,3592.63,3594.63,,,,
2025-09-05T23:00:00+03:00,3594.615,3595.36,3586.19,3586.545,,,,
2025-09-08T01:00:00+03:00,3591.61,3597.095,3586.95,3592.13,,,,
2025-09-08T02:00:00+03:00,3592.24,3594.105,3587.84,3591.22,,,,
2025-09-08T03:00:00+03:00,3591.21,3594.5,3587.005,3594.41,,,,
2025-09-08T04:00:00+03:00,3594.33,3597.2,3584.905,3589.54,,,,
2025-09-08T05:00:00+03:00,3589.55,3594.585,3586.51,3590.855,,,,
2025-09-08T06:00:00+03:00,3590.87,3592.45,3582.98,3583.51,,,,
2025-09-08T07:00:00+03:00,3583.43,3584.875,3579.72,3581.63,,,3579.72,
2025-09-08T08:00:00+03:00,3581.675,3591.845,3581.21,3591.385,,,,
2025-09-08T09:00:00+03:00,3591.415,3599.035,3589.49,3598.335,,,,
2025-09-08T10:00:00+03:00,3598.33,3613.75,3596.48,3609.49,,,,
2025-09-08T11:00:00+03:00,3609.55,3617.295,3607.3,3611.285,,,,
2025-09-08T12:00:00+03:00,3611.295,3615.165,3608.7,3613.88,,,,
2025-09-08T13:00:00+03:00,3613.925,3622.475,3613.535,3617.075,,,,
2025-09-08T14:00:00+03:00,3617.12,3620.075,3612.725,3619.875,,,,
2025-09-08T15:00:00+03:00,3619.84,3626.09,3614.775,3624.245,,,,
2025-09-08T16:00:00+03:00,3624.21,3637.075,3620.215,3633.39,,,,
2025-09-08T17:00:00+03:00,3633.32,3641.08,3628.895,3640.86,,,,
2025-09-08T18:00:00+03:00,3640.845,3646.545,3633.265,3639.355,3646.545,,,
2025-09-08T19:00:00+03:00,3639.375,3641.735,3635.9,3640.765,,,,
2025-09-08T20:00:00+03:00,3640.74,3641.25,3632.675,3633.585,,,,
2025-09-08T21:00:00+03:00,3633.615,3636.745,3631.935,3636.085,,,,
2025-09-08T22:00:00+03:00,3636.05,3637.69,3632.67,3636.615,,,,
2025-09-08T23:00:00+03:00,3636.595,3638.02,3634.565,3635.85,,,,
2025-09-09T01:00:00+03:00,3636.15,3636.85,3628.83,3629.475,,,,
2025-09-09T02:00:00+03:00,3629.73,3636.33,3628.48,3635.05,,,3628.48,
2025-09-09T03:00:00+03:00,3635.04,3641.015,3633.63,3638.615,,,,
2025-09-09T04:00:00+03:00,3638.605,3647.72,3636.16,3646.59,,,,
2025-09-09T05:00:00+03:00,3646.49,3654.605,3644.925,3647.54,,,,
2025-09-09T06:00:00+03:00,3647.62,3652.08,3642.655,3646.125,,,,
2025-09-09T07:00:00+03:00,3646.14,3657.295,3645.935,3654.995,,,,
2025-09-09T08:00:00+03:00,3654.985,3659.435,3652.755,3655.265,3659.435,,,
2025-09-09T09:00:00+03:00,3655.34,3656.385,3636.62,3647.69,,,,
2025-09-09T10:00:00+03:00,3647.722,3651.095,3641.615,3644.34,,,,
2025-09-09T11:00:00+03:00,3644.325,3651.215,3641.855,3648.1,,,,
2025-09-09T12:00:00+03:00,3648.12,3656.8,3647.81,3653.755,,,,
2025-09-09T13:00:00+03:00,3653.74,3655.94,3648.835,3652.055,,,,
2025-09-09T14:00:00+03:00,3652.09,3654.295,3646.875,3648.075,,,,
2025-09-09T15:00:00+03:00,3648.095,3655.59,3643.775,3647.61,,,,
2025-09-09T16:00:00+03:00,3647.615,3668.32,3646.535,3665.905,,,,
2025-09-09T17:00:00+03:00,3665.95,3674.695,3636.005,3645.075,3674.695,,,
2025-09-09T18:00:00+03:00,3645.09,3646.645,3626.915,3645.665,,,,
2025-09-09T19:00:00+03:00,3645.69,3649.58,3644.2,3645.065,,,,
2025-09-09T20:00:00+03:00,3645.15,3646.5,3641.415,3642.86,,,,
2025-09-09T21:00:00+03:00,3642.915,3645.1,3639.715,3640.455,,,,
2025-09-09T22:00:00+03:00,3640.45,3641.28,3628.65,3629.56,,,,
2025-09-09T23:00:00+03:00,3629.58,3632.95,3626.03,3626.315,,,,
2025-09-10T01:00:00+03:00,3627.45,3635.865,3623.12,3635.49,,,,
2025-09-10T02:00:00+03:00,3635.225,3640.675,3633.535,3633.685,,,,
2025-09-10T03:00:00+03:00,3633.7,3634.635,3621.5,3624.105,,,,
2025-09-10T04:00:00+03:00,3624.13,3632.79,3620.135,3630.6,,,,3620.135
2025-09-10T05:00:00+03:00,3630.605,3638.225,3630.095,3636.275,,,,
2025-09-10T06:00:00+03:00,3636.22,3637.14,3633.125,3636.715,,,,
2025-09-10T07:00:00+03:00,3636.73,3643.39,3636.67,3643.035,,,,
2025-09-10T08:00:00+03:00,3643.02,3645.46,3639.96,3643.04,,,,
2025-09-10T09:00:00+03:00,3642.955,3647.705,3640.755,3643.995,,,,
2025-09-10T10:00:00+03:00,3643.995,3648.605,3641.26,3644.025,,,,
2025-09-10T11:00:00+03:00,3644.115,3647.875,3641.885,3646.065,,,,
2025-09-10T12:00:00+03:00,3645.985,3656.195,3644.93,3655.36,,,,
2025-09-10T13:00:00+03:00,3655.35,3657.535,3651.56,3655.3,,,,
2025-09-10T14:00:00+03:00,3655.315,3656.495,3648.385,3649.27,,,,
2025-09-10T15:00:00+03:00,3649.27,3657.61,3640.34,3644.095,,3657.61,,
2025-09-10T16:00:00+03:00,3644.11,3654.23,3642.125,3651.295,,,,
2025-09-10T17:00:00+03:00,3651.305,3655.575,3643.885,3647.7,,,,
2025-09-10T18:00:00+03:00,3647.745,3648.715,3638.65,3644.51,,,,
2025-09-10T19:00:00+03:00,3644.46,3647.02,3640,3642.825,,,,
2025-09-10T20:00:00+03:00,3642.83,3647.695,3641.815,3647.52,,,,
2025-09-10T21:00:00+03:00,3647.49,3649.69,3644.72,3645.365,,,,
2025-09-10T22:00:00+03:00,3645.44,3646.385,3635.335,3642.14,,,3635.335,
2025-09-10T23:00:00+03:00,3642.115,3642.975,3638.16,3640.585,,,,
2025-09-11T01:00:00+03:00,3644.465,3644.49,3637.96,3639.8,,,,
2025-09-11T02:00:00+03:00,3639.87,3645.695,3638.625,3644.96,,,,
2025-09-11T03:00:00+03:00,3645.005,3647.255,3642.535,3643.965,,,,
2025-09-11T04:00:00+03:00,3643.925,3649.345,3639.865,3641.165,,3649.345,,
2025-09-11T05:00:00+03:00,3641.14,3643.61,3634.255,3637.37,,,,
2025-09-11T06:00:00+03:00,3637.355,3637.355,3629.77,3632.18,,,,
2025-09-11T07:00:00+03:00,3632.18,3634.44,3630.295,3630.7,,,,
2025-09-11T08:00:00+03:00,3630.685,3633.53,3623.495,3625.09,,,,
2025-09-11T09:00:00+03:00,3625.115,3637.92,3622.75,3633.245,,,,
2025-09-11T10:00:00+03:00,3633.245,3633.37,3623.815,3630.09,,,,
2025-09-11T11:00:00+03:00,3630.115,3631.985,3625.47,3626.215,,,,
2025-09-11T12:00:00+03:00,3626.24,3626.24,3614.36,3622.05,,,,
2025-09-11T13:00:00+03:00,3622.03,3625.075,3619.74,3622.08,,,,
2025-09-11T14:00:00+03:00,3622.07,3622.36,3615.56,3616.82,,,,
2025-09-11T15:00:00+03:00,3616.845,3644.085,3612.835,3628.85,,3644.085,,3612.835
2025-09-11T16:00:00+03:00,3629.09,3637.17,3618.48,3630.24,,,,
