тренд №,блок,тип блока,дата начала (0),дата конца (5),последовательность,№ посл.,подпись нуля,цена (0),цена (1),цена (2),цена (3),цена (4),цена (5),ход блока %,ход тренда от рождения %,баров,что после (5)
1,1,рождение,2017-07-28 04:00,2017-07-31 20:00,LH·HL·HH·HL·LH,П5,LL,1257.46,1260.61,1258.22,1271.23,1265.88,1270.4,1.1,1.1,39,HL
2,1,рождение,2017-08-07 12:00,2017-08-08 10:00,HH·HL·HH·HL·HH,П6,LL,1255.83,1260.04,1257.08,1261.05,1259.22,1265.35,0.76,0.76,21,LL
3,1,рождение,2017-08-08 15:00,2017-08-11 12:00,HH·HL·HH·HL·HH,П6,LL,1251.61,1278.79,1274.74,1289.11,1283.97,1292.35,3.25,3.25,66,LL
4,1,рождение,2017-08-16 13:00,2017-08-18 13:00,HH·HL·LH·HL·HH,П16,LL,1267.73,1290.25,1281.25,1289.46,1286.0,1300.93,2.62,2.62,46,LL
5,1,рождение,2017-08-22 14:00,2017-08-24 05:00,HH·HL·LH·HL·LH,П25,LL,1282.05,1291.6,1286.8,1291.3,1287.16,1290.23,0.74,0.74,37,LL
6,1,рождение,2017-08-24 08:00,2017-08-25 13:00,HH·HL·LH·HL·HH,П16,LL,1284.49,1290.25,1284.88,1287.2,1285.96,1295.15,0.83,0.83,28,LL
7,1,рождение,2017-08-25 13:00,2017-08-30 10:00,HH·HL·LH·HL·HH,П16,LL,1276.2,1326.13,1305.06,1313.53,1306.37,1313.78,3.91,3.91,66,LL
8,1,рождение,2017-09-01 14:00,2017-09-05 02:00,HH·HL·LH·HL·HH,П16,LL,1316.45,1340.04,1332.27,1336.01,1332.29,1338.7,1.79,1.79,30,LL
9,1,рождение,2017-09-19 16:00,2017-09-20 18:00,HH·HL·HH·HL·HH,П6,LL,1305.19,1311.8,1309.73,1316.15,1310.95,1316.29,0.85,0.85,25,LL
10,1,рождение,2017-09-21 12:00,2017-09-24 22:00,LH·HL·LH·HL·LH,П29,LL,1288.15,1298.87,1293.45,1298.53,1294.16,1298.03,0.83,0.83,32,LL
11,1,рождение,2017-09-28 06:00,2017-09-29 12:00,HH·HL·HH·HL·HH,П6,LL,1277.81,1286.34,1282.11,1288.75,1283.63,1290.5,0.99,0.99,29,LL
12,1,рождение,2017-10-03 01:00,2017-10-04 06:00,LH·HL·HH·HL·HH,П1,LL,1268.42,1272.55,1269.31,1274.78,1270.65,1278.7,0.81,0.81,28,HL
13,1,рождение,2017-10-09 14:00,2017-10-10 15:00,HH·HL·HH·HL·HH,П6,LL,1279.46,1285.26,1282.21,1288.35,1288.27,1294.31,1.16,1.16,24,LL
14,1,рождение,2017-10-11 17:00,2017-10-16 00:00,HH·HL·HH·HL·HH,П6,LL,1284.64,1297.57,1289.71,1298.52,1291.08,1304.69,1.56,1.56,52,HL
15,1,рождение,2017-10-27 12:00,2017-10-31 06:00,HH·HL·HH·HL·LH,П12,LL,1263.58,1274.71,1269.0,1278.89,1274.95,1278.24,1.21,1.21,40,LL
16,1,рождение,2017-10-31 14:00,2017-11-01 14:00,LH·HL·HH·HL·LH,П5,LL,1267.84,1272.06,1267.99,1280.92,1272.38,1279.96,1.03,1.03,23,HL
17,1,рождение,2017-11-02 11:00,2017-11-03 12:00,HH·HL·LH·HL·HH,П16,LL,1273.32,1284.27,1274.96,1278.78,1276.27,1280.59,0.86,0.86,24,LL
18,1,рождение,2017-11-03 15:00,2017-11-06 17:00,LH·HL·LH·HL·HH,П20,LL,1265.53,1271.19,1266.17,1270.71,1267.67,1283.08,1.39,1.39,24,HL
19,1,рождение,2017-11-07 15:00,2017-11-09 11:00,LH·HL·HH·HL·HH,П1,LL,1271.97,1278.35,1276.01,1287.26,1280.06,1288.28,1.28,1.28,42,HL
20,1,рождение,2017-11-16 07:00,2017-11-17 18:00,HH·HL·HH·HL·HH,П6,LL,1275.17,1281.88,1276.41,1284.08,1281.15,1296.98,1.71,1.71,34,HL
21,1,рождение,2017-11-20 18:00,2017-11-22 00:00,LH·HL·HH·HL·LH,П5,LL,1274.52,1281.48,1276.27,1284.83,1279.54,1282.51,0.81,0.81,28,LL
22,1,рождение,2017-11-22 03:00,2017-11-24 02:00,HH·HL·LH·HL·LH,П25,LL,1279.12,1294.7,1287.13,1293.71,1289.12,1293.34,1.22,1.22,41,LL
23,1,рождение,2017-11-24 11:00,2017-11-28 00:00,LH·HL·HH·HL·LH,П5,LL,1285.81,1291.43,1286.79,1299.33,1292.29,1296.85,1.05,1.05,32,LL
24,1,рождение,2017-12-07 20:00,2017-12-10 23:00,LH·HL·HH·HL·LH,П5,LL,1243.96,1249.76,1244.01,1252.42,1246.52,1249.3,0.68,0.68,25,HL
25,1,рождение,2017-12-14 15:00,2017-12-15 13:00,LH·HL·LH·HL·HH,П20,LL,1250.54,1256.72,1252.48,1255.94,1254.08,1261.96,0.91,0.91,21,LL
26,1,рождение,2017-12-18 01:00,2017-12-19 12:00,HH·HL·HH·HL·HH,П6,LL,1252.87,1264.08,1260.35,1265.07,1262.64,1265.39,1.0,1.0,34,LL
27,1,рождение,2017-12-21 13:00,2017-12-26 06:00,HH·HL·HH·HL·HH,П6,LL,1262.89,1268.97,1265.08,1276.2,1273.41,1279.28,1.3,1.3,39,HL
27,2,продолжение,2017-12-26 09:00,2017-12-28 09:00,HH·HL·HH·HL·HH,П6,HL,1277.08,1283.84,1281.35,1286.44,1283.18,1293.34,1.27,2.41,46,HL
27,3,продолжение,2017-12-28 13:00,2017-12-29 18:00,HH·HL·HH·HL·HH,П6,HL,1288.63,1295.27,1293.94,1296.38,1294.75,1307.68,1.48,3.55,28,HL
28,1,рождение,2018-01-04 01:00,2018-01-08 11:00,HH·HL·LH·HL·LH,П25,LL,1305.94,1326.06,1313.68,1322.18,1314.75,1321.15,1.54,1.54,56,HL
29,1,рождение,2018-01-10 01:00,2018-01-11 03:00,HH·HL·LH·HL·HH,П16,LL,1308.32,1327.87,1314.68,1320.44,1316.38,1320.96,1.49,1.49,25,LL
30,1,рождение,2018-01-11 07:00,2018-01-12 10:00,HH·HL·HH·HL·HH,П6,LL,1315.82,1324.1,1320.98,1330.47,1326.62,1333.24,1.32,1.32,26,LL
31,1,рождение,2018-01-12 13:00,2018-01-15 23:00,HH·HL·HH·HL·LH,П12,LL,1323.42,1339.43,1336.0,1344.87,1338.75,1342.44,1.62,1.62,28,LL
32,1,рождение,2018-01-18 01:00,2018-01-19 08:00,LH·HL·HH·HL·HH,П1,LL,1324.3,1330.03,1325.26,1333.2,1325.58,1338.16,1.05,1.05,30,HL
33,1,рождение,2018-01-22 17:00,2018-01-24 19:00,HH·HL·HH·HL·HH,П6,LL,1330.79,1338.85,1331.47,1342.41,1339.58,1362.24,2.36,2.36,48,HL
34,1,рождение,2018-01-25 19:00,2018-01-29 00:00,LH·HL·LH·HL·LH,П29,LL,1342.44,1357.23,1348.77,1354.47,1348.82,1352.51,1.1,1.1,27,LL
35,1,рождение,2018-01-31 19:00,2018-02-02 07:00,HH·HL·HH·HL·LH,П12,LL,1332.9,1347.53,1337.33,1351.06,1346.45,1349.44,1.36,1.36,34,LL
36,1,рождение,2018-02-02 15:00,2018-02-05 11:00,LH·HL·LH·HL·HH,П20,LL,1327.47,1336.75,1328.47,1333.98,1329.06,1338.66,0.84,0.84,19,HL
37,1,рождение,2018-02-09 15:00,2018-02-13 10:00,HH·HL·LH·HL·HH,П16,LL,1311.21,1326.7,1316.84,1326.23,1321.36,1331.03,1.51,1.51,41,HL
38,1,рождение,2018-02-14 13:00,2018-02-15 08:00,HH·HL·LH·HL·HH,П16,LL,1318.0,1355.52,1349.86,1355.36,1352.32,1357.19,2.97,2.97,18,LL
