тренд №,блок,тип блока,дата начала (0),дата конца (5),последовательность,№ посл.,подпись нуля,цена (0),цена (1),цена (2),цена (3),цена (4),цена (5),ход блока %,ход тренда от рождения %,баров,что после (5)
39,1,рождение,2018-02-22 07:00,2018-02-23 17:00,LH·HL·LH·HL·LH,П29,LL,1321.03,1332.34,1325.88,1331.72,1326.8,1330.64,0.86,0.86,33,LL
40,1,рождение,2018-02-25 23:00,2018-02-27 08:00,HH·HL·LH·HL·LH,П25,LL,1326.73,1341.07,1330.28,1336.84,1331.44,1334.79,1.08,1.08,32,LL
41,1,рождение,2018-03-01 15:00,2018-03-02 18:00,LH·HL·HH·HL·LH,П5,LL,1302.83,1321.25,1315.82,1325.58,1317.57,1323.84,1.75,1.75,26,HL
42,1,рождение,2018-03-05 19:00,2018-03-07 11:00,LH·HL·HH·HL·LH,П5,LL,1317.61,1324.32,1320.63,1340.6,1332.25,1333.86,1.74,1.74,38,LL
43,1,рождение,2018-03-20 14:00,2018-03-21 19:00,LH·HL·HH·HL·HH,П1,LL,1307.21,1313.41,1309.46,1317.97,1314.02,1336.81,2.26,2.26,28,HL
44,1,рождение,2018-03-29 15:00,2018-04-03 06:00,HH·HL·HH·HL·LH,П12,LL,1321.25,1330.45,1328.44,1344.99,1337.35,1342.17,1.8,1.8,37,LL
45,1,рождение,2018-04-09 10:00,2018-04-12 07:00,HH·HL·HH·HL·LH,П12,LL,1326.93,1338.38,1331.09,1365.37,1347.65,1352.35,2.9,2.9,66,LL
46,1,рождение,2018-04-13 11:00,2018-04-16 14:00,HH·HL·HH·HL·HH,П6,LL,1333.48,1347.29,1340.26,1348.87,1341.18,1350.59,1.28,1.28,26,HL
47,1,рождение,2018-04-17 12:00,2018-04-18 22:00,LH·HL·HH·HL·LH,П5,LL,1337.71,1347.78,1342.38,1355.81,1347.61,1351.64,1.35,1.35,32,HL
48,1,рождение,2018-05-02 19:00,2018-05-03 18:00,LH·HL·HH·HL·LH,П5,LL,1303.96,1310.62,1306.5,1318.18,1310.71,1315.09,1.09,1.09,22,LL
49,1,рождение,2018-05-10 07:00,2018-05-11 12:00,HH·HL·LH·HL·HH,П16,LL,1310.79,1323.19,1316.27,1322.34,1318.5,1326.05,1.16,1.16,28,LL
50,1,рождение,2018-05-21 07:00,2018-05-23 00:00,LH·HL·HH·HL·LH,П5,LL,1282.03,1293.54,1287.95,1296.64,1291.02,1295.71,1.14,1.14,39,LL
51,1,рождение,2018-05-23 13:00,2018-05-25 13:00,LH·HL·HH·HL·HH,П1,LL,1287.88,1296.02,1292.84,1306.64,1301.64,1307.89,1.55,1.55,46,LL
52,1,рождение,2018-05-29 13:00,2018-05-31 06:00,LH·HL·HH·HL·HH,П1,LL,1292.89,1304.73,1295.91,1305.15,1301.3,1306.91,1.08,1.08,39,LL
53,1,рождение,2018-06-05 05:00,2018-06-06 14:00,HH·HL·HH·HL·HH,П6,LL,1289.91,1294.19,1290.41,1300.63,1293.9,1301.91,0.93,0.93,32,HL
54,1,рождение,2018-06-21 12:00,2018-06-25 00:00,HH·HL·HH·HL·HH,П6,LL,1261.26,1270.23,1266.75,1271.18,1266.95,1272.7,0.91,0.91,34,LL
55,1,рождение,2018-06-28 18:00,2018-06-29 16:00,LH·HL·HH·HL·HH,П1,LL,1245.98,1249.57,1245.99,1252.89,1248.61,1255.67,0.78,0.78,21,LL
56,1,рождение,2018-07-03 05:00,2018-07-04 16:00,HH·HL·HH·HL·LH,П12,LL,1238.02,1256.98,1252.11,1261.18,1254.04,1258.44,1.87,1.87,34,LL
57,1,рождение,2018-07-12 00:00,2018-07-13 01:00,LH·HL·HH·HL·LH,П5,LL,1241.42,1246.44,1242.5,1248.63,1245.38,1248.21,0.58,0.58,24,LL
58,1,рождение,2018-07-19 12:00,2018-07-23 17:00,HH·HL·HH·HL·LH,П12,LL,1211.52,1229.6,1215.64,1235.24,1222.34,1226.32,1.96,1.96,51,LL
59,1,рождение,2018-08-17 00:00,2018-08-20 08:00,LH·HL·HH·HL·HH,П1,LL,1171.92,1179.38,1173.58,1179.96,1176.48,1189.9,1.53,1.53,31,HL
59,2,продолжение,2018-08-20 14:00,2018-08-22 12:00,HH·HL·HH·HL·HH,П6,HL,1184.7,1196.44,1187.71,1197.87,1192.66,1201.71,1.44,2.54,44,HL
60,1,рождение,2018-09-04 14:00,2018-09-06 00:00,LH·HL·HH·HL·HH,П1,LL,1189.69,1194.67,1191.95,1198.55,1195.12,1200.04,0.87,0.87,32,HL
60,2,продолжение,2018-09-06 05:00,2018-09-07 11:00,HH·HL·LH·HL·LH,П25,HL,1195.67,1207.08,1196.82,1203.57,1198.4,1202.36,0.95,1.46,29,LL
61,1,рождение,2018-09-11 13:00,2018-09-12 18:00,HH·HL·LH·HL·HH,П16,LL,1187.82,1199.46,1192.73,1197.68,1193.0,1208.54,1.74,1.74,28,HL
62,1,рождение,2018-09-18 07:00,2018-09-20 03:00,HH·HL·HH·HL·HH,П6,LL,1195.9,1203.63,1196.99,1206.25,1201.27,1206.72,0.9,0.9,42,HL
63,1,рождение,2018-09-21 13:00,2018-09-25 01:00,LH·HL·HH·HL·LH,П5,LL,1192.02,1199.76,1194.46,1204.23,1198.45,1199.56,1.02,1.02,34,LL
64,1,рождение,2018-09-28 07:00,2018-10-02 15:00,HH·HL·HH·HL·HH,П6,LL,1180.77,1194.01,1184.62,1194.78,1189.12,1208.3,2.33,2.33,54,HL
65,1,рождение,2018-10-04 04:00,2018-10-08 00:00,LH·HL·LH·HL·LH,П29,LL,1196.02,1206.81,1196.9,1205.87,1200.35,1204.19,0.9,0.9,42,LL
66,1,рождение,2018-10-08 15:00,2018-10-10 06:00,LH·HL·LH·HL·LH,П29,LL,1182.9,1191.98,1183.38,1191.48,1188.72,1191.09,0.77,0.77,37,LL
67,1,рождение,2018-10-10 12:00,2018-10-12 03:00,HH·HL·HH·HL·LH,П12,LL,1185.38,1195.18,1191.37,1226.4,1217.6,1222.36,3.46,3.46,37,LL
68,1,рождение,2018-10-12 06:00,2018-10-16 00:00,HH·HL·HH·HL·LH,П12,LL,1215.9,1223.81,1216.35,1233.29,1224.22,1228.7,1.43,1.43,40,HL
69,1,рождение,2018-10-24 12:00,2018-10-25 13:00,LH·HL·HH·HL·LH,П5,LL,1225.72,1233.46,1227.46,1239.27,1230.11,1235.48,1.11,1.11,24,LL
70,1,рождение,2018-10-25 18:00,2018-10-26 15:00,LH·HL·HH·HL·HH,П1,LL,1228.13,1233.26,1230.16,1238.62,1232.04,1243.47,1.25,1.25,20,LL
71,1,рождение,2018-10-31 13:00,2018-11-02 09:00,LH·HL·HH·HL·LH,П5,LL,1212.0,1217.46,1222.49,1237.5,1231.03,1236.48,2.1,2.1,42,LL
72,1,рождение,2018-11-15 13:00,2018-11-16 14:00,LH·HL·HH·HL·HH,П1,LL,1207.68,1215.9,1211.44,1217.26,1214.24,1225.36,1.46,1.46,24,HL
72,2,продолжение,2018-11-19 05:00,2018-11-20 13:00,LH·HL·HH·HL·HH,П1,HL,1218.1,1225.3,1221.24,1226.09,1221.66,1228.88,0.89,1.76,31,LL
73,1,рождение,2018-11-21 00:00,2018-11-22 10:00,HH·HL·HH·HL·LH,П12,LL,1219.87,1225.56,1222.29,1230.0,1225.0,1229.18,0.83,0.83,33,HL
74,1,рождение,2018-11-28 14:00,2018-11-29 16:00,HH·HL·HH·HL·HH,П6,LL,1211.28,1226.39,1220.2,1228.48,1224.39,1229.09,1.47,1.47,25,LL
75,1,рождение,2018-11-30 14:00,2018-12-04 14:00,HH·HL·HH·HL·HH,П6,LL,1216.75,1232.41,1227.95,1235.07,1230.08,1242.04,2.08,2.08,46,HL
76,1,рождение,2018-12-05 08:00,2018-12-06 02:00,LH·HL·HH·HL·HH,П1,LL,1233.42,1238.8,1235.53,1239.13,1236.08,1240.85,0.6,0.6,17,LL
77,1,рождение,2018-12-06 07:00,2018-12-09 23:00,HH·HL·LH·HL·HH,П16,LL,1234.79,1244.36,1236.53,1240.67,1238.07,1251.28,1.34,1.34,38,HL
78,1,рождение,2018-12-11 19:00,2018-12-13 07:00,LH·HL·HH·HL·LH,П5,LL,1241.09,1246.25,1242.09,1247.24,1244.05,1246.84,0.5,0.5,34,LL
79,1,рождение,2018-12-14 14:00,2018-12-17 18:00,LH·HL·LH·HL·HH,П20,LL,1233.0,1240.39,1235.87,1238.21,1236.53,1248.2,1.23,1.23,27,HL
80,1,рождение,2018-12-18 07:00,2018-12-19 15:00,HH·HL·HH·HL·HH,П6,LL,1245.17,1250.48,1245.92,1251.45,1246.79,1258.09,1.04,1.04,31,LL
81,1,рождение,2018-12-19 21:00,2018-12-21 08:00,LH·HL·HH·HL·LH,П5,LL,1241.85,1245.88,1253.57,1266.56,1259.75,1262.83,1.99,1.99,33,LL
82,1,рождение,2018-12-21 18:00,2018-12-26 16:00,HH·HL·HH·HL·HH,П6,LL,1254.01,1265.48,1259.44,1274.85,1271.13,1279.13,2.0,2.0,42,LL
83,1,рождение,2018-12-26 20:00,2018-12-28 08:00,LH·HL·HH·HL·HH,П1,LL,1264.72,1272.42,1266.75,1278.99,1274.15,1282.24,1.39,1.39,34,HL
83,2,продолжение,2018-12-28 09:00,2018-12-31 21:00,LH·HL·HH·HL·LH,П5,HL,1276.11,1281.38,1277.56,1284.2,1278.16,1283.07,0.63,1.54,35,HL
84,1,рождение,2019-01-08 13:00,2019-01-10 03:00,LH·HL·HH·HL·HH,П1,LL,1279.44,1287.24,1280.15,1293.93,1291.71,1297.19,1.39,1.39,36,LL
85,1,рождение,2019-01-10 21:00,2019-01-15 01:00,LH·HL·HH·HL·LH,П5,LL,1286.14,1295.25,1287.08,1295.95,1288.53,1293.43,0.76,0.76,49,LL
86,1,рождение,2019-01-21 12:00,2019-01-23 01:00,LH·HL·HH·HL·HH,П1,LL,1276.85,1281.11,1277.54,1284.93,1279.35,1285.78,0.7,0.7,31,HL
87,1,рождение,2019-01-24 13:00,2019-01-29 00:00,LH·HL·HH·HL·HH,П1,LL,1276.91,1283.98,1279.59,1304.52,1297.77,1304.69,2.18,2.18,56,HL
87,2,продолжение,2019-01-29 01:00,2019-01-30 08:00,HH·HL·HH·HL·HH,П6,HL,1302.83,1309.4,1306.24,1311.86,1310.68,1316.05,1.01,3.06,30,LL
88,1,рождение,2019-01-30 18:00,2019-02-01 01:00,HH·HL·HH·HL·LH,П12,LL,1309.16,1323.37,1317.54,1326.31,1318.93,1321.92,1.31,1.31,29,LL
89,1,рождение,2019-02-05 09:00,2019-02-06 08:00,HH·HL·LH·HL·LH,П25,LL,1310.82,1316.95,1312.76,1315.87,1312.85,1315.67,0.47,0.47,22,LL
90,1,рождение,2019-02-07 04:00,2019-02-11 06:00,LH·HL·HH·HL·LH,П5,LL,1302.89,1311.96,1307.89,1315.65,1310.63,1312.41,0.98,0.98,48,LL
91,1,рождение,2019-02-11 14:00,2019-02-12 18:00,LH·HL·HH·HL·LH,П5,LL,1303.76,1310.42,1306.6,1314.8,1308.37,1312.67,0.85,0.85,27,HL
92,1,рождение,2019-02-14 12:00,2019-02-15 20:00,HH·HL·HH·HL·HH,П6,LL,1302.45,1314.42,1311.49,1319.98,1314.34,1322.54,1.54,1.54,31,HL
92,2,продолжение,2019-02-17 23:00,2019-02-19 18:00,HH·HL·HH·HL·HH,П6,HL,1320.68,1325.37,1321.38,1327.6,1323.02,1341.88,1.61,3.03,38,HL
92,3,продолжение,2019-02-20 00:00,2019-02-20 18:00,HH·HL·LH·HL·HH,П16,HL,1339.44,1346.74,1341.45,1345.42,1342.23,1346.36,0.54,3.4,18,LL
93,1,рождение,2019-02-21 21:00,2019-02-25 06:00,LH·HL·HH·HL·LH,П5,LL,1321.21,1327.01,1321.69,1333.13,1326.98,1331.99,0.9,0.9,31,LL
94,1,рождение,2019-03-07 08:00,2019-03-08 14:00,HH·HL·HH·HL·HH,П6,LL,1280.92,1289.05,1282.96,1295.87,1291.66,1300.84,1.55,1.55,29,HL
95,1,рождение,2019-03-11 17:00,2019-03-13 19:00,HH·HL·HH·HL·HH,П6,LL,1290.56,1297.49,1294.47,1305.86,1303.83,1311.29,1.61,1.61,48,LL
96,1,рождение,2019-03-14 13:00,2019-03-18 12:00,LH·HL·HH·HL·HH,П1,LL,1292.93,1297.11,1294.19,1306.45,1298.33,1306.78,1.07,1.07,45,HL
96,2,продолжение,2019-03-18 17:00,2019-03-20 06:00,HH·HL·HH·HL·LH,П12,HL,1301.1,1307.93,1303.81,1310.93,1303.93,1306.64,0.76,1.39,35,LL
97,1,рождение,2019-03-21 16:00,2019-03-25 18:00,LH·HL·HH·HL·HH,П1,LL,1303.35,1310.37,1307.43,1314.96,1309.8,1324.57,1.63,1.63,48,HL
98,1,рождение,2019-04-05 12:00,2019-04-09 16:00,HH·HL·LH·HL·HH,П16,LL,1284.5,1303.75,1296.35,1300.12,1297.17,1306.23,1.69,1.69,50,HL
99,1,рождение,2019-04-18 06:00,2019-04-22 10:00,HH·HL·HH·HL·HH,П6,LL,1271.28,1277.69,1272.62,1279.81,1276.52,1279.88,0.68,0.68,27,LL
100,1,рождение,2019-04-23 14:00,2019-04-25 07:00,LH·HL·HH·HL·HH,П1,LL,1266.42,1273.18,1268.87,1278.55,1273.47,1278.59,0.96,0.96,39,HL
101,1,рождение,2019-05-08 17:00,2019-05-09 14:00,LH·HL·HH·HL·HH,П1,LL,1279.5,1282.86,1279.71,1285.62,1280.36,1288.2,0.68,0.68,20,HL
101,2,продолжение,2019-05-10 00:00,2019-05-13 00:00,LH·HL·HH·HL·LH,П5,HL,1283.24,1286.97,1283.39,1289.45,1285.18,1288.6,0.48,0.78,23,LL
102,1,рождение,2019-05-15 06:00,2019-05-16 07:00,HH·HL·LH·HL·HH,П16,LL,1293.14,1300.92,1294.8,1297.37,1295.25,1298.76,0.6,0.6,24,LL
103,1,рождение,2019-05-21 13:00,2019-05-22 16:00,LH·HL·HH·HL·LH,П5,LL,1269.6,1275.4,1272.58,1277.33,1273.23,1276.64,0.61,0.61,26,LL
104,1,рождение,2019-05-24 13:00,2019-05-28 00:00,LH·HL·HH·HL·LH,П5,LL,1280.84,1285.11,1283.9,1287.45,1285.02,1286.65,0.52,0.52,29,LL
105,1,рождение,2019-05-30 07:00,2019-06-04 08:00,HH·HL·HH·HL·HH,П6,LL,1275.12,1312.81,1309.34,1328.0,1321.72,1329.11,4.23,4.23,70,LL
106,1,рождение,2019-06-04 12:00,2019-06-05 22:00,LH·HL·HH·HL·LH,П5,LL,1320.04,1328.9,1324.63,1344.14,1327.12,1333.84,1.83,1.83,32,HL
107,1,рождение,2019-06-11 12:00,2019-06-12 16:00,LH·HL·HH·HL·LH,П5,LL,1320.0,1328.84,1326.12,1338.42,1329.96,1337.03,1.4,1.4,27,HL
107,2,продолжение,2019-06-12 17:00,2019-06-16 22:00,HH·HL·HH·HL·LH,П12,HL,1331.89,1339.12,1333.79,1358.22,1338.02,1342.5,1.98,2.9,50,LL
108,1,рождение,2019-06-17 09:00,2019-06-19 00:00,LH·HL·HH·HL·LH,П5,LL,1333.12,1343.3,1338.74,1354.62,1339.43,1347.01,1.61,1.61,37,HL
109,1,рождение,2019-06-19 11:00,2019-06-21 02:00,HH·HL·LH·HL·HH,П16,LL,1341.44,1394.28,1377.98,1393.42,1386.79,1411.99,5.26,5.26,37,LL
110,1,рождение,2019-06-21 07:00,2019-06-24 11:00,LH·HL·HH·HL·LH,П5,LL,1382.56,1400.34,1389.3,1411.28,1400.93,1410.69,2.08,2.08,27,HL
111,1,рождение,2019-07-01 07:00,2019-07-04 01:00,LH·HL·HH·HL·LH,П5,LL,1381.9,1396.37,1383.07,1437.8,1412.15,1421.74,4.04,4.04,63,LL
112,1,рождение,2019-07-09 08:00,2019-07-11 09:00,HH·HL·HH·HL·LH,П12,LL,1385.87,1400.09,1390.05,1427.2,1419.48,1424.0,2.98,2.98,47,LL
113,1,рождение,2019-07-15 14:00,2019-07-16 09:00,HH·HL·LH·HL·HH,П16,LL,1407.81,1418.38,1411.19,1415.73,1412.22,1416.31,0.75,0.75,18,LL
114,1,рождение,2019-07-18 12:00,2019-07-22 13:00,HH·HL·LH·HL·LH,П25,LL,1414.77,1453.01,1420.34,1429.99,1424.39,1429.18,2.7,2.7,47,HL
115,1,рождение,2019-07-23 05:00,2019-07-24 14:00,HH·HL·LH·HL·HH,П16,LL,1414.3,1430.19,1416.19,1422.51,1418.43,1429.55,1.12,1.12,32,HL
116,1,рождение,2019-07-26 12:00,2019-07-29 13:00,HH·HL·LH·HL·LH,П25,LL,1413.55,1424.91,1416.47,1424.34,1417.55,1422.29,0.8,0.8,24,LL
117,1,рождение,2019-07-29 13:00,2019-07-30 18:00,HH·HL·HH·HL·HH,П6,LL,1414.94,1428.09,1422.41,1431.05,1425.02,1433.28,1.3,1.3,28,HL
118,1,рождение,2019-08-01 13:00,2019-08-02 16:00,HH·HL·LH·HL·HH,П16,LL,1400.61,1449.0,1430.39,1440.18,1431.04,1447.91,3.45,3.45,26,HL
118,2,продолжение,2019-08-04 22:00,2019-08-06 15:00,HH·HL·HH·HL·LH,П12,HL,1436.79,1469.7,1453.1,1474.9,1456.49,1473.77,2.65,5.3,40,HL
118,3,продолжение,2019-08-06 18:00,2019-08-08 00:00,HH·HL·HH·HL·LH,П12,HL,1468.37,1490.2,1481.37,1510.45,1494.04,1506.78,2.87,7.84,28,LL
119,1,рождение,2019-08-12 07:00,2019-08-13 10:00,HH·HL·HH·HL·HH,П6,LL,1487.48,1508.49,1499.94,1520.0,1509.74,1535.09,3.2,3.2,26,LL
120,1,рождение,2019-08-13 13:00,2019-08-14 17:00,LH·HL·HH·HL·HH,П1,LL,1479.99,1503.95,1494.29,1518.35,1506.07,1524.11,2.98,2.98,27,HL
121,1,рождение,2019-08-19 22:00,2019-08-20 23:00,LH·HL·HH·HL·LH,П5,LL,1493.06,1499.54,1494.48,1508.62,1501.52,1508.12,1.04,1.04,24,LL
122,1,рождение,2019-08-22 11:00,2019-08-26 14:00,HH·HL·HH·HL·LH,П12,LL,1492.59,1504.7,1493.67,1555.18,1525.19,1537.12,4.19,4.19,49,HL
123,1,рождение,2019-08-27 01:00,2019-08-28 01:00,HH·HL·HH·HL·LH,П12,LL,1525.84,1535.07,1528.62,1544.72,1537.43,1544.71,1.24,1.24,23,LL
124,1,рождение,2019-08-28 02:00,2019-08-29 06:00,HH·HL·LH·HL·HH,П16,LL,1532.0,1546.93,1533.87,1542.66,1537.87,1550.4,1.2,1.2,27,LL
125,1,рождение,2019-08-30 17:00,2019-09-03 15:00,HH·HL·LH·HL·HH,П16,LL,1517.16,1535.08,1519.44,1531.34,1521.73,1549.81,2.15,2.15,40,HL
126,1,рождение,2019-09-06 12:00,2019-09-09 13:00,HH·HL·LH·HL·HH,П16,LL,1502.71,1527.84,1503.43,1512.6,1504.71,1515.47,1.67,1.67,24,LL
127,1,рождение,2019-09-10 20:00,2019-09-12 12:00,LH·HL·HH·HL·HH,П1,LL,1484.7,1495.07,1487.0,1498.5,1489.36,1524.25,2.66,2.66,38,HL
128,1,рождение,2019-09-18 18:00,2019-09-23 02:00,LH·HL·HH·HL·HH,П1,LL,1483.31,1504.56,1496.67,1506.85,1498.7,1519.62,2.45,2.45,53,HL
128,2,продолжение,2019-09-23 07:00,2019-09-24 07:00,HH·HL·HH·HL·LH,П12,HL,1511.65,1521.26,1516.4,1526.8,1519.43,1523.95,1.0,2.93,23,LL
129,1,рождение,2019-09-26 12:00,2019-09-27 05:00,HH·HL·LH·HL·LH,П25,LL,1500.4,1512.38,1502.01,1507.48,1504.71,1507.07,0.8,0.8,16,LL
130,1,рождение,2019-10-01 08:00,2019-10-01 23:00,LH·HL·HH·HL·LH,П5,LL,1459.17,1470.21,1462.15,1487.26,1477.68,1482.5,1.92,1.92,14,LL
131,1,рождение,2019-10-03 06:00,2019-10-04 12:00,HH·HL·LH·HL·HH,П16,LL,1495.92,1519.65,1504.75,1510.09,1506.52,1515.82,1.59,1.59,29,LL
