№,дата начала (0),дата конца (5),последовательность,№ посл.,цена (0),цена (1),цена (2),цена (3),цена (4),цена (5),ход в цене,ход % от нуля,баров,растут ли вершины,что после (5),перекрытие
696,2025-10-22 14:00,2025-10-23 14:00,HH·HL·HH·HL·HH,П6,4011.09,4113.8,4065.9,4137.74,4100.14,4154.79,143.7,3.58,23,да,HL,нет
697,2025-10-28 09:00,2025-10-29 12:00,LH·HL·HH·HL·HH,П1,3886.47,3970.47,3907.93,3982.49,3943.82,4030.34,143.88,3.7,26,да,LL,нет
698,2025-10-30 03:00,2025-10-31 08:00,HH·HL·HH·HL·LH,П12,3915.52,4011.7,3960.32,4046.59,3989.07,4026.82,131.07,3.35,28,нет,HL,нет
699,2025-11-03 00:00,2025-11-03 20:00,LH·HL·HH·HL·LH,П5,3962.28,4028.13,3993.1,4030.82,3995.22,4015.06,68.55,1.73,20,нет,LL,нет
700,2025-11-04 14:00,2025-11-06 12:00,LH·HL·HH·HL·HH,П1,3928.68,3987.34,3956.1,3990.57,3964.45,4019.64,90.96,2.32,44,да,HL,нет
701,2025-11-07 15:00,2025-11-10 13:00,HH·HL·HH·HL·HH,П6,3984.01,4027.59,3994.64,4086.38,4071.49,4106.0,121.99,3.06,21,да,HL,нет
702,2025-11-11 15:00,2025-11-12 18:00,LH·HL·LH·HL·HH,П20,4097.24,4145.61,4098.91,4133.85,4122.74,4211.8,114.55,2.8,26,нет,HL,нет
703,2025-11-18 07:00,2025-11-19 02:00,HH·HL·HH·HL·LH,П12,3997.99,4081.91,4040.55,4082.58,4064.91,4080.78,84.59,2.12,18,нет,LL,нет
704,2025-11-21 08:00,2025-11-24 04:00,LH·HL·HH·HL·LH,П5,4022.26,4063.61,4031.1,4101.07,4040.77,4061.43,78.81,1.96,19,нет,LL,нет
705,2025-11-24 05:00,2025-11-25 17:00,HH·HL·LH·HL·HH,П16,4040.02,4155.9,4109.71,4150.91,4110.81,4159.38,119.36,2.95,35,нет,HL,нет
706,2025-11-27 04:00,2025-11-27 19:00,LH·HL·LH·HL·LH,П29,4142.73,4167.26,4148.4,4161.93,4151.51,4160.46,24.53,0.59,15,нет,HL,нет
707,2025-11-28 08:00,2025-12-01 13:00,HH·HL·HH·HL·HH,П6,4153.74,4226.91,4205.78,4256.6,4215.6,4264.7,110.96,2.67,26,да,HL,нет
708,2025-12-02 15:00,2025-12-04 01:00,LH·HL·HH·HL·LH,П5,4163.81,4229.06,4194.65,4241.56,4195.19,4217.08,77.76,1.87,32,нет,LL,нет
709,2025-12-04 05:00,2025-12-05 00:00,LH·HL·HH·HL·LH,П5,4174.81,4206.63,4185.45,4219.62,4199.55,4210.69,44.81,1.07,18,нет,LL,нет
710,2025-12-09 06:00,2025-12-10 02:00,HH·HL·HH·HL·LH,П12,4169.98,4213.05,4189.51,4221.62,4201.26,4218.86,51.64,1.24,19,нет,LL,нет
711,2025-12-10 19:00,2025-12-11 18:00,HH·HL·LH·HL·HH,П16,4182.08,4247.81,4204.27,4226.08,4205.35,4285.89,103.81,2.48,22,нет,HL,нет
712,2025-12-16 05:00,2025-12-17 05:00,HH·HL·LH·HL·HH,П16,4271.57,4335.19,4291.41,4315.92,4296.81,4342.58,71.01,1.66,23,нет,HL,нет
713,2025-12-18 14:00,2025-12-19 18:00,HH·HL·LH·HL·HH,П16,4308.67,4374.65,4309.1,4333.67,4319.83,4356.62,65.98,1.53,27,нет,HL,нет
714,2025-12-24 15:00,2025-12-26 16:00,HH·HL·LH·HL·HH,П16,4448.26,4536.74,4492.21,4523.75,4502.91,4550.15,101.89,2.29,21,нет,HL,нет
715,2025-12-29 15:00,2025-12-30 17:00,LH·HL·HH·HL·LH,П5,4302.11,4383.44,4350.49,4404.38,4355.15,4382.12,102.27,2.38,25,нет,LL,нет
716,2025-12-31 06:00,2026-01-02 13:00,LH·HL·HH·HL·HH,П1,4274.02,4337.48,4303.26,4353.44,4304.65,4402.3,128.27,3.0,30,да,HL,нет
717,2026-01-08 12:00,2026-01-09 06:00,HH·HL·HH·HL·LH,П12,4407.84,4465.74,4444.72,4479.73,4452.92,4477.55,71.9,1.63,17,нет,HL,нет
718,2026-01-09 13:00,2026-01-12 16:00,HH·HL·HH·HL·HH,П6,4458.94,4517.25,4482.01,4601.69,4578.48,4630.19,171.25,3.84,26,да,LL,нет
719,2026-01-15 03:00,2026-01-15 23:00,LH·HL·HH·HL·LH,П5,4581.06,4623.11,4581.62,4625.02,4600.71,4620.98,43.95,0.96,19,нет,LL,нет
720,2026-01-16 15:00,2026-01-19 18:00,HH·HL·LH·HL·HH,П16,4536.49,4690.94,4653.23,4679.11,4659.73,4680.4,154.45,3.4,26,нет,LL,нет
721,2026-01-20 00:00,2026-01-21 06:00,HH·HL·HH·HL·HH,П6,4659.4,4737.57,4715.03,4766.4,4747.36,4888.55,229.15,4.92,29,да,HL,нет
722,2026-01-21 19:00,2026-01-23 16:00,LH·HL·HH·HL·HH,П1,4755.07,4839.71,4810.74,4967.52,4899.8,4988.44,233.36,4.91,43,да,HL,нет
723,2026-01-26 21:00,2026-01-27 13:00,LH·HL·HH·HL·LH,П5,4990.22,5079.81,5057.19,5100.84,5066.64,5093.15,110.62,2.22,15,нет,LL,нет
724,2026-01-27 14:00,2026-01-28 08:00,HH·HL·HH·HL·HH,П6,5046.84,5103.35,5076.45,5190.51,5157.21,5311.66,264.82,5.25,17,да,HL,нет
725,2026-02-02 06:00,2026-02-03 08:00,LH·HL·HH·HL·HH,П1,4402.38,4812.27,4596.74,4856.76,4745.68,4950.68,548.3,12.45,25,да,HL,нет
726,2026-02-06 00:00,2026-02-09 06:00,HH·HL·HH·HL·LH,П12,4655.23,4971.34,4936.69,5047.91,4968.89,5045.81,392.69,8.44,29,нет,HL,нет
727,2026-02-09 10:00,2026-02-10 09:00,HH·HL·LH·HL·HH,П16,4982.49,5086.68,4987.39,5056.34,5011.44,5063.55,104.19,2.09,22,нет,HL,нет
728,2026-02-11 13:00,2026-02-12 13:00,LH·HL·LH·HL·HH,П20,5019.72,5099.31,5045.44,5078.42,5047.13,5083.85,79.6,1.59,23,нет,LL,нет
729,2026-02-13 11:00,2026-02-16 23:00,HH·HL·LH·HL·LH,П25,4933.64,5046.48,4964.86,5017.44,4969.11,5001.24,112.84,2.29,32,нет,LL,нет
730,2026-02-17 14:00,2026-02-18 16:00,LH·HL·HH·HL·HH,П1,4842.6,4910.9,4854.24,4942.49,4906.43,5010.91,168.31,3.48,25,да,HL,нет
731,2026-02-19 00:00,2026-02-20 01:00,HH·HL·HH·HL·LH,П12,4960.65,5022.17,4963.44,5022.39,4975.41,5014.86,61.74,1.24,24,нет,HL,нет
732,2026-02-24 14:00,2026-02-25 17:00,LH·HL·HH·HL·HH,П1,5093.23,5173.31,5128.28,5210.68,5155.1,5217.78,124.55,2.45,26,да,LL,нет
733,2026-02-26 15:00,2026-03-01 23:00,LH·HL·LH·HL·HH,П20,5130.23,5201.01,5166.99,5200.64,5168.69,5394.01,263.77,5.14,30,нет,HL,нет
734,2026-03-03 15:00,2026-03-04 12:00,LH·HL·HH·HL·HH,П1,4996.27,5149.06,5083.45,5191.06,5117.72,5206.27,209.99,4.2,20,да,LL,нет
735,2026-03-09 14:00,2026-03-10 15:00,HH·HL·HH·HL·HH,П6,5060.6,5187.06,5154.47,5195.4,5156.5,5238.77,178.18,3.52,24,да,HL,нет
736,2026-03-15 23:00,2026-03-16 20:00,LH·HL·HH·HL·LH,П5,4967.77,5036.01,4970.23,5038.15,4974.23,5021.84,70.37,1.42,21,нет,HL,нет
737,2026-03-19 13:00,2026-03-20 08:00,LH·HL·HH·HL·LH,П5,4502.36,4677.2,4634.35,4736.18,4661.31,4734.96,233.81,5.19,18,нет,LL,нет
738,2026-03-24 02:00,2026-03-25 02:00,LH·HL·LH·HL·HH,П20,4305.88,4442.24,4351.09,4434.31,4372.65,4602.65,296.77,6.89,23,нет,HL,нет
739,2026-03-26 20:00,2026-03-30 11:00,HH·HL·HH·HL·HH,П6,4351.35,4475.3,4404.58,4555.63,4417.43,4580.73,229.38,5.27,37,да,HL,нет
740,2026-03-31 10:00,2026-04-01 17:00,HH·HL·HH·HL·HH,П6,4529.55,4724.52,4667.19,4762.9,4716.28,4793.19,263.65,5.82,30,да,HL,нет
741,2026-04-02 06:00,2026-04-06 14:00,LH·HL·HH·HL·LH,П5,4553.85,4699.89,4600.85,4706.88,4659.65,4697.78,153.02,3.36,31,нет,LL,нет
742,2026-04-09 00:00,2026-04-10 04:00,LH·HL·HH·HL·LH,П5,4698.73,4733.04,4703.58,4801.39,4738.1,4770.9,102.66,2.18,27,нет,LL,нет
743,2026-04-14 10:00,2026-04-16 05:00,HH·HL·LH·HL·HH,П16,4751.22,4871.38,4786.08,4830.61,4787.15,4838.56,120.16,2.53,41,нет,HL,нет
744,2026-04-19 23:00,2026-04-20 14:00,LH·HL·LH·HL·HH,П20,4736.83,4814.46,4779.54,4805.8,4783.72,4827.69,90.86,1.92,15,нет,HL,нет
745,2026-04-29 13:00,2026-04-30 10:00,LH·HL·HH·HL·HH,П1,4510.1,4564.98,4518.34,4582.59,4540.93,4647.05,136.95,3.04,20,да,HL,нет
746,2026-05-04 16:00,2026-05-06 10:00,LH·HL·HH·HL·HH,П1,4501.03,4546.94,4528.03,4586.6,4546.36,4723.14,222.11,4.93,40,да,HL,нет
747,2026-05-07 22:00,2026-05-08 18:00,HH·HL·HH·HL·LH,П12,4682.05,4734.9,4697.05,4749.58,4702.06,4729.02,67.53,1.44,20,нет,LL,нет
748,2026-05-18 00:00,2026-05-19 00:00,LH·HL·HH·HL·HH,П1,4480.41,4560.1,4529.96,4584.38,4531.85,4589.58,109.17,2.44,23,да,LL,нет
749,2026-05-22 14:00,2026-05-25 11:00,LH·HL·HH·HL·LH,П5,4491.93,4527.99,4504.17,4580.21,4550.55,4577.11,88.28,1.97,20,нет,HL,нет
750,2026-05-28 04:00,2026-05-29 10:00,HH·HL·HH·HL·HH,П6,4366.23,4516.63,4488.98,4520.81,4509.95,4543.31,177.08,4.06,29,да,HL,нет
751,2026-06-08 05:00,2026-06-08 16:00,LH·HL·HH·HL·LH,П5,4268.48,4316.96,4273.16,4346.88,4314.94,4346.4,78.4,1.84,11,нет,LL,нет
752,2026-06-10 23:00,2026-06-12 09:00,LH·HL·HH·HL·LH,П5,4023.87,4118.4,4052.97,4246.72,4170.29,4228.07,222.85,5.54,33,нет,HL,нет
