layer,dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,mfeImp,maxKN,knees,mud,zeroBar,deathLvl
2/2,-1,2024-08-15T18:00,5,20,15,первый,False,2458.47,2462.035,37.93000000000029,-0.09398892697073628,0.207619298708145,2,5,1,2,2460.15
2/2,1,2024-08-16T14:00,24,47,23,рывок,False,2472.22,2494.555,13.350000000000364,1.6730337078651256,2.816479400749014,4,3,1,16,2495.045
2/2,1,2024-08-20T03:00,59,61,2,пауза,False,2505.05,2499.695,5.375,-0.9962790697674453,0.5999999999999831,2,1,0,49,2502.16
2/2,1,2024-08-20T21:00,77,90,13,пауза,False,2513.39,2507.325,30.90000000000009,-0.19627831715210475,0.21343042071198173,2,4,1,65,2510.93
2/2,-1,2024-08-21T17:00,96,137,41,пауза,False,2501.565,2499.0,9.25500000000011,0.27714748784441107,3.318746623446762,3,7,4,84,2495.855
2/2,1,2024-08-23T21:00,146,178,32,рывок,True,2509.835,2507.355,5.184999999999945,-0.478302796528456,3.291224686595995,2,7,0,134,2510.68
2/2,-1,2024-08-27T12:00,183,191,8,пауза,False,2508.97,2520.11,11.769999999999982,-0.9464740866610318,0.45581988105350807,3,2,1,168,2517.615
2/2,-1,2024-08-28T18:00,212,220,8,пауза,False,2506.185,2512.42,17.02500000000009,-0.36622613803231097,0.5709251101321438,2,4,0,196,2509.65
2/2,1,2024-08-29T06:00,223,232,9,рывок,True,2516.755,2509.27,6.769999999999982,-1.1056129985229168,1.1447562776957194,2,3,1,217,2515.175
2/2,1,2024-08-29T17:00,234,257,23,рывок,True,2522.235,2509.12,9.329999999999927,-1.4056806002143987,0.6972132904608472,2,4,0,230,2512.255
2/2,-1,2024-08-30T23:00,263,324,61,рывок,True,2503.4,2496.26,14.670000000000073,0.48670756646215657,2.1462167689161533,4,11,3,252,2491.285
2/2,1,2024-09-04T19:00,326,369,43,пауза,False,2496.86,2509.415,18.2199999999998,0.6890779363336978,1.7804610318331728,2,12,0,323,2515.605
2/2,-1,2024-09-09T08:00,384,395,11,пауза,False,2487.92,2504.475,15.400000000000091,-1.074999999999983,0.14999999999999558,2,4,0,368,2500.59
2/2,1,2024-09-09T22:00,398,437,39,пауза,False,2506.055,2508.22,13.315000000000055,0.16259857303792374,1.7300037551633658,5,7,3,385,2515.02
2/2,-1,2024-09-11T21:00,443,451,8,пауза,False,2511.555,2515.91,19.159999999999854,-0.22729645093945988,0.08794363256784751,2,3,0,431,2513.925
2/2,1,2024-09-12T11:00,456,520,64,пауза,False,2517.43,2577.265,11.265000000000327,5.311584553927945,6.416777629826738,5,14,5,450,2579.685
2/2,1,2024-09-17T09:00,523,526,3,рывок,True,2584.385,2573.69,6.675000000000182,-1.6022471910112168,0.3947565543070699,1,1,0,513,2579.685
2/2,-1,2024-09-17T19:00,533,543,10,пауза,False,2563.19,2575.99,13.900000000000091,-0.9208633093524923,0.17338129496401716,4,2,0,523,2571.655
2/2,1,2024-09-18T16:00,553,559,6,пауза,False,2571.85,2548.975,14.985000000000127,-1.5265265265265135,1.8978978978978853,2,2,0,545,2568.12
2/2,-1,2024-09-19T07:00,567,568,1,пауза,False,2564.185,2574.625,19.914999999999964,-0.5242279688676914,0.2274667336178636,2,0,0,558,2566.775
2/2,1,2024-09-20T17:00,600,707,107,пауза,False,2614.07,2665.915,34.51999999999998,1.501882966396287,2.073290845886435,5,25,4,587,2666.295
2/2,-1,2024-09-27T17:00,715,753,38,рывок,True,2649.53,2645.39,7.75,0.5341935483871391,3.193548387096774,3,8,1,710,2641.895
2/2,1,2024-10-01T23:00,767,774,7,пауза,False,2663.61,2654.195,15.620000000000346,-0.6027528809218793,0.035211267605615555,2,0,0,742,2657.64
2/2,-1,2024-10-02T17:00,784,791,7,пауза,False,2648.155,2659.565,12.085000000000036,-0.944145635084801,0.5771617707902642,1,3,0,778,2655.895
2/2,-1,2024-10-03T14:00,804,809,5,пауза,False,2648.125,2660.095,21.984999999999673,-0.5444621332726849,0.5053445531044026,4,3,0,784,2654.665
2/2,1,2024-10-04T04:00,817,828,11,пауза,False,2658.39,2638.95,7.779999999999745,-2.498714652956387,1.2185089974293482,2,3,0,815,2656.975
2/2,-1,2024-10-04T17:00,830,846,16,пауза,False,2658.4,2652.145,30.585000000000036,0.20451201569397096,0.6099395128330939,2,6,1,827,2648.705
2/2,-1,2024-10-07T15:00,851,873,22,рывок,True,2640.1,2650.81,8.960000000000036,-1.1953124999999991,1.2834821428571377,5,6,2,843,2646.53
2/2,-1,2024-10-08T17:00,876,918,42,рывок,True,2621.12,2618.015,17.93000000000029,0.1731734523145548,0.9090909090908791,4,9,2,874,2616.96
2/2,1,2024-10-10T22:00,927,982,55,пауза,False,2629.21,2641.985,13.2800000000002,0.9619728915662574,2.8362198795180267,5,10,3,925,2646.195
2/2,1,2024-10-16T05:00,1002,1084,82,пауза,False,2668.125,2720.16,10.164999999999964,5.119035907525828,7.129857353664551,5,20,6,982,2723.67
2/2,-1,2024-10-22T15:00,1104,1106,2,пауза,False,2736.28,2741.905,25.159999999999854,-0.2235691573926881,0.18282988871225717,2,2,0,1082,2739.395
2/2,1,2024-10-23T03:00,1115,1129,14,рывок,True,2745.325,2717.805,9.809999999999945,-2.805300713557608,1.3455657492355093,3,2,0,1103,2737.94
2/2,-1,2024-10-24T06:00,1141,1144,3,пауза,False,2723.075,2735.285,18.054999999999836,-0.6762669620603793,0.09249515369701651,2,0,0,1123,2726.81
2/2,-1,2024-10-25T14:00,1172,1175,3,пауза,False,2724.275,2738.565,15.570000000000164,-0.9177906229929231,0.1923570969813654,1,1,0,1167,2732.67
