layer,dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,mfeImp,maxKN,knees,mud,zeroBar,deathLvl
2/2,1,2024-10-28T02:00,1184,1243,59,пауза,False,2732.525,2777.565,17.5,2.5737142857142836,3.275999999999996,4,11,4,1170,2779.62
2/2,1,2024-10-31T05:00,1256,1259,3,пауза,False,2784.81,2779.915,6.4900000000002365,-0.7542372881355629,0.5577812018489613,2,2,1,1243,2783.68
2/2,-1,2024-10-31T19:00,1270,1280,10,пауза,False,2739.67,2752.38,51.054999999999836,-0.24894721378905255,0.02683380667906954,2,3,0,1264,2749.825
2/2,1,2024-11-01T11:00,1285,1291,6,пауза,False,2751.415,2744.755,10.515000000000327,-0.633380884450751,1.0328102710413494,2,4,0,1277,2747.22
2/2,-1,2024-11-04T11:00,1307,1329,22,пауза,False,2743.4,2742.58,12.894999999999982,0.06359053896860527,1.4451337727801663,3,6,2,1289,2739.735
2/2,1,2024-11-05T19:00,1338,1350,12,пауза,False,2742.07,2707.125,17.05500000000029,-2.0489592494869284,0.45206684256815627,2,3,0,1323,2733.035
2/2,1,2024-11-08T01:00,1389,1414,25,рывок,True,2706.985,2673.04,22.945000000000164,-1.4794072782741303,0.15014164305947633,2,4,1,1386,2682.935
2/2,-1,2024-11-11T06:00,1417,1497,80,пауза,False,2672.29,2570.355,19.5949999999998,5.202092370502729,6.911712171472383,5,19,3,1413,2565.335
2/2,1,2024-11-15T01:00,1504,1510,6,пауза,False,2566.98,2560.0,13.5300000000002,-0.5158906134515828,0.3532889874353385,1,2,0,1502,2563.995
2/2,1,2024-11-15T22:00,1525,1645,120,пауза,False,2562.26,2695.325,16.519999999999982,8.05478208232444,9.634382566585959,5,20,5,1511,2705.115
2/2,-1,2024-11-25T15:00,1656,1677,21,пауза,False,2678.33,2633.295,30.61999999999989,1.470770738079687,2.3847158719791066,3,6,1,1654,2628.83
2/2,1,2024-11-26T18:00,1682,1705,23,пауза,False,2628.7,2639.075,25.24499999999989,0.410972469796001,1.171519112695599,4,6,1,1665,2643.075
2/2,-1,2024-11-28T04:00,1714,1720,6,пауза,False,2628.3,2644.18,4.75,-3.3431578947367693,0.5484210526315828,3,2,0,1702,2638.53
2/2,1,2024-11-28T19:00,1729,1751,22,пауза,False,2641.02,2652.78,13.375,0.8792523364486144,1.893831775700929,4,5,1,1713,2654.59
2/2,-1,2024-12-02T01:00,1753,1783,30,рывок,False,2645.98,2646.925,11.694999999999709,-0.08080376229159361,2.0521590423258314,4,5,2,1743,2644.29
2/2,1,2024-12-03T12:00,1787,1837,50,пауза,False,2642.86,2640.42,10.860000000000127,-0.22467771639042597,1.323664825046025,3,11,5,1778,2644.735
2/2,-1,2024-12-05T18:00,1839,1849,10,рывок,False,2635.16,2640.855,12.609999999999673,-0.45162569389375984,1.748612212529762,4,3,0,1828,2633.91
2/2,1,2024-12-06T18:00,1862,1919,57,пауза,False,2640.515,2684.865,21.59999999999991,2.0532407407407454,2.9597222222222483,4,12,1,1860,2690.98
2/2,-1,2024-12-11T14:00,1927,1929,2,пауза,False,2695.875,2706.41,24.449999999999818,-0.43087934560326924,0.20899795501023172,2,1,0,1917,2699.915
2/2,1,2024-12-11T22:00,1935,1940,5,пауза,False,2717.305,2705.995,30.50500000000011,-0.3707588919849174,0.2947057859367384,2,2,0,1928,2713.35
2/2,-1,2024-12-12T11:00,1947,1962,15,пауза,False,2714.76,2690.05,19.710000000000036,1.2536783358701162,2.0088787417554634,4,3,0,1939,2687.175
2/2,-1,2024-12-13T20:00,1979,1992,13,пауза,False,2654.3,2658.055,9.809999999999945,-0.38277268093778544,1.0912334352701776,4,4,0,1962,2655.77
2/2,1,2024-12-16T13:00,1995,1998,3,рывок,True,2663.58,2654.845,6.125,-1.4261224489796127,0.14612244897958887,1,1,1,1989,2655.77
2/2,-1,2024-12-16T23:00,2005,2008,3,пауза,False,2652.75,2658.21,7.144999999999982,-0.7641707487753744,0.21203638908325773,2,1,0,1996,2655.775
2/2,1,2024-12-17T05:00,2010,2013,3,пауза,False,2653.67,2649.01,7.504999999999654,-0.6209193870752924,0.3411059293804215,1,0,0,2007,2651.235
2/2,-1,2024-12-17T22:00,2027,2030,3,пауза,False,2643.62,2650.155,15.925000000000182,-0.41036106750393936,0.03422291993720983,2,2,0,2008,2649.085
2/2,-1,2024-12-18T09:00,2037,2062,25,пауза,False,2644.705,2620.495,6.755000000000109,3.584011843079148,8.999259807549812,5,8,1,2031,2618.155
2/2,-1,2024-12-19T23:00,2074,2077,3,пауза,False,2594.55,2603.85,14.070000000000164,-0.6609808102345145,0.2846481876332667,2,1,0,2063,2601.135
2/2,1,2024-12-20T06:00,2080,2111,31,пауза,False,2598.105,2615.17,14.409999999999854,1.1842470506592802,2.4486467730742687,5,5,3,2077,2617.515
2/2,-1,2024-12-23T18:00,2115,2125,10,пауза,False,2616.13,2618.76,6.875,-0.3825454545454704,1.1447272727272568,2,4,0,2113,2616.81
2/2,1,2024-12-24T10:00,2130,2131,1,пауза,False,2617.34,2613.64,4.984999999999673,-0.7422266800402239,0.49648946840523,2,0,0,2119,2616.55
2/2,1,2024-12-26T02:00,2142,2173,31,рывок,False,2621.56,2626.25,4.984999999999673,0.9408224674022794,3.533600802407501,5,6,2,2119,2628.99
2/2,-1,2024-12-27T16:00,2179,2218,39,пауза,False,2615.755,2613.89,8.070000000000164,0.23110285006198247,2.425030978934296,5,10,1,2172,2609.585
2/2,-1,2025-01-03T15:00,2270,2282,12,пауза,False,2649.875,2644.6,9.394999999999982,0.5614688664183184,1.4018094731240125,5,4,0,2260,2643.04
2/2,-1,2025-01-06T20:00,2298,2304,6,пауза,False,2634.645,2639.045,26.669999999999618,-0.16497937757780856,0.062054743157113755,2,3,0,2291,2637.115
2/2,1,2025-01-07T05:00,2306,2405,99,пауза,False,2639.65,2679.53,8.230000000000018,4.8456865127582045,7.083839611178566,4,21,6,2303,2684.615
2/2,-1,2025-01-13T13:00,2406,2438,32,рывок,False,2676.0,2676.515,12.009999999999764,-0.04288093255619341,1.5957535387177637,4,5,1,2395,2674.07
2/2,1,2025-01-15T02:00,2441,2496,55,пауза,False,2672.785,2705.13,11.670000000000073,2.7716366752356514,4.455869751499543,5,9,3,2436,2709.965
2/2,-1,2025-01-17T15:00,2500,2501,1,рывок,True,2705.14,2711.75,7.464999999999691,-0.8854655056932889,0.07367716008034159,1,0,0,2490,2709.965
2/2,-1,2025-01-17T20:00,2505,2532,27,рывок,False,2705.625,2718.01,7.464999999999691,-1.6590756865372713,2.17682518419299,4,7,0,2490,2712.255
2/2,1,2025-01-21T12:00,2541,2586,45,рывок,True,2719.95,2746.035,8.945000000000164,2.916154276131868,4.861375069871362,5,6,3,2531,2749.625
2/2,-1,2025-01-23T14:00,2589,2594,5,рывок,True,2744.825,2757.81,6.0349999999998545,-2.151615575807861,1.4689312344656165,3,2,0,2583,2754.545
2/2,1,2025-01-24T01:00,2599,2622,23,пауза,False,2754.665,2767.67,7.554999999999836,1.7213765718068021,4.155526141628148,5,5,1,2590,2770.18
2/2,-1,2025-01-27T06:00,2627,2659,32,рывок,True,2758.25,2748.915,18.769999999999982,0.49733617474693903,1.4752264251465148,4,7,1,2624,2745.05
2/2,1,2025-01-29T04:00,2671,2674,3,пауза,False,2764.285,2760.755,2.7899999999999636,-1.2652329749103195,0.5161290322580908,3,2,0,2654,2762.3
2/2,-1,2025-01-29T12:00,2679,2698,19,пауза,False,2758.23,2765.64,8.7199999999998,-0.8497706422018376,1.5452981651376396,4,3,2,2670,2762.745
2/2,1,2025-01-30T20:00,2710,2739,29,пауза,False,2795.105,2782.275,39.74499999999989,-0.3228079003648248,0.5562963894829586,5,5,2,2697,2791.07
2/2,1,2025-02-04T02:00,2761,2814,53,пауза,False,2817.33,2855.68,18.477000000000317,2.0755533907019132,3.5168046760837206,5,10,2,2741,2859.975
2/2,-1,2025-02-06T16:00,2821,2844,23,рывок,False,2842.005,2876.87,13.365000000000236,-2.608679386457102,0.5787504676393558,3,5,0,2809,2870.395
2/2,1,2025-02-07T21:00,2849,2888,39,пауза,False,2860.39,2889.35,33.42000000000007,0.8665469778575695,2.465290245362063,4,8,0,2843,2905.94
2/2,-1,2025-02-11T20:00,2894,2915,21,пауза,False,2905.945,2902.54,27.115000000000236,0.1255762493085071,1.5347593582887653,3,6,1,2882,2895.85
2/2,1,2025-02-12T23:00,2920,2958,38,пауза,False,2903.96,2920.675,15.61999999999989,1.0701024327785058,2.3060179257362505,4,8,2,2912,2923.335
2/2,-1,2025-02-17T09:00,2975,2992,17,пауза,False,2902.575,2909.085,28.329999999999927,-0.22979174020473828,0.37080833039179956,2,6,1,2955,2904.185
2/2,1,2025-02-18T14:00,3001,3059,58,пауза,False,2918.185,2928.86,8.570000000000164,1.2456242707117828,4.290548424737372,5,9,2,2990,2933.555
2/2,-1,2025-02-21T15:00,3071,3076,5,пауза,False,2931.025,2941.85,19.31999999999971,-0.5603002070393365,0.4873188405797156,2,2,1,3059,2939.17
2/2,1,2025-02-24T10:00,3089,3111,22,пауза,False,2946.48,2931.745,9.495000000000346,-1.5518694049499306,1.0352817272248098,3,6,0,3082,2935.265
2/2,-1,2025-02-25T13:00,3115,3150,35,пауза,False,2938.745,2917.19,12.775000000000091,1.6872798434442022,3.9581213307240466,5,10,0,3095,2916.835
2/2,-1,2025-02-27T14:00,3162,3194,32,пауза,False,2885.2,2858.14,18.014999999999873,1.5020815986677845,2.9131279489314674,4,10,2,3149,2854.035
2/2,1,2025-03-03T04:00,3198,3255,57,рывок,True,2868.15,2900.04,15.899999999999636,2.0056603773585286,3.758490566037807,5,11,2,3191,2909.1
2/2,-1,2025-03-05T17:00,3257,3258,1,пауза,False,2917.26,2923.87,25.039999999999964,-0.2639776357827349,0.3736022364217265,1,1,0,3254,2919.39
2/2,1,2025-03-05T22:00,3262,3272,10,пауза,False,2922.22,2910.135,18.09999999999991,-0.66767955801103,0.248618784530388,2,3,0,3255,2916.01
2/2,-1,2025-03-06T19:00,3282,3302,20,пауза,False,2915.57,2926.815,31.699999999999818,-0.3547318611987368,0.5886435331230415,2,3,0,3267,2922.85
2/2,1,2025-03-07T19:00,3305,3320,15,пауза,False,2908.325,2897.935,26.710000000000036,-0.3889928865593358,0.37663796330963634,3,2,0,3288,2903.83
2/2,-1,2025-03-10T19:00,3329,3343,14,рывок,False,2886.135,2910.01,16.320000000000164,-1.4629289215686128,0.3606004901960882,5,4,1,3303,2900.515
2/2,1,2025-03-11T18:00,3351,3503,152,рывок,False,2917.2,3042.34,15.335000000000036,8.16041734594066,9.154874470166286,5,39,6,3340,3045.08
2/2,-1,2025-03-20T16:00,3510,3517,7,пауза,False,3040.24,3045.828,16.65000000000009,-0.33561561561562536,0.5732732732732472,2,0,0,3500,3042.38
2/2,-1,2025-03-21T05:00,3522,3550,28,рывок,False,3030.665,3028.9,16.65000000000009,0.10600600600599779,1.8738738738738527,3,7,0,3500,3026.41
2/2,-1,2025-03-25T01:00,3564,3570,6,пауза,False,3010.045,3018.435,12.095000000000255,-0.6936750723439187,0.2071103761885123,2,2,1,3552,3014.985
2/2,1,2025-03-25T10:00,3573,3592,19,рывок,True,3021.41,3015.275,7.445000000000164,-0.824042981866975,1.9691067830758882,4,6,2,3567,3017.835
2/2,1,2025-03-26T14:00,3600,3695,95,пауза,False,3027.19,3113.79,15.090000000000146,5.738899933730886,8.07819748177594,5,24,4,3593,3124.105
2/2,-1,2025-04-01T23:00,3700,3704,4,рывок,True,3114.475,3133.23,14.965000000000146,-1.2532576010691565,0.44403608419645285,2,2,0,3690,3120.78
2/2,-1,2025-04-02T13:00,3713,3724,11,пауза,False,3114.595,3145.955,27.24499999999989,-1.1510368875023034,0.35988254725637275,2,3,1,3705,3132.2
2/2,-1,2025-04-04T08:00,3754,3802,48,пауза,False,3108.98,3003.78,33.059999999999945,3.1820931639443435,4.61025408348458,3,13,2,3746,3004.96
2/2,1,2025-04-08T14:00,3806,3811,5,рывок,False,3017.545,2986.055,14.019999999999982,-2.246077032810291,0.37196861626249306,3,2,1,3799,2994.9
2/2,1,2025-04-09T16:00,3831,3897,66,пауза,False,3075.325,3215.375,16.38500000000022,8.547451937747837,10.407079646017559,5,15,3,3817,3221.435
2/2,-1,2025-04-14T19:00,3903,3911,8,рывок,True,3207.685,3223.775,16.815000000000055,-0.9568837347606359,0.5878679750222855,2,1,0,3893,3216.485
2/2,1,2025-04-15T09:00,3916,3923,7,пауза,False,3225.31,3213.08,22.690000000000055,-0.5390039665050678,0.3054208902600185,2,3,0,3911,3217.375
2/2,-1,2025-04-15T19:00,3926,3929,3,пауза,False,3221.465,3229.925,15.309999999999945,-0.5525800130633616,0.11952971913781409,2,0,0,3918,3226.97
2/2,1,2025-04-16T17:00,3947,3969,22,рывок,False,3308.61,3315.16,24.845000000000255,0.2636345341114776,1.9788689877238663,4,4,1,3923,3320.855
2/2,-1,2025-04-17T17:00,3970,3977,7,рывок,False,3291.465,3345.985,24.735000000000127,-2.204164139882745,0.3036183545583254,4,3,0,3961,3322.685
2/2,1,2025-04-21T19:00,3995,4015,20,пауза,False,3414.625,3418.93,119.28999999999996,0.03608852376561185,0.7173694358286515,4,3,1,3975,3443.175
2/2,-1,2025-04-23T07:00,4029,4048,19,рывок,False,3346.795,3331.73,71.42999999999984,0.21090578188436357,1.2124457510849813,5,3,0,4008,3305.84
2/2,1,2025-04-24T12:00,4057,4076,19,рывок,False,3335.805,3294.42,52.88499999999976,-0.7825470360215553,0.6555734140115388,1,3,0,4054,3314.8
2/2,-1,2025-04-28T03:00,4094,4108,14,пауза,False,3314.075,3328.695,65.4699999999998,-0.2233083855200915,0.702077287307161,2,4,0,4069,3301.165
2/2,1,2025-04-29T02:00,4116,4148,32,рывок,True,3337.68,3284.51,27.829999999999927,-1.910528206970886,0.19511318720805984,2,6,2,4104,3301.385
2/2,-1,2025-05-01T11:00,4171,4183,12,пауза,False,3235.18,3238.295,21.960000000000036,-0.14184881602915442,1.512978142076496,4,3,0,4153,3233.37
2/2,1,2025-05-02T09:00,4192,4201,9,рывок,True,3252.9,3231.64,28.27500000000009,-0.751900972590633,0.5800176834659607,3,2,0,4178,3246.42
2/2,1,2025-05-05T21:00,4227,4275,48,пауза,False,3323.415,3364.355,23.210000000000036,1.7638948728996118,4.809995691512266,5,12,1,4202,3375.8
2/2,-1,2025-05-08T01:00,4276,4279,3,пауза,False,3370.08,3408.725,34.284999999999854,-1.1271693160274214,0.09610616887852083,1,1,0,4273,3398.02
2/2,-1,2025-05-08T18:00,4293,4312,19,пауза,False,3330.385,3333.155,49.2199999999998,-0.056277935798455775,1.1291141812271537,5,5,0,4280,3324.095
2/2,1,2025-05-09T20:00,4318,4322,4,рывок,False,3340.925,3272.68,11.954999999999927,-5.708490171476433,0.17774989544123906,1,1,0,4315,3320.395
2/2,-1,2025-05-12T08:00,4329,4351,22,пауза,False,3276.14,3252.71,25.934999999999945,0.9034123770965832,2.635434740697901,4,6,1,4317,3238.875
2/2,1,2025-05-13T19:00,4363,4381,18,пауза,False,3251.095,3220.215,40.279999999999745,-0.7666335650446835,0.17142502482622254,2,3,1,4348,3225.505
2/2,-1,2025-05-14T15:00,4382,4407,25,рывок,False,3184.87,3205.54,22.394999999999982,-0.9229738780977936,2.862469301183303,5,4,2,4363,3192.83
2/2,1,2025-05-16T08:00,4421,4426,5,пауза,False,3218.695,3176.17,45.6550000000002,-0.9314423392837565,0.27685905158251706,0,2,0,4419,3206.6
2/2,-1,2025-05-16T17:00,4430,4437,7,рывок,True,3173.335,3239.29,24.735000000000127,-2.666464523953895,0.30058621386698636,1,0,0,4422,3206.6
2/2,1,2025-05-19T09:00,4445,4464,19,пауза,False,3224.29,3206.785,43.125,-0.4059130434782634,0.5634782608695694,2,3,1,4427,3217.29
2/2,1,2025-05-21T06:00,4488,4518,30,пауза,False,3307.56,3289.715,29.480000000000018,-0.6053256445047418,1.2859565807326945,4,7,3,4465,3303.975
2/2,-1,2025-05-22T18:00,4523,4535,12,пауза,False,3294.995,3313.72,32.835000000000036,-0.5702756205268734,0.41373534338358525,4,6,0,4511,3304.945
2/2,1,2025-05-23T13:00,4541,4563,22,пауза,False,3328.675,3328.6,11.805000000000291,-0.00635324015250072,3.163066497246825,5,6,1,4531,3336.635
2/2,-1,2025-05-26T21:00,4572,4573,1,пауза,False,3342.475,3347.775,20.2199999999998,-0.2621167161226624,0.0722057368941667,2,0,0,4556,3343.72
2/2,-1,2025-05-27T13:00,4585,4597,12,рывок,True,3293.33,3309.56,18.22499999999991,-0.8905349794238737,0.4433470507544564,5,4,1,4556,3305.035
2/2,1,2025-05-28T05:00,4600,4618,18,пауза,False,3302.57,3288.725,18.587000000000444,-0.7448754505837373,1.2441491364932182,1,4,1,4597,3297.298
2/2,-1,2025-05-29T02:00,4620,4629,9,рывок,False,3259.975,3281.785,14.429999999999836,-1.511434511434525,0.9989604989605078,4,3,0,4607,3280.22
2/2,1,2025-05-29T19:00,4637,4657,20,рывок,True,3322.285,3276.775,14.139999999999873,-3.218528995756731,0.6495756718529015,2,2,1,4626,3287.435
2/2,-1,2025-05-30T19:00,4660,4665,5,пауза,False,3293.365,3313.11,36.92000000000007,-0.534804983748654,0.253521126760554,2,2,0,4657,3295.88
2/2,1,2025-06-02T04:00,4668,4706,38,пауза,False,3303.66,3348.495,27.949999999999818,1.6041144901610136,3.171556350626138,4,5,1,4664,3351.11
2/2,1,2025-06-04T10:00,4720,4740,20,пауза,False,3354.725,3368.56,24.605000000000018,0.5622840885998791,1.2206868522658112,2,6,1,4704,3370.675
2/2,-1,2025-06-06T10:00,4766,4797,31,пауза,False,3359.56,3328.685,36.35500000000002,0.8492642002475583,1.8170815568697543,3,8,2,4747,3321.27
2/2,1,2025-06-09T19:00,4798,4806,8,рывок,False,3337.775,3306.325,16.324999999999818,-1.9264931087289816,0.03185298621745713,3,1,0,4784,3310.795
2/2,1,2025-06-10T23:00,4825,4904,79,пауза,False,3322.61,3412.68,29.745000000000346,3.0280719448646383,4.334005715246208,5,18,3,4807,3419.215
2/2,-1,2025-06-16T16:00,4910,5000,90,пауза,False,3388.34,3370.365,13.204999999999927,1.3612268080272973,3.6293070806513024,5,21,5,4908,3359.27
2/2,1,2025-06-20T19:00,5003,5011,8,пауза,False,3371.51,3355.325,32.73000000000002,-0.49450045829515404,0.5410937977390642,3,3,0,4999,3364.685
2/2,1,2025-06-23T22:00,5029,5030,1,пауза,False,3376.285,3369.2,18.02500000000009,-0.39306518723994455,0.3284327323162298,2,0,0,5015,3375.615
2/2,-1,2025-06-24T09:00,5039,5057,18,рывок,False,3322.95,3334.73,24.674999999999727,-0.4774062816616142,1.1199594731509652,5,3,0,5026,3325.38
2/2,1,2025-06-25T10:00,5063,5067,4,рывок,False,3330.705,3322.7,9.465000000000146,-0.8457474907554132,0.6867406233491706,1,1,0,5060,3325.87
2/2,-1,2025-06-26T01:00,5077,5083,6,пауза,False,3333.34,3334.02,24.095000000000255,-0.02822162274330065,0.16766964100435447,2,2,1,5063,3336.15
2/2,1,2025-06-26T10:00,5086,5091,5,рывок,True,3346.1,3322.095,11.024999999999636,-2.1773242630386305,0.3913832199546664,5,2,0,5069,3331.025
2/2,-1,2025-06-26T22:00,5098,5130,32,пауза,False,3331.34,3289.125,26.5600000000004,1.5894201807228732,3.272778614457789,3,4,1,5096,3282.94
2/2,1,2025-06-30T16:00,5138,5177,39,пауза,False,3284.915,3333.485,22.204999999999927,2.1873451925242207,3.2952037829317864,4,5,0,5123,3337.045
2/2,-1,2025-07-02T12:00,5180,5183,3,пауза,False,3341.755,3346.775,16.359999999999673,-0.3068459657701762,0.5238386308068664,3,1,0,5171,3344.015
2/2,1,2025-07-02T19:00,5187,5206,19,пауза,False,3348.675,3324.525,17.279999999999745,-1.3975694444444704,0.9979745370370454,4,4,0,5178,3342.015
2/2,-1,2025-07-03T18:00,5209,5220,11,рывок,True,3328.12,3338.42,21.740000000000236,-0.4737810487580529,0.23275068997239606,2,1,0,5200,3334.89
2/2,1,2025-07-07T01:00,5234,5236,2,пауза,False,3333.495,3326.595,14.305000000000291,-0.48234882908073756,0.5997902831177737,2,2,0,5215,3330.87
2/2,-1,2025-07-07T09:00,5242,5250,8,пауза,False,3310.02,3318.085,36.82999999999993,-0.21897909313060196,0.3730654357860388,3,3,1,5234,3315.29
2/2,1,2025-07-08T09:00,5265,5267,2,пауза,False,3335.835,3323.73,18.549999999999727,-0.6525606469002802,0.20242587601079054,2,1,0,5246,3327.405
2/2,-1,2025-07-08T20:00,5276,5295,19,пауза,False,3306.51,3300.305,52.48000000000002,0.11823551829269016,0.45436356707317543,3,7,1,5266,3297.885
2/2,1,2025-07-10T09:00,5311,5363,52,пауза,False,3325.395,3350.12,11.549999999999727,2.1406926406926834,4.302164502164609,5,10,4,5290,3353.675
2/2,-1,2025-07-14T22:00,5370,5377,7,пауза,False,3344.305,3357.98,10.679999999999836,-1.2804307116105236,0.2724719101123501,2,2,0,5358,3351.77
2/2,1,2025-07-15T11:00,5382,5385,3,рывок,True,3361.045,3354.915,10.375,-0.5908433734939864,0.5185542168674804,2,1,0,5371,3356.6
2/2,-1,2025-07-15T23:00,5394,5400,6,пауза,False,3325.005,3334.465,11.684999999999945,-0.8095849379546496,0.005990586221665728,2,1,0,5384,3331.99
2/2,1,2025-07-16T17:00,5411,5421,10,рывок,True,3338.145,3344.11,7.054999999999836,0.8454996456414293,5.600283486888892,2,4,1,5394,3346.07
2/2,-1,2025-07-17T18:00,5435,5441,6,рывок,True,3336.865,3343.335,6.210000000000036,-1.041867954911468,0.896940418679497,2,0,0,5418,3341.17
2/2,-1,2025-07-18T04:00,5444,5450,6,рывок,False,3337.82,3349.975,6.210000000000036,-1.9573268921094484,0.9557165861513544,2,1,1,5418,3344.325
2/2,1,2025-07-18T17:00,5457,5491,34,пауза,False,3354.75,3391.71,29.44499999999971,1.2552215995924743,1.6338937001188862,5,9,1,5449,3391.375
2/2,1,2025-07-23T07:00,5516,5525,9,пауза,False,3423.735,3413.465,19.824999999999818,-0.5180327868852498,0.5117276166456532,2,2,1,5496,3416.445
