тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
1H,5/5,1,3,SHORT,свеча,2R,141,-0.1277,0.2303,-0.2000,-0.0741,60,81
1H,5/5,1,3,SHORT,колено,3R,122,-0.4754,0.2455,-0.6800,-0.3333,50,72
1H,5/5,1,3,SHORT,колено,2R,122,-0.3607,0.2234,-0.3400,-0.3750,50,72
1H,5/5,-1,0,LONG,уровень,3R,89,0.4382,0.4092,-0.4286,1.2128,42,47
1H,5/5,-1,0,LONG,уровень,2R,89,0.3483,0.3182,-0.2857,0.9149,42,47
1H,5/5,-1,0,SHORT,свеча,магнит,222,-0.3206,0.2262,-0.2785,-0.3643,113,109
1H,5/5,-1,0,LONG,свеча,магнит,201,0.3131,0.3230,0.2992,0.3255,95,106
1H,5/5,-1,0,LONG,колено,магнит,106,0.1648,0.3923,-0.3424,0.5690,47,59
1H,5/5,-1,0,LONG,уровень,магнит,58,0.6606,0.5901,-0.3941,1.2591,21,37
1H,5/5,-1,1,LONG,свеча,магнит,287,-0.0040,0.2344,0.1552,-0.1962,157,130
1H,5/5,-1,1,LONG,уровень,3R,82,0.2195,0.4092,0.3953,0.0256,43,39
1H,5/5,-1,1,LONG,уровень,2R,83,0.0843,0.3183,0.2955,-0.1538,44,39
1H,5/5,-1,2,LONG,свеча,магнит,180,-0.1413,0.2828,-0.2004,-0.0809,91,89
1H,5/5,-1,2,LONG,свеча,3R,185,-0.0703,0.2491,-0.1398,0.0000,93,92
1H,5/5,-1,2,LONG,свеча,2R,185,0.0541,0.2112,-0.0645,0.1739,93,92
1H,5/5,-1,2,LONG,колено,3R,134,0.0746,0.3075,-0.0968,0.2222,62,72
1H,5/5,-1,2,LONG,колено,2R,134,0.0299,0.2470,0.0161,0.0417,62,72
1H,5/5,-1,2,LONG,уровень,3R,20,0.4000,0.8754,-0.2000,0.6000,5,15
1H,5/5,-1,2,LONG,уровень,2R,20,0.0500,0.6565,-0.4000,0.2000,5,15
1H,5/5,-1,2,SHORT,свеча,магнит,177,0.2667,0.3483,0.0302,0.5169,91,86
1H,5/5,-1,2,SHORT,свеча,3R,185,0.2108,0.2710,0.0323,0.3913,93,92
1H,5/5,-1,2,SHORT,свеча,2R,185,0.1838,0.2162,0.1613,0.2065,93,92
1H,5/5,-1,2,SHORT,колено,магнит,130,0.1090,0.3368,0.2891,-0.0947,69,61
