тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
1H,2/2,1,4,SHORT,колено,2R,73,-0.3014,0.2989,-0.1951,-0.4375,41,32
1H,2/2,-1,1,SHORT,свеча,магнит,345,0.0000,0.2133,0.1549,-0.1386,163,182
1H,2/2,1,1,LONG,свеча,3R,319,0.0533,0.1976,0.0233,0.0884,172,147
1H,2/2,1,1,LONG,свеча,2R,319,0.0533,0.1606,0.0814,0.0204,172,147
1H,2/2,1,1,LONG,колено,3R,293,0.3106,0.2197,0.2739,0.3529,157,136
1H,2/2,1,1,LONG,колено,2R,293,0.1365,0.1703,0.1656,0.1029,157,136
1H,2/2,1,1,SHORT,свеча,магнит,313,-0.0533,0.2256,-0.0055,-0.1087,168,145
1H,2/2,1,1,SHORT,свеча,3R,320,-0.0750,0.1889,-0.0465,-0.1081,172,148
1H,2/2,1,1,SHORT,свеча,2R,320,-0.0906,0.1544,-0.1453,-0.0270,172,148
1H,2/2,1,1,SHORT,колено,магнит,269,-0.0858,0.2282,-0.1402,-0.0172,150,119
1H,2/2,1,1,SHORT,колено,3R,309,-0.1068,0.1898,-0.1667,-0.0355,168,141
1H,2/2,1,1,SHORT,колено,2R,310,0.0258,0.1619,-0.0179,0.0775,168,142
1H,2/2,1,1,LONG,свеча,магнит,235,0.1231,0.2554,0.0793,0.1728,125,110
1H,2/2,1,1,LONG,колено,магнит,117,0.4003,0.3848,0.2301,0.5676,58,59
1H,2/2,-1,1,LONG,свеча,магнит,303,0.2155,0.2469,0.2533,0.1827,141,162
1H,2/2,-1,2,SHORT,свеча,магнит,177,0.1104,0.3099,-0.0754,0.2984,89,88
1H,2/2,-1,2,SHORT,колено,магнит,134,-0.0344,0.3411,-0.1020,0.0372,69,65
1H,2/2,-1,2,SHORT,уровень,магнит,88,-0.1130,0.4128,-0.1255,-0.0986,47,41
1H,2/2,1,1,SHORT,уровень,магнит,26,0.1441,0.7547,0.0347,0.2379,12,14
1H,2/2,1,1,SHORT,уровень,3R,37,-0.0270,0.5721,-0.2941,0.2000,17,20
1H,2/2,1,1,SHORT,уровень,2R,37,-0.1081,0.4571,-0.4706,0.2000,17,20
1H,2/2,1,2,LONG,свеча,магнит,177,-0.0877,0.2800,-0.1135,-0.0599,92,85
1H,2/2,1,2,SHORT,уровень,магнит,11,-0.6215,0.7570,-1.0000,0.3878,8,3
1H,2/2,1,2,SHORT,уровень,3R,12,0.3333,1.1371,0.5000,0.0000,8,4
1H,2/2,1,2,SHORT,уровень,2R,12,1.0000,0.8528,1.2500,0.5000,8,4
1H,2/2,-1,0,LONG,свеча,магнит,208,0.2883,0.3024,-0.0419,0.5940,100,108
1H,2/2,-1,0,LONG,свеча,3R,242,0.2893,0.2408,0.2000,0.3770,120,122
1H,2/2,-1,0,LONG,свеча,2R,242,0.1405,0.1876,0.1000,0.1803,120,122
1H,2/2,-1,0,LONG,колено,магнит,124,0.5446,0.6129,0.3446,0.7511,63,61
1H,2/2,-1,0,LONG,колено,3R,181,0.3260,0.2807,0.1915,0.4713,94,87
1H,2/2,-1,0,LONG,колено,2R,181,0.1436,0.2172,-0.0106,0.3103,94,87
1H,2/2,-1,0,SHORT,свеча,магнит,228,0.0498,0.2711,-0.0234,0.1229,114,114
1H,2/2,-1,0,SHORT,свеча,3R,242,0.0579,0.2273,0.0333,0.0820,120,122
1H,2/2,-1,0,SHORT,свеча,2R,242,0.0165,0.1829,0.0250,0.0082,120,122
1H,2/2,-1,0,SHORT,колено,магнит,183,-0.2741,0.2447,-0.3442,-0.2076,89,94
1H,2/2,-1,0,SHORT,колено,3R,229,-0.3362,0.1971,-0.4234,-0.2542,111,118
1H,2/2,-1,0,SHORT,колено,2R,229,-0.1354,0.1800,-0.2162,-0.0593,111,118
1H,2/2,-1,0,SHORT,уровень,магнит,46,-0.5399,0.3936,-0.8408,-0.1486,26,20
1H,2/2,-1,0,SHORT,уровень,3R,72,-0.6667,0.2624,-0.9070,-0.3103,43,29
1H,2/2,-1,0,SHORT,уровень,2R,72,-0.2500,0.3083,-0.4419,0.0345,43,29
1H,2/2,-1,1,SHORT,уровень,3R,116,-0.4483,0.2572,-0.5200,-0.3939,50,66
1H,2/2,-1,1,SHORT,уровень,2R,116,-0.2500,0.2423,-0.3400,-0.1818,50,66
1H,2/2,-1,2,LONG,свеча,магнит,167,-0.0650,0.2984,0.0050,-0.1248,77,90
1H,2/2,1,0,LONG,свеча,магнит,216,0.1804,0.2945,0.2000,0.1636,100,116
1H,2/2,1,0,LONG,колено,магнит,145,0.1388,0.3285,0.1742,0.1130,61,84
1H,2/2,1,0,SHORT,свеча,магнит,299,-0.0119,0.2261,0.0751,-0.0928,144,155
1H,2/2,1,1,LONG,уровень,3R,159,0.2830,0.2971,0.4286,0.1200,84,75
1H,2/2,1,1,LONG,уровень,2R,160,0.1062,0.2296,0.2857,-0.0921,84,76
1H,2/2,-1,0,LONG,уровень,магнит,57,0.3895,0.6179,0.8606,-0.0983,29,28
1H,2/2,-1,0,LONG,уровень,3R,92,0.1739,0.3819,0.3061,0.0233,49,43
1H,2/2,-1,0,LONG,уровень,2R,92,0.0761,0.3017,0.1020,0.0465,49,43
1H,2/2,-1,3,LONG,свеча,магнит,118,-0.0184,0.3444,0.3226,-0.3959,62,56
1H,2/2,-1,3,LONG,свеча,3R,125,0.1840,0.3280,0.5522,-0.2414,67,58
1H,2/2,-1,3,LONG,свеча,2R,125,0.0080,0.2545,0.2537,-0.2759,67,58
1H,2/2,-1,3,LONG,колено,3R,121,0.0909,0.3252,0.4154,-0.2857,65,56
1H,2/2,-1,3,LONG,колено,2R,121,0.0661,0.2622,0.3385,-0.2500,65,56
1H,2/2,-1,3,SHORT,свеча,магнит,115,-0.1852,0.3377,-0.6512,0.3996,64,51
1H,2/2,-1,3,SHORT,свеча,3R,125,-0.2000,0.2874,-0.5821,0.2414,67,58
1H,2/2,-1,3,SHORT,свеча,2R,125,-0.1120,0.2460,-0.3284,0.1379,67,58
1H,2/2,-1,3,SHORT,колено,магнит,76,-0.0437,0.4676,-0.2221,0.2455,47,29
1H,2/2,-1,3,SHORT,колено,3R,111,-0.0991,0.3186,-0.5254,0.3846,59,52
1H,2/2,-1,3,SHORT,колено,2R,111,0.0541,0.2731,-0.2373,0.3846,59,52
1H,2/2,-1,3,SHORT,уровень,магнит,69,-0.1774,0.4168,-0.4965,0.2899,41,28
1H,2/2,-1,3,SHORT,уровень,3R,102,-0.0980,0.3327,-0.6078,0.4118,51,51
1H,2/2,-1,3,SHORT,уровень,2R,102,0.0294,0.2834,-0.3529,0.4118,51,51
1H,2/2,-1,1,LONG,уровень,3R,95,0.1368,0.3722,0.1064,0.1667,47,48
1H,2/2,-1,1,LONG,уровень,2R,95,-0.0526,0.2877,-0.0426,-0.0625,47,48
1H,2/2,1,1,LONG,уровень,магнит,58,0.3294,0.5281,0.3585,0.3023,28,30
1H,2/2,-1,3,LONG,колено,магнит,88,0.1072,0.4128,0.5871,-0.3727,44,44
1H,2/2,1,0,SHORT,колено,магнит,172,-0.1206,0.2667,-0.1422,-0.1040,75,97
1H,2/2,1,0,SHORT,уровень,магнит,52,-0.1788,0.4723,-0.5471,0.0163,18,34
1H,2/2,-1,1,LONG,колено,магнит,199,0.2272,0.3024,0.5975,-0.0433,84,115
1H,2/2,-1,1,SHORT,уровень,магнит,65,-0.2413,0.3987,-0.3314,-0.1592,31,34
1H,2/2,-1,4,LONG,свеча,магнит,59,0.3540,0.5772,0.7498,0.0630,25,34
1H,2/2,-1,4,LONG,свеча,3R,61,0.3770,0.4907,0.4815,0.2941,27,34
1H,2/2,-1,4,LONG,свеча,2R,61,0.2295,0.3809,0.3333,0.1471,27,34
1H,2/2,-1,4,LONG,колено,3R,44,0.5455,0.5940,0.6842,0.4400,19,25
1H,2/2,-1,4,LONG,колено,2R,44,0.6364,0.4556,0.7368,0.5600,19,25
1H,2/2,-1,4,SHORT,свеча,магнит,47,-0.4709,0.4565,-0.8180,-0.1383,23,24
1H,2/2,-1,4,SHORT,свеча,3R,61,-0.2787,0.3971,-0.5556,-0.0588,27,34
1H,2/2,-1,4,SHORT,свеча,2R,61,-0.2623,0.3336,-0.4444,-0.1176,27,34
1H,2/2,-1,4,SHORT,колено,магнит,36,-0.5920,0.4656,-0.7967,-0.3361,20,16
1H,2/2,-1,4,SHORT,колено,3R,61,-0.5410,0.3292,-0.8519,-0.2941,27,34
1H,2/2,-1,4,SHORT,колено,2R,61,-0.5082,0.2868,-0.7778,-0.2941,27,34
1H,2/2,-1,4,SHORT,уровень,магнит,32,-0.5410,0.5219,-0.7609,-0.2918,17,15
1H,2/2,-1,4,SHORT,уровень,3R,57,-0.5088,0.3509,-0.8333,-0.2727,24,33
1H,2/2,-1,4,SHORT,уровень,2R,57,-0.4737,0.3050,-0.7500,-0.2727,24,33
1H,2/2,1,2,LONG,колено,магнит,105,-0.0515,0.3521,-0.0922,-0.0116,52,53
1H,2/2,1,2,LONG,уровень,магнит,85,-0.1870,0.3695,-0.1847,-0.1893,42,43
1H,2/2,1,0,LONG,уровень,3R,129,0.5194,0.3432,0.1429,0.8788,63,66
1H,2/2,1,0,LONG,уровень,2R,129,0.3488,0.2638,0.0476,0.6364,63,66
1H,2/2,1,3,LONG,свеча,магнит,96,0.3258,0.4302,0.4015,0.2590,45,51
1H,2/2,-1,2,LONG,уровень,магнит,14,-1.0000,0.0000,-1.0000,-1.0000,3,11
1H,2/2,-1,2,LONG,уровень,3R,24,-0.3333,0.6217,0.3333,-0.7333,9,15
1H,2/2,-1,2,LONG,уровень,2R,24,-0.2500,0.5417,0.3333,-0.6000,9,15
1H,2/2,-1,2,LONG,колено,магнит,81,-0.3176,0.3496,0.1591,-0.6453,33,48
1H,2/2,1,3,LONG,колено,магнит,57,0.7020,0.5776,0.4255,0.9031,24,33
1H,2/2,1,3,LONG,уровень,магнит,54,0.7965,0.5994,0.5551,0.9625,22,32
1H,2/2,-1,1,LONG,уровень,магнит,43,-0.3116,0.4830,-0.1793,-0.4267,20,23
1H,2/2,-1,3,LONG,уровень,3R,3,3.0000,0.0000,3.0000,3.0000,1,2
1H,2/2,-1,3,LONG,уровень,2R,3,2.0000,0.0000,2.0000,2.0000,1,2
1H,2/2,-1,4,LONG,уровень,3R,2,3.0000,0.0000,3.0000,3.0000,1,1
1H,2/2,-1,4,LONG,уровень,2R,2,2.0000,0.0000,2.0000,2.0000,1,1
1H,2/2,-1,5,LONG,свеча,магнит,22,0.0179,0.9718,0.0677,-0.0319,11,11
1H,2/2,-1,5,LONG,свеча,3R,22,-0.0909,0.7316,0.0909,-0.2727,11,11
1H,2/2,-1,5,LONG,свеча,2R,22,0.2273,0.6437,0.6364,-0.1818,11,11
1H,2/2,-1,5,LONG,колено,3R,22,-0.6364,0.5019,-0.2727,-1.0000,11,11
1H,2/2,-1,5,LONG,колено,2R,22,-0.4545,0.5050,-0.1818,-0.7273,11,11
1H,2/2,-1,5,SHORT,свеча,магнит,16,0.0983,1.2056,-1.0000,1.5104,9,7
1H,2/2,-1,5,SHORT,свеча,3R,22,-0.2727,0.6733,-1.0000,0.4545,11,11
1H,2/2,-1,5,SHORT,свеча,2R,22,-0.4545,0.5050,-1.0000,0.0909,11,11
1H,2/2,1,0,LONG,уровень,магнит,43,0.4358,0.6419,0.2759,0.5749,20,23
1H,2/2,1,4,LONG,свеча,магнит,63,-0.2093,0.4382,-0.5957,0.2737,35,28
1H,2/2,1,5,LONG,свеча,магнит,42,0.4598,0.8166,1.0831,-0.3713,24,18
1H,2/2,1,5,LONG,свеча,3R,56,0.2143,0.4960,0.3333,0.0769,30,26
1H,2/2,1,5,LONG,свеча,2R,56,0.2857,0.4004,0.2000,0.3846,30,26
1H,2/2,1,5,LONG,колено,3R,53,0.6604,0.5466,0.6296,0.6923,27,26
1H,2/2,1,5,LONG,колено,2R,53,0.5283,0.4160,0.2222,0.8462,27,26
1H,2/2,1,5,LONG,уровень,3R,51,0.7255,0.5603,0.6923,0.7600,26,25
1H,2/2,1,5,LONG,уровень,2R,51,0.5294,0.4242,0.2692,0.8000,26,25
1H,2/2,1,5,SHORT,свеча,магнит,54,-0.1326,0.5057,-0.1324,-0.1329,28,26
1H,2/2,1,5,SHORT,свеча,3R,56,-0.2143,0.4286,-0.2000,-0.2308,30,26
1H,2/2,1,5,SHORT,свеча,2R,56,-0.2500,0.3503,-0.2000,-0.3077,30,26
1H,2/2,1,5,SHORT,колено,магнит,47,-0.2590,0.4869,-0.2315,-0.2853,23,24
1H,2/2,1,5,SHORT,колено,3R,52,-0.3077,0.4238,-0.2857,-0.3333,28,24
1H,2/2,1,5,SHORT,колено,2R,52,-0.3077,0.3540,-0.1429,-0.5000,28,24
1H,2/2,1,5,LONG,колено,магнит,25,0.9881,0.9434,0.9187,1.1114,16,9
1H,2/2,1,5,LONG,уровень,магнит,23,1.1610,0.9937,1.0466,1.3753,15,8
1H,2/2,-1,5,LONG,колено,магнит,20,-0.7850,0.4300,-0.5223,-1.0000,9,11
1H,2/2,-1,5,SHORT,колено,3R,19,-0.7895,0.4211,-0.5556,-1.0000,9,10
1H,2/2,-1,5,SHORT,колено,2R,19,-0.8421,0.3158,-0.6667,-1.0000,9,10
1H,2/2,-1,5,SHORT,уровень,3R,19,-0.7895,0.4211,-0.5556,-1.0000,9,10
1H,2/2,-1,5,SHORT,уровень,2R,19,-0.8421,0.3158,-0.6667,-1.0000,9,10
1H,2/2,1,4,LONG,колено,магнит,44,0.3877,0.6861,-0.3475,1.0590,21,23
1H,2/2,1,4,LONG,уровень,магнит,42,0.1304,0.5957,-0.3475,0.6084,21,21
1H,2/2,-1,4,LONG,колено,магнит,31,0.3072,0.7527,0.5602,0.2191,8,23
1H,2/2,1,3,SHORT,уровень,магнит,1,-1.0000,0.0000,-1.0000,0.0000,1,0
1H,2/2,1,3,SHORT,уровень,3R,1,-1.0000,0.0000,-1.0000,0.0000,1,0
1H,2/2,1,3,SHORT,уровень,2R,1,-1.0000,0.0000,-1.0000,0.0000,1,0
1H,2/2,-1,5,SHORT,колено,магнит,8,-0.4908,1.0185,0.0185,-1.0000,4,4
1H,2/2,-1,5,SHORT,уровень,магнит,8,-0.4908,1.0185,0.0185,-1.0000,4,4
1H,2/2,-1,3,LONG,уровень,магнит,1,4.7492,0.0000,0.0000,4.7492,0,1
5m,5/5,-1,1,LONG,свеча,3R,531,-0.1864,0.1399,-0.3404,-0.0081,285,246
5m,5/5,-1,1,LONG,свеча,2R,531,-0.1017,0.1194,-0.2737,0.0976,285,246
5m,5/5,-1,1,LONG,колено,3R,518,-0.1351,0.1448,-0.4015,0.1639,274,244
5m,5/5,-1,1,LONG,колено,2R,518,-0.1660,0.1182,-0.3321,0.0205,274,244
5m,5/5,-1,1,SHORT,свеча,3R,531,0.0847,0.1545,0.3053,-0.1707,285,246
5m,5/5,-1,1,SHORT,свеча,2R,531,-0.0113,0.1225,0.1684,-0.2195,285,246
5m,5/5,1,3,LONG,свеча,3R,185,0.0162,0.2567,-0.0800,0.1294,100,85
5m,5/5,1,3,LONG,свеча,2R,186,0.0645,0.2111,0.0500,0.0814,100,86
5m,5/5,1,3,SHORT,свеча,3R,186,0.1828,0.2684,0.2000,0.1628,100,86
5m,5/5,1,3,SHORT,свеча,2R,186,0.1935,0.2159,0.2300,0.1512,100,86
5m,5/5,1,3,SHORT,колено,3R,179,0.2737,0.2793,0.8367,-0.4074,98,81
5m,5/5,1,3,SHORT,колено,2R,179,0.2402,0.2215,0.6224,-0.2222,98,81
5m,5/5,-1,1,SHORT,колено,3R,448,0.1161,0.1697,0.4899,-0.3433,247,201
5m,5/5,-1,1,SHORT,колено,2R,455,0.2000,0.1380,0.5534,-0.2426,253,202
5m,5/5,1,0,LONG,свеча,3R,403,-0.1861,0.1606,-0.4518,0.0680,197,206
5m,5/5,1,0,LONG,свеча,2R,403,-0.1216,0.1362,-0.2843,0.0340,197,206
5m,5/5,1,0,LONG,колено,3R,389,-0.0746,0.1713,-0.3016,0.1400,189,200
5m,5/5,1,0,LONG,колено,2R,391,-0.0946,0.1395,-0.2579,0.0597,190,201
5m,5/5,1,0,SHORT,свеча,3R,403,0.1613,0.1811,0.2995,0.0291,197,206
5m,5/5,1,0,SHORT,свеча,2R,403,0.1315,0.1450,0.1878,0.0777,197,206
5m,5/5,1,0,SHORT,колено,3R,311,0.1318,0.2047,0.5364,-0.2500,151,160
5m,5/5,1,0,SHORT,колено,2R,311,0.1383,0.1654,0.4305,-0.1375,151,160
5m,5/5,1,0,SHORT,уровень,3R,153,-0.0065,0.2804,0.3810,-0.4783,84,69
5m,5/5,1,0,SHORT,уровень,2R,153,0.0588,0.2326,0.3214,-0.2609,84,69
5m,5/5,1,0,SHORT,свеча,магнит,353,0.1277,0.2122,0.2086,0.0445,179,174
5m,5/5,1,0,SHORT,колено,магнит,234,0.1798,0.2842,0.4690,-0.1093,117,117
5m,5/5,1,1,LONG,свеча,3R,543,-0.2928,0.1311,-0.4201,-0.1679,269,274
5m,5/5,1,1,LONG,свеча,2R,543,-0.1602,0.1157,-0.2974,-0.0255,269,274
5m,5/5,1,1,LONG,колено,3R,462,-0.2554,0.1450,-0.3028,-0.2131,218,244
5m,5/5,1,1,LONG,колено,2R,465,-0.2065,0.1229,-0.2569,-0.1619,218,247
5m,5/5,1,1,SHORT,свеча,магнит,482,0.1791,0.1868,0.3160,0.0521,232,250
5m,5/5,1,1,SHORT,свеча,3R,543,0.2376,0.1588,0.3383,0.1387,269,274
5m,5/5,1,1,SHORT,свеча,2R,543,0.2155,0.1265,0.3606,0.0730,269,274
5m,5/5,1,1,SHORT,колено,магнит,325,0.1163,0.2244,0.2376,0.0148,148,177
5m,5/5,1,1,SHORT,колено,3R,522,0.2031,0.1607,0.4713,-0.0651,261,261
5m,5/5,1,1,SHORT,колено,2R,526,0.1350,0.1270,0.2566,0.0115,265,261
5m,5/5,1,3,LONG,колено,магнит,75,-0.2463,0.4949,-0.1563,-0.4158,49,26
5m,5/5,1,3,LONG,колено,3R,131,-0.2672,0.2714,-0.3067,-0.2143,75,56
5m,5/5,1,3,LONG,колено,2R,133,-0.2331,0.2278,-0.2105,-0.2632,76,57
5m,5/5,-1,2,LONG,свеча,3R,345,-0.0029,0.1866,-0.0947,0.1097,190,155
5m,5/5,-1,2,LONG,свеча,2R,345,-0.0261,0.1515,-0.1158,0.0839,190,155
5m,5/5,-1,2,LONG,колено,3R,256,-0.0156,0.2158,-0.2701,0.2773,137,119
5m,5/5,-1,2,LONG,колено,2R,258,0.0349,0.1779,-0.1898,0.2893,137,121
5m,5/5,-1,2,SHORT,свеча,магнит,262,-0.0971,0.2267,0.3069,-0.5073,132,130
5m,5/5,-1,2,SHORT,свеча,3R,345,-0.0261,0.1851,0.2000,-0.3032,190,155
5m,5/5,-1,2,SHORT,свеча,2R,345,-0.1043,0.1480,0.1053,-0.3613,190,155
5m,5/5,-1,2,SHORT,колено,магнит,186,-0.1078,0.2659,0.4160,-0.6204,92,94
5m,5/5,-1,2,SHORT,колено,3R,333,0.0571,0.1936,0.4645,-0.4400,183,150
5m,5/5,-1,2,SHORT,колено,2R,335,0.0209,0.1556,0.3784,-0.4200,185,150
5m,5/5,1,1,LONG,свеча,магнит,478,-0.4801,0.1299,-0.5640,-0.3896,248,230
5m,5/5,-1,1,LONG,свеча,магнит,481,-0.1375,0.1695,-0.3827,0.1632,265,216
5m,5/5,-1,1,LONG,колено,магнит,342,-0.1330,0.1900,-0.4413,0.3012,200,142
5m,5/5,-1,2,LONG,свеча,магнит,336,-0.0163,0.2202,-0.0419,0.0157,187,149
5m,5/5,-1,2,LONG,колено,магнит,214,-0.0663,0.2681,-0.2164,0.1328,122,92
5m,5/5,-1,2,SHORT,уровень,3R,294,0.0612,0.2063,0.4233,-0.3893,163,131
5m,5/5,-1,2,SHORT,уровень,2R,296,0.0338,0.1660,0.3455,-0.3588,165,131
5m,5/5,1,0,LONG,свеча,магнит,339,-0.1093,0.2048,-0.4388,0.2506,177,162
5m,5/5,1,1,LONG,колено,магнит,290,-0.4637,0.1693,-0.4216,-0.5216,168,122
5m,5/5,1,2,LONG,свеча,магнит,220,-0.0143,0.2808,0.2195,-0.1953,96,124
5m,5/5,1,2,LONG,свеча,3R,287,-0.2195,0.1875,-0.1864,-0.2426,118,169
5m,5/5,1,2,LONG,свеча,2R,287,-0.1429,0.1603,-0.0593,-0.2012,118,169
5m,5/5,1,2,LONG,колено,магнит,159,-0.2607,0.2692,-0.3575,-0.1743,75,84
5m,5/5,1,2,LONG,колено,3R,271,-0.0849,0.2045,-0.2000,0.0000,115,156
5m,5/5,1,2,LONG,колено,2R,282,-0.0213,0.1678,-0.1102,0.0427,118,164
5m,5/5,1,2,SHORT,свеча,3R,287,0.0453,0.2078,-0.0169,0.0888,118,169
5m,5/5,1,2,SHORT,свеча,2R,287,0.0871,0.1705,0.0424,0.1183,118,169
5m,5/5,1,2,SHORT,колено,3R,238,0.1092,0.2326,0.2000,0.0435,100,138
5m,5/5,1,2,SHORT,колено,2R,242,0.1157,0.1868,0.1100,0.1197,100,142
5m,5/5,1,2,SHORT,уровень,3R,39,0.7436,0.6435,0.4118,1.0000,17,22
5m,5/5,1,2,SHORT,уровень,2R,43,0.8140,0.4527,0.5882,0.9615,17,26
5m,5/5,-1,3,LONG,свеча,магнит,166,0.0149,0.3054,-0.0257,0.0967,111,55
5m,5/5,-1,3,LONG,свеча,3R,172,0.0465,0.2689,-0.0631,0.2459,111,61
5m,5/5,-1,3,LONG,свеча,2R,172,0.0640,0.2195,-0.0541,0.2787,111,61
5m,5/5,-1,3,LONG,колено,3R,168,-0.1429,0.2540,-0.2222,0.0000,108,60
5m,5/5,-1,3,LONG,колено,2R,168,-0.1786,0.2070,-0.2222,-0.1000,108,60
5m,5/5,-1,3,SHORT,свеча,магнит,135,-0.3172,0.2991,-0.1833,-0.5118,80,55
5m,5/5,-1,3,SHORT,свеча,3R,172,-0.1628,0.2489,-0.2072,-0.0820,111,61
5m,5/5,-1,3,SHORT,свеча,2R,172,-0.0930,0.2107,-0.1351,-0.0164,111,61
5m,5/5,-1,3,SHORT,колено,магнит,82,-0.1461,0.3877,-0.0721,-0.2406,46,36
5m,5/5,-1,3,SHORT,колено,3R,148,0.1081,0.2953,0.2525,-0.1837,99,49
5m,5/5,-1,3,SHORT,колено,2R,148,0.0946,0.2382,0.2424,-0.2041,99,49
5m,5/5,-1,3,LONG,колено,магнит,132,-0.1504,0.3109,-0.0740,-0.3086,89,43
5m,5/5,1,2,LONG,уровень,магнит,106,-0.1719,0.3508,-0.1642,-0.1793,52,54
5m,5/5,1,2,LONG,уровень,3R,213,-0.0047,0.2375,-0.0562,0.0323,89,124
5m,5/5,1,2,LONG,уровень,2R,224,0.0580,0.1920,0.0435,0.0682,92,132
5m,5/5,1,2,SHORT,свеча,магнит,271,-0.0714,0.2297,0.0004,-0.1212,111,160
5m,5/5,-1,0,LONG,свеча,магнит,363,-0.0732,0.2046,-0.1752,0.0363,188,175
5m,5/5,-1,0,LONG,свеча,3R,397,-0.0831,0.1690,-0.2041,0.0348,196,201
5m,5/5,-1,0,LONG,свеча,2R,397,-0.0932,0.1385,-0.1888,0.0000,196,201
5m,5/5,-1,0,LONG,колено,магнит,225,-0.0031,0.2564,-0.1917,0.1940,115,110
5m,5/5,-1,0,LONG,колено,3R,284,-0.0423,0.2029,-0.2296,0.1275,135,149
5m,5/5,-1,0,LONG,колено,2R,284,-0.1232,0.1622,-0.2222,-0.0336,135,149
5m,5/5,-1,0,LONG,уровень,магнит,54,-0.1988,0.4626,-1.0000,0.5451,26,28
5m,5/5,-1,0,LONG,уровень,3R,107,-0.2150,0.3086,-1.0000,0.2727,41,66
5m,5/5,-1,0,LONG,уровень,2R,107,-0.2430,0.2531,-0.8537,0.1364,41,66
5m,5/5,-1,0,SHORT,свеча,3R,397,0.0479,0.1768,0.1429,-0.0448,196,201
5m,5/5,-1,0,SHORT,свеча,2R,397,0.0806,0.1447,0.1633,0.0000,196,201
5m,5/5,-1,0,SHORT,колено,3R,390,0.0462,0.1783,0.2308,-0.1385,195,195
5m,5/5,-1,0,SHORT,колено,2R,390,0.0154,0.1439,0.1231,-0.0923,195,195
5m,5/5,-1,0,SHORT,уровень,3R,150,0.2000,0.3003,0.4588,-0.1385,85,65
5m,5/5,-1,0,SHORT,уровень,2R,150,0.1600,0.2394,0.2706,0.0154,85,65
5m,5/5,-1,1,SHORT,уровень,3R,194,0.0515,0.2535,0.3333,-0.3023,108,86
5m,5/5,-1,1,SHORT,уровень,2R,194,0.1907,0.2113,0.4722,-0.1628,108,86
5m,5/5,-1,1,SHORT,свеча,магнит,453,0.0760,0.1910,0.2244,-0.0826,234,219
5m,5/5,-1,1,SHORT,колено,магнит,252,-0.0076,0.2493,0.2621,-0.2905,129,123
5m,5/5,1,1,SHORT,уровень,3R,109,0.1009,0.3438,0.1176,0.0732,68,41
5m,5/5,1,1,SHORT,уровень,2R,110,0.0909,0.2765,0.0435,0.1707,69,41
5m,5/5,1,4,LONG,свеча,магнит,85,0.1531,0.5026,0.1759,0.1318,41,44
5m,5/5,1,4,LONG,свеча,3R,106,-0.0566,0.3314,-0.2889,0.1148,45,61
5m,5/5,1,4,LONG,свеча,2R,106,-0.1226,0.2664,-0.3333,0.0328,45,61
5m,5/5,1,4,LONG,колено,3R,95,-0.1579,0.3364,-0.5122,0.1111,41,54
5m,5/5,1,4,LONG,колено,2R,95,-0.0526,0.2877,-0.3415,0.1667,41,54
5m,5/5,1,4,LONG,уровень,3R,82,-0.0244,0.3817,-0.4286,0.2766,35,47
5m,5/5,1,4,LONG,уровень,2R,82,0.0610,0.3187,-0.2286,0.2766,35,47
5m,5/5,1,4,SHORT,свеча,магнит,104,0.0362,0.3912,0.2974,-0.1553,44,60
5m,5/5,1,4,SHORT,свеча,3R,106,-0.0566,0.3314,0.0667,-0.1475,45,61
5m,5/5,1,4,SHORT,свеча,2R,106,-0.0660,0.2711,0.2667,-0.3115,45,61
5m,5/5,1,5,LONG,свеча,магнит,53,-0.4261,0.5901,-0.3420,-0.6390,38,15
5m,5/5,1,5,LONG,свеча,3R,69,-0.4783,0.3267,-0.4146,-0.5714,41,28
5m,5/5,1,5,LONG,свеча,2R,69,-0.4348,0.2845,-0.4878,-0.3571,41,28
5m,5/5,1,5,LONG,колено,магнит,20,-0.0294,0.9075,-0.2407,0.6043,15,5
5m,5/5,1,5,LONG,колено,3R,56,-0.1429,0.4426,-0.6364,0.5652,33,23
5m,5/5,1,5,LONG,колено,2R,56,-0.0893,0.3720,-0.2727,0.1739,33,23
5m,5/5,1,5,LONG,уровень,магнит,16,0.2132,1.1070,-0.0508,1.0054,12,4
5m,5/5,1,5,LONG,уровень,3R,52,-0.0769,0.4720,-0.6000,0.6364,30,22
5m,5/5,1,5,LONG,уровень,2R,52,-0.0192,0.3941,-0.2000,0.2273,30,22
5m,5/5,1,5,SHORT,свеча,магнит,69,-0.4575,0.3399,-0.1923,-0.8458,41,28
5m,5/5,1,5,SHORT,свеча,3R,69,-0.1884,0.3902,0.0732,-0.5714,41,28
5m,5/5,1,5,SHORT,свеча,2R,69,-0.0870,0.3348,0.0244,-0.2500,41,28
5m,5/5,1,5,SHORT,колено,3R,65,0.3538,0.4732,1.1463,-1.0000,41,24
5m,5/5,1,5,SHORT,колено,2R,65,0.1077,0.3619,0.6098,-0.7500,41,24
5m,5/5,-1,1,LONG,уровень,магнит,35,-0.6691,0.4753,-1.0000,-0.3904,16,19
5m,5/5,-1,1,LONG,уровень,3R,69,-0.4783,0.3267,-0.4483,-0.5000,29,40
