слой,время вершины,цена вершины,время колена-низа,цена колена-низа,время настоящего дна,цена настоящего дна,глубина пунктов,глубина в импульсах,баров раньше,баров без колена,кто помешал,размах помехи в медианах
3/3,2024-03-05 13:00,2141.880,2024-03-06 03:00,2123.765,2024-03-05 16:00,2123.725,0.040,0.001,10,13,свеча вершины,5.14
3/3,2024-03-14 17:00,2165.110,2024-03-15 00:00,2160.655,2024-03-14 18:00,2160.255,0.400,0.033,5,6,другая слева,2.50
3/3,2024-03-20 22:00,2222.915,2024-03-21 08:00,2196.925,2024-03-21 00:00,2192.480,4.445,0.061,8,10,другая слева,1.17
3/3,2024-03-27 03:00,2181.810,2024-03-27 09:00,2176.620,2024-03-27 05:00,2175.800,0.820,0.082,4,6,другая слева,0.77
3/3,2024-04-23 14:00,2332.210,2024-04-24 02:00,2315.845,2024-04-23 15:00,2315.290,0.555,0.014,10,11,другая слева,3.27
3/3,2024-04-25 14:00,2344.930,2024-04-26 01:00,2326.365,2024-04-25 16:00,2323.045,3.320,0.083,8,10,другая слева,4.86
3/3,2024-05-28 13:00,2364.175,2024-05-28 18:00,2352.870,2024-05-28 14:00,2348.015,4.855,0.203,4,5,другая слева,1.29
3/3,2024-06-06 15:00,2378.600,2024-06-07 02:00,2369.505,2024-06-06 18:00,2369.065,0.440,0.018,7,10,свеча вершины,3.82
3/3,2024-06-20 15:00,2365.590,2024-06-21 07:00,2355.190,2024-06-20 16:00,2352.920,2.270,0.067,14,15,другая слева,3.38
3/3,2024-08-23 15:00,2518.400,2024-08-26 05:00,2508.810,2024-08-23 16:00,2501.820,6.990,0.147,12,13,другая слева,2.49
3/3,2024-10-28 14:00,2746.010,2024-10-28 22:00,2739.870,2024-10-28 15:00,2739.740,0.130,0.007,6,7,другая слева,0.96
3/3,2024-10-31 19:00,2749.825,2024-11-01 01:00,2744.960,2024-10-31 20:00,2743.355,1.605,0.088,4,5,другая слева,1.49
3/3,2024-11-18 16:00,2615.145,2024-11-19 07:00,2617.755,2024-11-18 17:00,2607.380,10.375,0.299,13,14,другая слева,2.00
3/3,2024-12-26 15:00,2639.175,2024-12-27 02:00,2628.990,2024-12-26 17:00,2628.085,0.905,0.052,8,10,другая слева,2.03
3/3,2025-02-04 15:00,2845.470,2025-02-05 01:00,2839.740,2025-02-04 16:00,2832.700,7.040,0.184,8,9,другая слева,4.13
3/3,2025-03-05 16:00,2929.980,2025-03-06 01:00,2916.010,2025-03-05 18:00,2911.880,4.130,0.116,6,8,другая слева,4.26
3/3,2025-03-18 13:00,3038.350,2025-03-19 01:00,3027.450,2025-03-18 14:00,3024.805,2.645,0.050,10,11,другая слева,1.87
3/3,2025-03-27 14:00,3059.755,2025-03-27 23:00,3054.235,2025-03-27 17:00,3047.870,6.365,0.193,5,8,свеча вершины,5.04
3/3,2025-03-31 15:00,3127.300,2025-03-31 23:00,3120.125,2025-03-31 16:00,3111.710,8.415,0.305,6,7,другая слева,6.65
3/3,2025-04-14 17:00,3216.485,2025-04-15 01:00,3210.065,2025-04-14 18:00,3201.380,8.685,0.380,6,7,другая слева,3.92
3/3,2025-05-01 13:00,3233.370,2025-05-02 00:00,3227.470,2025-05-01 15:00,3205.095,22.375,0.712,8,10,другая слева,8.17
3/3,2025-05-09 07:00,3332.350,2025-05-09 14:00,3320.395,2025-05-09 08:00,3320.205,0.190,0.003,6,7,другая слева,4.63
3/3,2025-06-04 14:00,3384.760,2025-06-04 20:00,3370.675,2025-06-04 15:00,3369.790,0.885,0.022,5,6,другая слева,4.39
3/3,2025-06-12 13:00,3399.050,2025-06-12 22:00,3379.535,2025-06-12 15:00,3377.885,1.650,0.027,6,8,другая слева,3.73
3/3,2025-07-29 15:00,3334.270,2025-07-30 01:00,3321.795,2025-07-29 16:00,3319.090,2.705,0.121,8,9,другая слева,4.70
3/3,2025-09-01 14:00,3481.535,2025-09-01 23:00,3474.565,2025-09-01 16:00,3472.390,2.175,0.144,4,6,другая слева,2.74
3/3,2025-09-11 16:00,3642.115,2025-09-12 00:00,3630.625,2025-09-11 18:00,3630.525,0.100,0.003,5,7,другая слева,2.55
3/3,2025-10-23 06:00,4137.745,2025-10-23 12:00,4100.140,2025-10-23 07:00,4092.060,8.080,0.112,5,6,другая слева,3.52
3/3,2025-11-27 08:00,4167.260,2025-11-27 13:00,4149.085,2025-11-27 09:00,4148.400,0.685,0.028,4,5,другая слева,3.29
3/3,2025-11-27 15:00,4161.925,2025-11-27 21:00,4155.335,2025-11-27 16:00,4151.505,3.830,0.298,5,6,другая слева,2.40
3/3,2025-12-11 18:00,4285.890,2025-12-12 01:00,4264.525,2025-12-11 19:00,4262.830,1.695,0.021,5,6,другая слева,7.67
3/3,2025-12-17 15:00,4349.280,2025-12-18 01:00,4324.020,2025-12-17 16:00,4320.325,3.695,0.086,8,9,другая слева,7.73
3/3,2025-12-25 23:00,4536.740,2025-12-26 11:00,4502.910,2025-12-26 02:00,4492.210,10.700,0.121,9,12,свеча вершины,13.92
3/3,2026-01-12 00:00,4601.695,2026-01-12 12:00,4578.485,2026-01-12 02:00,4561.935,16.550,0.111,10,12,другая слева,6.30
3/3,2026-01-18 23:00,4690.940,2026-01-19 11:00,4659.730,2026-01-19 02:00,4653.225,6.505,0.042,9,12,свеча вершины,11.87
3/3,2026-01-28 23:00,5602.225,2026-01-29 11:00,5470.900,2026-01-29 01:00,5444.925,25.975,0.071,10,12,другая слева,11.32
3/3,2026-02-08 23:00,5047.915,2026-02-09 10:00,4982.495,2026-02-09 02:00,4968.885,13.610,0.122,8,11,свеча вершины,21.85
3/3,2026-06-11 01:00,4118.395,2026-06-11 14:00,4052.975,2026-06-11 02:00,4052.295,0.680,0.007,12,13,другая слева,10.88
2/2,2017-08-25 00:00,1287.198,2017-08-25 06:00,1285.962,2017-08-25 01:00,1285.414,0.548,0.237,5,6,другая слева,0.43
2/2,2017-09-07 00:00,1336.060,2017-09-07 06:00,1334.124,2017-09-07 01:00,1332.634,1.490,0.337,5,6,другая слева,0.39
2/2,2017-09-12 12:00,1329.404,2017-09-12 16:00,1325.296,2017-09-12 13:00,1325.037,0.259,0.039,3,4,другая слева,0.67
2/2,2017-10-05 01:00,1275.310,2017-10-05 06:00,1273.375,2017-10-05 02:00,1273.282,0.093,0.042,4,5,другая слева,0.42
2/2,2017-10-10 01:00,1288.348,2017-10-10 05:00,1285.722,2017-10-10 02:00,1285.222,0.500,0.081,3,4,другая слева,0.49
2/2,2017-10-30 16:00,1278.890,2017-10-30 22:00,1275.480,2017-10-30 18:00,1275.282,0.198,0.022,3,5,свеча вершины,1.20
2/2,2018-01-26 01:00,1353.911,2018-01-26 05:00,1351.059,2018-01-26 02:00,1350.661,0.398,0.035,3,4,другая слева,0.72
2/2,2018-02-05 20:00,1341.784,2018-02-06 01:00,1336.031,2018-02-05 21:00,1336.006,0.025,0.003,3,4,другая слева,0.39
2/2,2018-02-08 17:00,1322.333,2018-02-08 21:00,1316.756,2018-02-08 18:00,1315.937,0.819,0.054,3,4,другая слева,1.08
2/2,2018-02-28 01:00,1319.160,2018-02-28 08:00,1316.962,2018-02-28 03:00,1316.836,0.126,0.037,5,7,свеча вершины,0.76
2/2,2018-03-01 20:00,1321.252,2018-03-02 01:00,1315.268,2018-03-01 21:00,1315.173,0.095,0.006,3,4,другая слева,2.54
2/2,2018-03-23 06:00,1343.375,2018-03-23 11:00,1340.274,2018-03-23 08:00,1338.334,1.940,0.104,3,5,свеча вершины,1.40
2/2,2018-04-25 19:00,1324.063,2018-04-26 01:00,1322.036,2018-04-25 22:00,1321.516,0.520,0.100,3,5,свеча вершины,0.71
2/2,2018-05-03 18:00,1315.086,2018-05-04 00:00,1311.336,2018-05-03 19:00,1311.250,0.086,0.020,4,5,другая слева,0.82
2/2,2018-05-23 18:00,1295.100,2018-05-23 23:00,1292.944,2018-05-23 19:00,1292.456,0.488,0.081,3,4,другая слева,0.63
2/2,2018-05-30 16:00,1304.405,2018-05-30 22:00,1301.171,2018-05-30 18:00,1301.070,0.101,0.013,3,5,свеча вершины,1.07
2/2,2018-07-13 13:00,1243.821,2018-07-13 17:00,1240.753,2018-07-13 14:00,1240.386,0.367,0.050,3,4,другая слева,1.90
2/2,2018-08-17 20:00,1185.230,2018-08-20 01:00,1182.956,2018-08-19 22:00,1182.895,0.061,0.007,3,4,другая слева,1.01
2/2,2018-08-29 07:00,1206.004,2018-08-29 11:00,1202.138,2018-08-29 08:00,1201.750,0.388,0.087,3,4,другая слева,0.51
2/2,2018-09-03 02:00,1200.724,2018-09-03 07:00,1199.062,2018-09-03 03:00,1198.589,0.473,0.095,4,5,другая слева,1.05
2/2,2018-10-01 16:00,1190.302,2018-10-01 22:00,1188.594,2018-10-01 17:00,1187.825,0.769,0.151,4,5,другая слева,0.52
2/2,2018-10-22 18:00,1223.705,2018-10-22 23:00,1221.754,2018-10-22 19:00,1221.612,0.142,0.040,3,4,свеча вершины,0.57
2/2,2018-11-30 17:00,1223.120,2018-12-03 00:00,1221.381,2018-11-30 18:00,1219.820,1.561,0.245,5,6,другая слева,0.88
2/2,2018-12-12 18:00,1247.244,2018-12-13 02:00,1244.045,2018-12-12 19:00,1244.020,0.025,0.008,6,7,другая слева,0.55
2/2,2019-01-29 15:00,1311.858,2019-01-30 00:00,1310.682,2019-01-29 17:00,1308.668,2.014,0.359,6,8,свеча вершины,1.14
2/2,2019-01-30 19:00,1323.374,2019-01-31 01:00,1317.539,2019-01-30 20:00,1317.364,0.175,0.012,4,5,другая слева,0.71
2/2,2019-02-14 17:00,1314.416,2019-02-15 01:00,1311.491,2019-02-14 18:00,1310.730,0.761,0.064,6,7,другая слева,0.64
2/2,2019-02-19 18:00,1341.880,2019-02-20 00:00,1339.444,2019-02-19 19:00,1339.227,0.217,0.012,4,5,другая слева,1.03
2/2,2019-02-22 00:00,1326.559,2019-02-22 04:00,1324.604,2019-02-22 01:00,1324.545,0.059,0.011,3,4,другая слева,0.69
2/2,2019-03-07 15:00,1288.494,2019-03-08 01:00,1285.277,2019-03-07 17:00,1284.368,0.909,0.164,7,9,свеча вершины,1.16
2/2,2019-03-08 14:00,1300.836,2019-03-11 02:00,1295.771,2019-03-08 15:00,1295.682,0.089,0.010,11,12,другая слева,1.97
2/2,2019-03-20 18:00,1317.002,2019-03-21 06:00,1317.455,2019-03-20 20:00,1312.192,5.263,0.289,9,11,свеча вершины,3.95
2/2,2019-04-05 14:00,1293.244,2019-04-05 20:00,1291.326,2019-04-05 15:00,1291.120,0.206,0.024,5,6,свеча вершины,1.28
2/2,2019-05-02 16:00,1272.198,2019-05-02 23:00,1270.400,2019-05-02 17:00,1270.316,0.084,0.014,5,6,другая слева,1.09
2/2,2019-05-05 22:00,1285.861,2019-05-06 02:00,1281.810,2019-05-05 23:00,1281.779,0.031,0.004,3,4,другая слева,0.33
2/2,2019-06-13 18:00,1343.174,2019-06-14 01:00,1341.949,2019-06-13 19:00,1340.590,1.359,0.145,5,6,другая слева,0.59
2/2,2019-06-17 13:00,1343.296,2019-06-17 18:00,1338.238,2019-06-17 14:00,1337.102,1.136,0.112,4,5,другая слева,1.28
2/2,2019-06-20 01:00,1394.279,2019-06-20 08:00,1377.977,2019-06-20 02:00,1377.201,0.776,0.015,6,7,другая слева,4.42
2/2,2019-08-12 18:00,1520.001,2019-08-13 01:00,1509.739,2019-08-12 19:00,1507.608,2.131,0.106,5,6,другая слева,0.33
2/2,2019-10-08 18:00,1509.746,2019-10-09 01:00,1503.996,2019-10-08 19:00,1503.010,0.986,0.083,5,6,другая слева,0.90
2/2,2019-10-16 13:00,1491.629,2019-10-16 18:00,1486.076,2019-10-16 14:00,1482.446,3.630,0.252,4,5,другая слева,3.73
2/2,2019-10-31 14:00,1514.146,2019-11-01 07:00,1509.283,2019-10-31 15:00,1508.263,1.020,0.058,15,16,другая слева,1.62
2/2,2019-11-06 16:00,1494.254,2019-11-07 01:00,1489.916,2019-11-06 17:00,1489.476,0.440,0.039,7,8,другая слева,0.81
2/2,2019-12-02 15:00,1465.456,2019-12-03 00:00,1461.358,2019-12-02 16:00,1460.988,0.370,0.033,7,8,другая слева,0.78
2/2,2020-01-01 23:00,1521.368,2020-01-02 05:00,1519.077,2020-01-02 01:00,1517.336,1.741,0.408,4,6,свеча вершины,1.13
2/2,2020-01-05 23:00,1589.739,2020-01-06 07:00,1570.352,2020-01-06 00:00,1567.112,3.240,0.075,7,8,другая слева,0.99
2/2,2020-01-26 23:00,1588.632,2020-01-27 04:00,1578.050,2020-01-27 00:00,1577.420,0.630,0.033,4,5,другая слева,0.43
2/2,2020-02-13 00:00,1572.669,2020-02-13 07:00,1572.363,2020-02-13 01:00,1569.228,3.135,0.411,6,7,другая слева,1.54
2/2,2020-02-23 23:00,1681.315,2020-02-24 03:00,1659.019,2020-02-24 00:00,1658.657,0.362,0.006,3,4,другая слева,0.32
2/2,2020-03-02 01:00,1606.656,2020-03-02 07:00,1596.110,2020-03-02 02:00,1591.012,5.098,0.164,5,6,другая слева,4.45
2/2,2020-03-05 01:00,1640.924,2020-03-05 07:00,1637.233,2020-03-05 02:00,1636.862,0.371,0.053,5,6,другая слева,0.88
2/2,2020-04-08 13:00,1656.586,2020-04-08 22:00,1643.836,2020-04-08 14:00,1643.436,0.400,0.029,7,8,другая слева,3.26
2/2,2020-04-09 01:00,1649.992,2020-04-09 05:00,1647.274,2020-04-09 02:00,1647.220,0.054,0.009,3,4,свеча вершины,0.81
2/2,2020-05-11 17:00,1699.594,2020-05-12 00:00,1693.948,2020-05-11 18:00,1693.947,0.001,0.000,5,6,другая слева,1.13
2/2,2020-06-15 18:00,1728.582,2020-06-15 23:00,1724.304,2020-06-15 19:00,1723.543,0.761,0.032,3,4,другая слева,1.25
2/2,2020-06-25 13:00,1766.810,2020-06-26 05:00,1758.306,2020-06-25 14:00,1757.512,0.794,0.071,14,15,другая слева,2.67
2/2,2020-07-20 14:00,1820.648,2020-07-21 01:00,1815.852,2020-07-20 15:00,1814.851,1.001,0.068,9,10,другая слева,1.51
2/2,2020-07-28 14:00,1956.724,2020-07-28 22:00,1949.505,2020-07-28 16:00,1946.164,3.341,0.067,5,7,свеча вершины,5.87
2/2,2020-11-05 01:00,1909.817,2020-11-05 05:00,1905.628,2020-11-05 02:00,1903.191,2.437,0.148,3,4,свеча вершины,1.93
2/2,2020-11-12 09:00,1873.006,2020-11-12 13:00,1867.614,2020-11-12 10:00,1867.321,0.293,0.030,3,4,другая слева,1.84
2/2,2020-11-24 18:00,1808.340,2020-11-25 00:00,1805.390,2020-11-24 19:00,1803.584,1.806,0.228,4,5,другая слева,0.99
2/2,2020-12-23 01:00,1867.588,2020-12-23 06:00,1863.238,2020-12-23 02:00,1861.892,1.346,0.157,4,5,другая слева,0.81
2/2,2020-12-31 09:00,1896.161,2020-12-31 14:00,1891.924,2020-12-31 10:00,1891.266,0.658,0.062,4,5,другая слева,1.12
2/2,2021-01-31 23:00,1867.290,2021-02-01 05:00,1857.036,2021-02-01 01:00,1849.220,7.816,0.306,4,6,свеча вершины,5.18
2/2,2021-03-10 13:00,1723.710,2021-03-11 01:00,1723.324,2021-03-10 15:00,1714.450,8.874,0.575,9,11,свеча вершины,3.26
2/2,2021-03-24 16:00,1738.615,2021-03-25 02:00,1732.030,2021-03-24 17:00,1731.975,0.055,0.005,8,9,другая слева,1.26
2/2,2021-04-21 13:00,1797.724,2021-04-22 00:00,1792.515,2021-04-21 15:00,1789.200,3.315,0.167,8,10,свеча вершины,3.78
2/2,2021-04-30 15:00,1772.360,2021-05-02 22:00,1766.290,2021-04-30 16:00,1765.815,0.475,0.059,5,6,другая слева,2.07
2/2,2021-06-04 07:00,1875.150,2021-06-04 11:00,1868.805,2021-06-04 08:00,1868.365,0.440,0.023,3,4,другая слева,1.93
2/2,2021-07-01 17:00,1776.906,2021-07-02 00:00,1775.055,2021-07-01 18:00,1772.805,2.250,0.265,5,6,другая слева,0.93
2/2,2021-07-02 13:00,1795.100,2021-07-05 00:00,1784.520,2021-07-02 14:00,1777.990,6.530,0.315,9,10,другая слева,4.74
2/2,2021-07-14 13:00,1829.880,2021-07-15 03:00,1823.750,2021-07-14 14:00,1819.505,4.245,0.136,12,13,другая слева,3.52
2/2,2021-07-21 13:00,1805.830,2021-07-21 18:00,1801.946,2021-07-21 14:00,1799.320,2.626,0.235,4,5,другая слева,2.15
2/2,2021-07-22 15:00,1808.116,2021-07-22 20:00,1806.220,2021-07-22 17:00,1804.430,1.790,0.128,3,5,свеча вершины,1.40
2/2,2021-07-23 12:00,1805.060,2021-07-26 00:00,1798.570,2021-07-23 14:00,1794.985,3.585,0.233,9,11,свеча вершины,3.19
2/2,2021-07-27 07:00,1801.290,2021-07-27 11:00,1795.170,2021-07-27 08:00,1794.910,0.260,0.034,3,4,другая слева,0.95
2/2,2021-07-29 01:00,1817.550,2021-07-29 08:00,1815.235,2021-07-29 02:00,1814.466,0.769,0.031,6,7,другая слева,0.45
2/2,2021-08-09 18:00,1731.770,2021-08-10 05:00,1732.795,2021-08-09 19:00,1728.345,4.450,0.567,9,10,другая слева,1.40
2/2,2021-08-12 16:00,1754.025,2021-08-13 01:00,1751.745,2021-08-12 17:00,1749.710,2.035,0.165,7,8,другая слева,1.56
2/2,2021-08-13 07:00,1760.346,2021-08-13 12:00,1757.035,2021-08-13 08:00,1755.810,1.225,0.142,4,5,другая слева,1.02
2/2,2021-08-16 14:00,1789.300,2021-08-17 01:00,1784.483,2021-08-16 15:00,1784.055,0.428,0.023,9,10,другая слева,2.46
2/2,2021-08-23 13:00,1806.445,2021-08-24 04:00,1800.840,2021-08-23 14:00,1795.570,5.270,0.238,13,14,другая слева,2.72
2/2,2021-09-01 16:00,1816.575,2021-09-01 23:00,1812.910,2021-09-01 17:00,1812.055,0.855,0.109,5,6,другая слева,1.81
2/2,2021-09-28 13:00,1741.340,2021-09-28 19:00,1732.880,2021-09-28 14:00,1731.500,1.380,0.105,5,6,другая слева,2.69
2/2,2021-10-01 14:00,1764.350,2021-10-01 19:00,1757.305,2021-10-01 15:00,1755.840,1.465,0.100,4,5,свеча вершины,3.07
2/2,2021-10-04 14:00,1770.580,2021-10-04 19:00,1763.680,2021-10-04 15:00,1762.750,0.930,0.041,4,5,другая слева,1.77
2/2,2021-10-25 13:00,1810.075,2021-10-25 17:00,1805.160,2021-10-25 14:00,1805.135,0.025,0.002,3,4,другая слева,1.13
2/2,2021-11-17 15:00,1868.126,2021-11-17 19:00,1862.870,2021-11-17 16:00,1862.360,0.510,0.032,3,4,свеча вершины,2.07
2/2,2021-12-07 16:00,1787.875,2021-12-07 23:00,1783.730,2021-12-07 17:00,1782.060,1.670,0.107,5,6,другая слева,1.41
2/2,2021-12-10 14:00,1789.534,2021-12-10 19:00,1781.475,2021-12-10 15:00,1779.085,2.390,0.124,4,5,другая слева,3.45
2/2,2022-01-04 15:00,1816.810,2022-01-05 01:00,1812.820,2022-01-04 16:00,1811.725,1.095,0.060,8,9,другая слева,1.22
2/2,2022-01-28 15:00,1793.070,2022-01-31 01:00,1786.390,2022-01-28 17:00,1782.015,4.375,0.343,7,9,свеча вершины,2.97
2/2,2022-02-03 16:00,1807.675,2022-02-04 03:00,1805.885,2022-02-03 18:00,1803.255,2.630,0.138,8,10,свеча вершины,1.73
2/2,2022-02-07 19:00,1823.590,2022-02-08 01:00,1820.340,2022-02-07 20:00,1820.275,0.065,0.004,4,5,другая слева,0.43
2/2,2022-02-14 19:00,1874.190,2022-02-15 01:00,1870.205,2022-02-14 20:00,1868.105,2.100,0.092,4,5,другая слева,2.37
2/2,2022-02-16 20:00,1872.600,2022-02-17 02:00,1867.890,2022-02-16 21:00,1867.510,0.380,0.018,4,5,другая слева,1.87
2/2,2022-03-02 20:00,1933.415,2022-03-03 01:00,1926.255,2022-03-02 21:00,1924.846,1.409,0.076,3,4,другая слева,2.23
2/2,2022-03-08 07:00,2021.090,2022-03-08 13:00,2003.640,2022-03-08 08:00,1999.385,4.255,0.106,5,6,другая слева,7.28
2/2,2022-04-25 18:00,1902.605,2022-04-26 01:00,1897.420,2022-04-25 20:00,1897.250,0.170,0.015,4,6,свеча вершины,1.61
2/2,2022-05-11 13:00,1858.300,2022-05-11 22:00,1851.080,2022-05-11 14:00,1846.435,4.645,0.199,7,8,другая слева,4.58
2/2,2022-06-17 20:00,1841.985,2022-06-20 02:00,1835.235,2022-06-19 22:00,1834.860,0.375,0.046,4,5,другая слева,1.09
2/2,2022-07-26 13:00,1721.975,2022-07-26 18:00,1716.405,2022-07-26 14:00,1714.450,1.955,0.236,4,5,другая слева,1.94
2/2,2022-08-15 12:00,1786.605,2022-08-16 01:00,1776.910,2022-08-15 14:00,1775.810,1.100,0.081,10,12,свеча вершины,3.58
2/2,2022-09-08 17:00,1711.695,2022-09-09 06:00,1718.255,2022-09-08 19:00,1706.725,11.530,1.498,10,12,свеча вершины,1.53
2/2,2022-11-14 15:00,1775.090,2022-11-15 00:00,1767.130,2022-11-14 16:00,1766.610,0.520,0.024,7,8,другая слева,2.11
2/2,2022-11-15 01:00,1772.400,2022-11-15 06:00,1768.800,2022-11-15 02:00,1768.265,0.535,0.102,4,5,другая слева,0.82
2/2,2022-12-15 14:00,1786.116,2022-12-15 23:00,1775.660,2022-12-15 15:00,1774.165,1.495,0.122,7,8,другая слева,1.98
2/2,2022-12-22 20:00,1795.110,2022-12-23 01:00,1791.340,2022-12-22 21:00,1791.125,0.215,0.021,3,4,другая слева,1.02
2/2,2023-02-14 18:00,1858.930,2023-02-14 23:00,1853.580,2023-02-14 19:00,1851.460,2.120,0.135,3,4,другая слева,1.31
2/2,2023-02-17 09:00,1828.275,2023-02-17 14:00,1822.715,2023-02-17 11:00,1821.890,0.825,0.089,3,5,свеча вершины,2.33
2/2,2023-04-04 14:00,2025.070,2023-04-05 00:00,2019.410,2023-04-04 15:00,2015.675,3.735,0.078,8,9,другая слева,2.60
2/2,2023-04-13 14:00,2048.770,2023-04-13 19:00,2036.660,2023-04-13 15:00,2034.070,2.590,0.078,4,5,свеча вершины,3.99
2/2,2023-04-26 19:00,1991.685,2023-04-27 01:00,1989.625,2023-04-26 20:00,1987.270,2.355,0.283,4,5,другая слева,1.71
2/2,2023-05-02 16:00,2019.455,2023-05-03 00:00,2014.255,2023-05-02 17:00,2011.285,2.970,0.085,6,7,другая слева,2.31
2/2,2023-05-15 13:00,2022.115,2023-05-15 19:00,2014.505,2023-05-15 14:00,2013.350,1.155,0.109,5,6,другая слева,2.05
2/2,2023-05-19 15:00,1984.325,2023-05-19 19:00,1974.345,2023-05-19 16:00,1973.175,1.170,0.043,3,4,другая слева,1.25
2/2,2023-07-06 16:00,1912.450,2023-07-06 22:00,1909.620,2023-07-06 17:00,1908.995,0.625,0.064,4,5,другая слева,1.19
2/2,2023-07-07 00:00,1912.485,2023-07-07 12:00,1914.315,2023-07-07 02:00,1909.950,4.365,1.524,10,12,свеча вершины,0.74
2/2,2023-08-29 17:00,1938.235,2023-08-30 01:00,1935.420,2023-08-29 18:00,1935.180,0.240,0.010,6,7,другая слева,0.97
2/2,2023-09-15 06:00,1919.665,2023-09-15 12:00,1916.105,2023-09-15 07:00,1915.510,0.595,0.032,5,6,другая слева,0.36
2/2,2023-10-06 15:00,1834.920,2023-10-06 20:00,1829.005,2023-10-06 17:00,1828.865,0.140,0.006,3,5,свеча вершины,2.99
2/2,2023-10-08 22:00,1855.990,2023-10-09 05:00,1848.090,2023-10-09 00:00,1846.260,1.830,0.068,5,7,свеча вершины,6.34
2/2,2023-12-15 02:00,2037.555,2023-12-15 06:00,2034.375,2023-12-15 03:00,2034.060,0.315,0.051,3,4,свеча вершины,1.49
2/2,2023-12-21 23:00,2055.075,2023-12-22 06:00,2047.180,2023-12-22 01:00,2046.855,0.325,0.014,5,7,свеча вершины,2.42
2/2,2024-01-04 15:00,2047.840,2024-01-04 23:00,2042.880,2024-01-04 17:00,2040.925,1.955,0.169,5,7,свеча вершины,2.30
2/2,2024-01-11 23:00,2035.620,2024-01-12 04:00,2032.905,2024-01-12 01:00,2030.135,2.770,0.125,3,5,свеча вершины,1.75
2/2,2024-01-29 20:00,2035.330,2024-01-30 02:00,2029.905,2024-01-29 23:00,2029.335,0.570,0.039,3,5,свеча вершины,2.21
2/2,2024-02-01 16:00,2065.530,2024-02-02 02:00,2051.980,2024-02-01 17:00,2051.315,0.665,0.019,8,9,другая слева,3.40
2/2,2024-02-08 18:00,2035.360,2024-02-09 00:00,2031.980,2024-02-08 19:00,2031.460,0.520,0.034,4,5,другая слева,0.75
2/2,2024-02-28 14:00,2037.950,2024-02-28 19:00,2030.875,2024-02-28 15:00,2030.490,0.385,0.029,4,5,другая слева,1.87
2/2,2024-03-14 17:00,2165.110,2024-03-15 00:00,2160.655,2024-03-14 18:00,2160.255,0.400,0.033,5,6,другая слева,0.95
2/2,2024-03-20 22:00,2222.915,2024-03-21 08:00,2196.925,2024-03-21 00:00,2192.480,4.445,0.061,8,10,свеча вершины,9.68
2/2,2024-03-27 03:00,2181.810,2024-03-27 09:00,2176.620,2024-03-27 05:00,2175.800,0.820,0.082,4,6,свеча вершины,1.61
2/2,2024-03-27 14:00,2195.305,2024-03-27 18:00,2189.085,2024-03-27 15:00,2188.465,0.620,0.053,3,4,другая слева,2.63
2/2,2024-04-23 14:00,2332.210,2024-04-23 19:00,2321.275,2024-04-23 15:00,2315.290,5.985,0.147,4,5,другая слева,5.63
2/2,2024-04-25 14:00,2344.930,2024-04-26 01:00,2326.365,2024-04-25 16:00,2323.045,3.320,0.104,8,10,свеча вершины,7.38
2/2,2024-05-28 13:00,2364.175,2024-05-28 18:00,2352.870,2024-05-28 14:00,2348.015,4.855,0.203,4,5,другая слева,2.96
2/2,2024-06-03 07:00,2328.965,2024-06-03 12:00,2325.730,2024-06-03 09:00,2324.390,1.340,0.095,3,5,свеча вершины,1.76
2/2,2024-06-05 15:00,2357.425,2024-06-06 00:00,2354.610,2024-06-05 16:00,2351.385,3.225,0.110,7,8,другая слева,4.30
2/2,2024-06-20 15:00,2365.590,2024-06-21 01:00,2357.145,2024-06-20 16:00,2352.920,4.225,0.124,8,9,другая слева,4.26
2/2,2024-07-09 19:00,2365.725,2024-07-10 01:00,2363.375,2024-07-09 22:00,2363.150,0.225,0.014,3,5,свеча вершины,0.72
2/2,2024-07-17 19:00,2460.470,2024-07-18 00:00,2457.460,2024-07-17 20:00,2457.300,0.160,0.018,3,4,другая слева,1.77
2/2,2024-07-31 14:00,2429.100,2024-07-31 18:00,2421.620,2024-07-31 15:00,2420.105,1.515,0.111,3,4,другая слева,2.58
2/2,2024-08-08 06:00,2400.805,2024-08-08 13:00,2402.400,2024-08-08 08:00,2392.930,9.470,0.482,5,7,свеча вершины,2.14
2/2,2024-08-15 00:00,2454.380,2024-08-15 05:00,2450.405,2024-08-15 01:00,2448.275,2.130,0.131,4,5,другая слева,0.61
2/2,2024-08-19 16:00,2507.535,2024-08-19 22:00,2502.160,2024-08-19 17:00,2500.790,1.370,0.063,4,5,другая слева,1.61
2/2,2024-08-23 15:00,2518.400,2024-08-23 19:00,2507.995,2024-08-23 16:00,2501.820,6.175,0.223,3,4,другая слева,5.28
2/2,2024-10-28 14:00,2746.010,2024-10-28 22:00,2739.870,2024-10-28 15:00,2739.740,0.130,0.007,6,7,другая слева,2.82
2/2,2024-10-31 19:00,2749.825,2024-11-01 01:00,2744.960,2024-10-31 20:00,2743.355,1.605,0.088,4,5,другая слева,2.22
2/2,2025-01-02 17:00,2660.605,2025-01-03 02:00,2656.305,2025-01-02 19:00,2653.860,2.445,0.083,6,8,свеча вершины,2.12
2/2,2025-01-07 01:00,2641.230,2025-01-07 05:00,2637.175,2025-01-07 02:00,2637.070,0.105,0.013,3,4,другая слева,0.60
