тф,счёт,точка,сторона,контекст5/5,сделок,сыройR,надбавка,шум2s,база,половина1,половина2,вердикт
5m,вверх,1,SHORT,согласен,37,-0.1146,-0.2172,0.6130,0.1026,0.0797,-0.9357,нейтрально
5m,вниз,2,LONG,против/нет,159,-0.2134,-0.1296,0.2918,-0.0838,0.0102,-0.3341,нейтрально
5m,вниз,3,LONG,против/нет,90,0.0151,0.0989,0.4708,-0.0838,-0.0076,0.2061,нейтрально
5m,вверх,0,LONG,против/нет,59,-0.6601,-0.5762,0.3325,-0.0838,-0.4116,-0.8293,НЕЛЬЗЯ
5m,вверх,1,LONG,против/нет,83,-0.1228,-0.0390,0.4009,-0.0838,-0.1228,0.1843,нейтрально
5m,вверх,2,SHORT,против/нет,143,0.1172,0.0146,0.3594,0.1026,0.0520,-0.0019,нейтрально
5m,вверх,3,LONG,против/нет,25,-0.0756,0.0082,0.7563,-0.0838,0.5856,-0.6371,мало данных
5m,вниз,1,LONG,против/нет,142,-0.1396,-0.0557,0.3197,-0.0838,0.0257,-0.1604,нейтрально
5m,вниз,3,SHORT,против/нет,12,-0.2495,-0.3521,1.0142,0.1026,-0.8077,1.1795,мало данных
5m,вниз,1,SHORT,против/нет,94,0.0223,-0.0803,0.4199,0.1026,0.3134,-0.3045,нейтрально
5m,вниз,2,LONG,согласен,40,0.0272,0.1110,0.6689,-0.0838,-0.5522,0.7469,нейтрально
5m,вниз,0,LONG,против/нет,126,0.1437,0.2275,0.3821,-0.0838,0.4805,-0.0287,нейтрально
5m,вверх,2,SHORT,согласен,18,0.3537,0.2511,1.0653,0.1026,0.2123,0.2382,мало данных
5m,вверх,3,SHORT,против/нет,88,0.1849,0.0823,0.4978,0.1026,0.1651,0.0738,нейтрально
5m,вверх,4,SHORT,против/нет,66,-0.3169,-0.4195,0.4337,0.1026,-0.6146,-0.2450,нейтрально
5m,вниз,4,LONG,против/нет,79,-0.0862,-0.0023,0.4670,-0.0838,-0.3869,0.6550,нейтрально
5m,вниз,1,SHORT,согласен,37,1.2865,1.1839,0.9604,0.1026,1.2291,0.6418,МОЖНО
5m,вниз,2,SHORT,согласен,18,0.2038,0.1012,1.1413,0.1026,-0.6013,2.0875,мало данных
5m,вниз,0,SHORT,согласен,11,0.4816,0.3790,1.5357,0.1026,-0.5004,1.7651,мало данных
5m,вверх,0,SHORT,против/нет,124,0.1730,0.0704,0.3983,0.1026,0.2038,-0.0230,нейтрально
5m,вверх,1,SHORT,против/нет,143,0.1943,0.0917,0.3770,0.1026,0.1714,0.0140,нейтрально
5m,вниз,5,LONG,против/нет,32,0.3735,0.4574,0.8879,-0.0838,0.4810,0.4065,нейтрально
5m,вверх,5,SHORT,против/нет,37,-0.4906,-0.5932,0.4939,0.1026,-0.6522,-0.5205,НЕЛЬЗЯ
