тренд №,блок,тип блока,дата начала (0),дата конца (5),последовательность,№ посл.,подпись нуля,цена (0),цена (1),цена (2),цена (3),цена (4),цена (5),ход блока %,ход тренда от рождения %,баров,что после (5)
301,2,продолжение,2025-03-31 13:00,2025-04-02 08:00,HH·HL·LH·HL·LH,П25,HL,3099.71,3149.09,3100.87,3135.8,3106.7,3133.95,1.59,4.54,41,LL
302,1,рождение,2025-04-07 17:00,2025-04-11 16:00,LH·HL·HH·HL·HH,П1,LL,2956.57,3022.76,2969.97,3132.63,3103.32,3245.49,9.77,9.77,91,HL
303,1,рождение,2025-04-14 13:00,2025-04-17 12:00,LH·HL·HH·HL·LH,П5,LL,3193.63,3232.76,3211.66,3357.78,3320.86,3342.74,5.14,5.14,68,LL
304,1,рождение,2025-04-25 13:00,2025-04-29 08:00,LH·HL·HH·HL·LH,П5,LL,3265.14,3330.61,3268.11,3353.2,3305.14,3325.01,2.7,2.7,41,LL
305,1,рождение,2025-05-01 12:00,2025-05-06 20:00,LH·HL·HH·HL·HH,П1,LL,3201.95,3269.3,3222.76,3272.55,3305.64,3435.05,7.28,7.28,77,HL
306,1,рождение,2025-05-12 10:00,2025-05-13 23:00,LH·HL·HH·HL·LH,П5,LL,3207.79,3248.7,3215.86,3265.78,3225.51,3257.14,1.81,1.81,35,LL
307,1,рождение,2025-05-15 06:00,2025-05-19 11:00,HH·HL·LH·HL·LH,П25,LL,3120.76,3252.26,3154.3,3249.85,3206.72,3248.59,4.21,4.21,51,LL
308,1,рождение,2025-05-29 01:00,2025-06-04 02:00,HH·HL·HH·HL·LH,П12,LL,3245.56,3331.47,3271.46,3392.3,3333.17,3372.72,4.52,4.52,93,HL
309,1,рождение,2025-06-10 02:00,2025-06-12 02:00,HH·HL·HH·HL·HH,П6,LL,3302.01,3349.28,3315.59,3360.79,3319.38,3377.89,2.3,2.3,46,HL
309,2,продолжение,2025-06-12 07:00,2025-06-16 11:00,HH·HL·HH·HL·LH,П12,HL,3338.59,3444.49,3407.93,3451.53,3409.58,3422.78,3.38,4.53,50,LL
310,1,рождение,2025-06-29 22:00,2025-07-02 22:00,HH·HL·HH·HL·HH,П6,LL,3244.41,3296.83,3274.62,3358.09,3327.66,3365.92,3.75,3.75,69,HL
311,1,рождение,2025-07-09 08:00,2025-07-14 07:00,LH·HL·HH·HL·HH,П1,LL,3282.66,3330.36,3310.18,3374.26,3353.68,3375.09,2.82,2.82,68,LL
312,1,рождение,2025-07-17 12:00,2025-07-23 00:00,LH·HL·HH·HL·HH,П1,LL,3309.79,3361.33,3344.91,3402.86,3383.42,3439.03,3.9,3.9,80,HL
313,1,рождение,2025-07-28 13:00,2025-07-30 09:00,LH·HL·HH·HL·LH,П5,LL,3301.76,3330.1,3311.99,3334.27,3321.8,3334.09,0.98,0.98,42,LL
314,1,рождение,2025-07-30 19:00,2025-08-04 13:00,LH·HL·HH·HL·HH,П1,LL,3268.12,3314.99,3281.74,3364.82,3345.01,3385.53,3.59,3.59,63,HL
314,2,продолжение,2025-08-05 11:00,2025-08-07 07:00,HH·HL·LH·HL·HH,П16,HL,3349.89,3390.6,3358.26,3380.09,3365.3,3397.58,1.42,3.96,42,HL
315,1,рождение,2025-08-12 14:00,2025-08-14 00:00,HH·HL·HH·HL·HH,П6,LL,3331.17,3359.34,3342.64,3370.82,3350.01,3374.8,1.31,1.31,32,LL
316,1,рождение,2025-08-26 00:00,2025-08-28 19:00,HH·HL·HH·HL·HH,П6,LL,3351.33,3393.74,3373.75,3399.36,3384.62,3423.18,2.14,2.14,65,HL
316,2,продолжение,2025-08-29 11:00,2025-09-03 00:00,HH·HL·HH·HL·HH,П6,HL,3404.32,3489.84,3466.39,3508.79,3470.05,3547.33,4.2,5.85,56,HL
317,1,рождение,2025-09-04 03:00,2025-09-05 16:00,LH·HL·HH·HL·HH,П1,LL,3511.76,3558.93,3535.14,3561.28,3544.86,3600.2,2.52,2.52,36,HL
318,1,рождение,2025-09-15 01:00,2025-09-16 14:00,LH·HL·HH·HL·HH,П1,LL,3626.46,3646.95,3633.68,3685.7,3674.7,3703.24,2.12,2.12,36,HL
319,1,рождение,2025-09-18 13:00,2025-09-23 09:00,LH·HL·HH·HL·HH,П1,LL,3627.96,3661.36,3643.78,3759.42,3736.66,3791.26,4.5,4.5,65,HL
320,1,рождение,2025-09-25 13:00,2025-09-30 06:00,LH·HL·HH·HL·HH,П1,LL,3722.22,3758.43,3734.44,3783.89,3759.66,3871.89,4.02,4.02,62,HL
321,1,рождение,2025-10-02 15:00,2025-10-07 00:00,LH·HL·HH·HL·HH,П1,LL,3819.43,3863.72,3838.07,3949.67,3926.47,3977.4,4.14,4.14,54,HL
322,1,рождение,2025-10-09 17:00,2025-10-14 05:00,LH·HL·HH·HL·HH,П1,LL,3944.43,3994.52,3947.02,4006.74,3970.86,4179.94,5.97,5.97,57,HL
322,2,продолжение,2025-10-14 06:00,2025-10-16 22:00,HH·HL·HH·HL·HH,П6,HL,4090.14,4218.4,4164.24,4242.38,4203.55,4380.99,7.11,11.07,61,HL
323,1,рождение,2025-10-22 00:00,2025-10-23 14:00,LH·HL·LH·HL·HH,П20,LL,4004.28,4161.53,4011.09,4113.8,4065.9,4154.79,3.93,3.93,37,LL
324,1,рождение,2025-10-28 09:00,2025-10-30 22:00,LH·HL·HH·HL·HH,П1,LL,3886.47,3970.47,3907.93,4030.34,3915.52,4046.59,4.12,4.12,58,HL
325,1,рождение,2025-11-04 14:00,2025-11-06 12:00,LH·HL·HH·HL·HH,П1,LL,3928.68,3987.34,3956.1,3990.57,3964.45,4019.64,2.32,2.32,44,HL
325,2,продолжение,2025-11-06 17:00,2025-11-12 00:00,LH·HL·HH·HL·LH,П5,HL,3965.71,4014.29,3984.01,4149.1,4097.24,4145.61,4.62,5.61,75,HL
326,1,рождение,2025-11-21 08:00,2025-11-26 12:00,HH·HL·HH·HL·HH,П6,LL,4022.26,4101.07,4040.02,4155.9,4109.71,4173.5,3.76,3.76,73,HL
326,2,продолжение,2025-11-26 15:00,2025-12-01 02:00,LH·HL·HH·HL·HH,П1,HL,4136.66,4171.9,4142.73,4193.26,4153.74,4256.6,2.9,5.83,54,HL
327,1,рождение,2025-12-02 15:00,2025-12-04 01:00,LH·HL·HH·HL·LH,П5,LL,4163.81,4229.06,4194.65,4241.56,4195.19,4217.08,1.87,1.87,32,LL
328,1,рождение,2025-12-10 19:00,2025-12-15 09:00,HH·HL·HH·HL·LH,П12,LL,4182.08,4247.81,4204.27,4353.56,4257.27,4350.28,4.1,4.1,59,HL
329,1,рождение,2025-12-16 05:00,2025-12-18 16:00,HH·HL·HH·HL·HH,П6,LL,4271.57,4342.58,4306.52,4349.28,4308.67,4374.65,2.41,2.41,57,HL
329,2,продолжение,2025-12-19 01:00,2025-12-25 23:00,HH·HL·HH·HL·HH,П6,HL,4309.1,4497.69,4430.52,4526.15,4448.26,4536.74,5.28,6.21,87,HL
330,1,рождение,2025-12-31 06:00,2026-01-05 15:00,LH·HL·HH·HL·HH,П1,LL,4274.02,4353.44,4304.65,4402.3,4309.91,4455.77,4.25,4.25,55,HL
331,1,рождение,2026-01-08 12:00,2026-01-13 14:00,HH·HL·HH·HL·HH,П6,LL,4407.84,4479.73,4458.94,4630.19,4573.6,4634.89,5.15,5.15,71,LL
332,1,рождение,2026-01-20 00:00,2026-01-23 01:00,HH·HL·LH·HL·HH,П16,LL,4659.4,4888.55,4755.07,4839.71,4810.74,4967.52,6.61,6.61,70,HL
333,1,рождение,2026-01-26 21:00,2026-01-28 23:00,LH·HL·HH·HL·HH,П1,LL,4990.22,5100.84,5046.84,5311.66,5235.75,5602.23,12.26,12.26,47,LL
334,1,рождение,2026-02-02 06:00,2026-02-04 08:00,LH·HL·HH·HL·HH,П1,LL,4402.38,4812.27,4596.74,4993.84,4880.6,5091.93,15.66,15.66,48,LL
335,1,рождение,2026-02-06 00:00,2026-02-10 14:00,HH·HL·HH·HL·LH,П12,LL,4655.23,5047.91,4982.49,5086.68,4987.39,5078.74,9.27,9.27,60,HL
336,1,рождение,2026-02-12 16:00,2026-02-16 09:00,LH·HL·HH·HL·LH,П5,LL,4878.5,4997.56,4933.64,5046.48,4964.86,5017.44,3.44,3.44,39,HL
337,1,рождение,2026-02-17 14:00,2026-02-19 15:00,HH·HL·HH·HL·HH,П6,LL,4842.6,5010.91,4960.65,5022.17,4963.44,5022.39,3.71,3.71,47,HL
338,1,рождение,2026-02-26 15:00,2026-03-02 07:00,LH·HL·LH·HL·HH,П20,LL,5130.23,5201.01,5166.99,5200.64,5168.69,5419.66,5.64,5.64,38,HL
339,1,рождение,2026-03-09 01:00,2026-03-10 15:00,LH·HL·HH·HL·HH,П1,LL,5015.05,5140.79,5060.6,5187.06,5156.5,5238.77,4.46,4.46,37,HL
340,1,рождение,2026-03-15 23:00,2026-03-17 05:00,LH·HL·HH·HL·HH,П1,LL,4967.77,5036.01,4970.23,5038.15,4974.23,5044.9,1.55,1.55,29,LL
341,1,рождение,2026-03-23 07:00,2026-03-25 02:00,LH·HL·LH·HL·HH,П20,LL,4099.12,4513.16,4305.88,4442.24,4351.09,4602.65,12.28,12.28,41,HL
342,1,рождение,2026-03-26 20:00,2026-03-30 11:00,LH·HL·HH·HL·HH,П1,LL,4351.35,4475.3,4404.58,4555.63,4417.43,4580.73,5.27,5.27,37,HL
342,2,продолжение,2026-03-31 00:00,2026-04-02 14:00,HH·HL·HH·HL·LH,П12,HL,4482.66,4619.26,4529.55,4800.8,4553.85,4699.89,7.1,10.33,60,HL
343,1,рождение,2026-04-07 14:00,2026-04-10 14:00,HH·HL·LH·HL·LH,П25,LL,4607.63,4858.22,4698.73,4801.39,4730.74,4794.98,5.44,5.44,69,LL
344,1,рождение,2026-04-12 23:00,2026-04-15 01:00,LH·HL·HH·HL·HH,П1,LL,4644.47,4740.03,4700.56,4796.63,4751.22,4871.38,4.89,4.89,48,HL
345,1,рождение,2026-05-04 16:00,2026-05-08 06:00,LH·HL·HH·HL·LH,П5,LL,4501.03,4586.6,4546.36,4764.9,4682.05,4734.9,5.86,5.86,82,HL
346,1,рождение,2026-05-20 03:00,2026-05-22 10:00,HH·HL·LH·HL·LH,П25,LL,4453.39,4570.9,4488.63,4559.36,4507.43,4536.82,2.64,2.64,53,LL
347,1,рождение,2026-06-08 05:00,2026-06-09 13:00,LH·HL·HH·HL·HH,П1,LL,4268.48,4346.88,4312.96,4351.56,4321.32,4363.72,2.23,2.23,31,LL
348,1,рождение,2026-06-10 23:00,2026-06-12 09:00,LH·HL·HH·HL·LH,П5,LL,4023.87,4118.4,4052.97,4246.72,4170.29,4228.07,5.54,5.54,33,HL
